2,3,11												
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE
vo_eny_eny_	daimyo_	detect_player_02	vo_eny_eny_daimyo_detect_player_02	omuk	hambo	Daimyo	agressive	sees a player character	Shogunate men!	2	是将军的人！	1
vo_eny_eny_	daimyo_	detect_player_03	vo_eny_eny_daimyo_detect_player_03	omuk	hambo	Daimyo	agressive	sees a player character	It's them!	2	是他们!	1
vo_eny_eny_	daimyo_	detect_player_proximity_00	vo_eny_eny_daimyo_detect_player_proximity_00	omuk	hambo	Daimyo	suspicious	senses a nearby player character	Something's wrong …	3	不对劲…	1
vo_eny_eny_	daimyo_	detect_player_proximity_01	vo_eny_eny_daimyo_detect_player_proximity_01	omuk	hambo	Daimyo	suspicious	senses a nearby player character	Strange … it feels like …	6	奇怪…感觉好像…	1
vo_eny_eny_	daimyo_	detect_player_proximity_02	vo_eny_eny_daimyo_detect_player_proximity_02	omuk	hambo	Daimyo	suspicious	senses a nearby player character	Wait … is someone …	5	等等…好像有人…	1
vo_eny_eny_	daimyo_	detect_player_proximity_03	vo_eny_eny_daimyo_detect_player_proximity_03	omuk	hambo	Daimyo	suspicious	senses a nearby player character	There's something there …	4	感觉…好像有人…	1
vo_eny_eny_	daimyo_	detect_tanuki_00	vo_eny_eny_daimyo_detect_tanuki_00	omuk	hambo	Daimyo	dismissive	sees the tanuki	Filthy creature.	2	脏兮兮的畜生	1
vo_eny_eny_	daimyo_	detect_tanuki_01	vo_eny_eny_daimyo_detect_tanuki_01	omuk	hambo	Daimyo	dismissive	sees the tanuki	Annoying critter.	2	这家伙好吵	1
vo_eny_eny_	daimyo_	detect_tanuki_02	vo_eny_eny_daimyo_detect_tanuki_02	omuk	hambo	Daimyo	dismissive	sees the tanuki	Leave, before I crush you.	5	走开,不然我打扁你	1
vo_eny_eny_	daimyo_	detect_tanuki_03	vo_eny_eny_daimyo_detect_tanuki_03	omuk	hambo	Daimyo	dismissive	sees the tanuki	Just an animal.	3	不过是只动物	1
vo_eny_eny_	daimyo_	detect_trap_00	vo_eny_eny_daimyo_detect_trap_00	omuk	hambo	Daimyo	with contempt	spots the trap on the floor and breaks it	Eh? What's this rubbish …	5	嗯？这是什么垃圾…	1
vo_eny_eny_	daimyo_	detect_trap_01	vo_eny_eny_daimyo_detect_trap_01	omuk	hambo	Daimyo	with contempt	spots the trap on the floor and breaks it	Teh … a child's toy.	5	哼……不过是小孩的玩具	1
vo_eny_eny_	daimyo_	detect_trap_02	vo_eny_eny_daimyo_detect_trap_02	omuk	hambo	Daimyo	with contempt	spots the trap on the floor and breaks it	Who left that here? … hrm, trash.	7	谁丢在这里的？…哼，垃圾。	1
vo_eny_eny_	daimyo_	detect_unconscious_female_01	vo_eny_eny_daimyo_detect_unconscious_female_01	omuk		Daimyo	displeased	sees unconcious person	She's unconscious.	2	她晕过去了	1
vo_eny_eny_	daimyo_	detect_unconscious_female_02	vo_eny_eny_daimyo_detect_unconscious_female_02	omuk		Daimyo	displeased	sees unconcious person	She's been hit!	3	她受了重击	1
vo_eny_eny_	daimyo_	detect_unconscious_female_03	vo_eny_eny_daimyo_detect_unconscious_female_03	omuk		Daimyo	displeased	sees unconcious person	She's been attacked.	3	她被袭击了	1
vo_eny_eny_	daimyo_	detect_unconscious_male_00	vo_eny_eny_daimyo_detect_unconscious_male_00	omuk		Daimyo	displeased	sees unconcious person	He's unconscious.	2	他晕过去了	1
vo_eny_eny_	daimyo_	detect_unconscious_male_01	vo_eny_eny_daimyo_detect_unconscious_male_01	omuk		Daimyo	displeased	sees unconcious person	He's been hit!	3	他受了重击	1
vo_eny_eny_	daimyo_	detect_unconscious_male_02	vo_eny_eny_daimyo_detect_unconscious_male_02	omuk		Daimyo	displeased	sees unconcious person	He's been attacked.	3	他被袭击了	1
vo_eny_eny_	daimyo_	detect_unconscious_neutral_01	vo_eny_eny_daimyo_detect_unconscious_neutral_01	omuk	hambo	Daimyo	displeased	sees unconcious person	What happened?	2	发生了什么？	1
vo_eny_eny_	daimyo_	detect_unconscious_neutral_02	vo_eny_eny_daimyo_detect_unconscious_neutral_02	omuk	hambo	Daimyo	displeased	sees unconcious person	You! Who attacked you?	4	喂！是谁攻击了你？	1
vo_eny_eny_	daimyo_	detect_unconscious_neutral_03	vo_eny_eny_daimyo_detect_unconscious_neutral_03	omuk	hambo	Daimyo	displeased	sees unconcious person	Are you asleep?	3	你睡着了吗？	1
vo_eny_eny_	daimyo_	flee_00	vo_eny_eny_daimyo_flee_00	omuk		Daimyo	angry panic	player character has been spotted nearby	Protect me, you fools!	4	快护驾，蠢货!	1
vo_eny_eny_	daimyo_	flee_01	vo_eny_eny_daimyo_flee_01	omuk		Daimyo	angry panic	player character has been spotted nearby	They have come for me! Kill them.	7	他们是冲我来的！杀了他们	1
vo_eny_eny_	daimyo_	flee_02	vo_eny_eny_daimyo_flee_02	omuk		Daimyo	angry panic	player character has been spotted nearby	The Shogun's assassins are here! Protect me!	7	将军的刺客来了!快来护驾！	1
vo_eny_eny_	daimyo_	friend_missing_female_00	vo_eny_eny_daimyo_friend_missing_female_00	omuk		Daimyo	displeased	his partner is missing	She left her post.	4	她擅离岗位	1
vo_eny_eny_	daimyo_	friend_missing_female_01	vo_eny_eny_daimyo_friend_missing_female_01	omuk		Daimyo	displeased	his partner is missing	Where is she?	3	她去哪了?	1
vo_eny_eny_	daimyo_	friend_missing_female_02	vo_eny_eny_daimyo_friend_missing_female_02	omuk		Daimyo	displeased	his partner is missing	What is keeping her?	4	她干什么去了？	1
vo_eny_eny_	daimyo_	friend_missing_female_03	vo_eny_eny_daimyo_friend_missing_female_03	omuk		Daimyo	displeased	his partner is missing	She's gone too long.	4	她怎么这么久不回来	1
vo_eny_eny_	daimyo_	friend_missing_female_04	vo_eny_eny_daimyo_friend_missing_female_04	omuk		Daimyo	displeased	his partner is missing	She's missing!	2	她不见了!	1
vo_eny_eny_	daimyo_	friend_missing_female_05	vo_eny_eny_daimyo_friend_missing_female_05	omuk		Daimyo	displeased	his partner is missing	How dare she keep me waiting!	6	她竟敢让我干等!	1
vo_eny_eny_	daimyo_	friend_missing_male_00	vo_eny_eny_daimyo_friend_missing_male_00	omuk	placeholder	Daimyo	displeased	his partner is missing	He left his post.	4	他擅离岗位	1
vo_eny_eny_	daimyo_	friend_missing_male_01	vo_eny_eny_daimyo_friend_missing_male_01	omuk	placeholder	Daimyo	displeased	his partner is missing	Where is he?	3	他去哪了?	1
vo_eny_eny_	daimyo_	friend_missing_male_02	vo_eny_eny_daimyo_friend_missing_male_02	omuk	placeholder	Daimyo	displeased	his partner is missing	What's keeping him?	3	他干什么去了？	1
vo_eny_eny_	daimyo_	friend_missing_male_03	vo_eny_eny_daimyo_friend_missing_male_03	omuk	placeholder	Daimyo	displeased	his partner is missing	He's gone too long.	4	他怎么这么久不回来	1
vo_eny_eny_	daimyo_	friend_missing_male_04	vo_eny_eny_daimyo_friend_missing_male_04	omuk	placeholder	Daimyo	displeased	his partner is missing	He's missing!	2	他不见了!	1
vo_eny_eny_	daimyo_	friend_missing_male_05	vo_eny_eny_daimyo_friend_missing_male_05	omuk	placeholder	Daimyo	displeased	his partner is missing	How dare he keep me waiting!	6	他竟敢让我干等!	1
vo_eny_eny_	daimyo_	friend_wakeup_00	vo_eny_eny_daimyo_friend_wakeup_00	omuk	hambo	Daimyo	urgent	wakes unconcious person	Hey! Wake up!	3	嘿！醒醒！	1
vo_eny_eny_	daimyo_	friend_wakeup_01	vo_eny_eny_daimyo_friend_wakeup_01	omuk	hambo	Daimyo	urgent	wakes unconcious person	Get up!	2	快起来!	1
vo_eny_eny_	daimyo_	friend_wakeup_02	vo_eny_eny_daimyo_friend_wakeup_02	omuk	hambo	Daimyo	urgent	wakes unconcious person	Stand up!	2	站起来！	1
vo_eny_eny_	daimyo_	friend_wakeup_03	vo_eny_eny_daimyo_friend_wakeup_03	omuk	hambo	Daimyo	urgent	wakes unconcious person	What happened to you?	4	你怎么了?	1
vo_eny_eny_	daimyo_	friend_wakeup_04	vo_eny_eny_daimyo_friend_wakeup_04	omuk	hambo	Daimyo	urgent	wakes unconcious person	On your feet!	3	站起来!	1
vo_eny_eny_	daimyo_	hear_noise_00	vo_eny_eny_daimyo_hear_noise_00	omuk		Daimyo	suspicious	hears strange noise	What?!	1	什么？！	1
vo_eny_eny_	daimyo_	hear_noise_01	vo_eny_eny_daimyo_hear_noise_01	omuk		Daimyo	suspicious	hears strange noise	What was that?	3	什么声音？	1
vo_eny_eny_	daimyo_	hear_noise_02	vo_eny_eny_daimyo_hear_noise_02	omuk		Daimyo	suspicious	hears strange noise	I heard something …	4	我听到了什么…	1
vo_eny_eny_	daimyo_	hear_noise_03	vo_eny_eny_daimyo_hear_noise_03	omuk		Daimyo	suspicious	hears strange noise	Strange sound …	3	奇怪的声音……	1
vo_eny_eny_	daimyo_	hear_noise_04	vo_eny_eny_daimyo_hear_noise_04	omuk		Daimyo	suspicious	hears strange noise	That noise …	3	这声音…	1
vo_eny_eny_	daimyo_	hear_noise_directhit_00	vo_eny_eny_daimyo_hear_noise_directhit_00	omuk		Daimyo	anger	is hit by stone	Hrm! How dare you, coward?!	5	嗷！竟敢打我,胆小鬼!	1
vo_eny_eny_	daimyo_	hear_noise_directhit_01	vo_eny_eny_daimyo_hear_noise_directhit_01	omuk		Daimyo	contempt	is hit by stone	Hrm! You will suffer for this!	6	嗷！你会为此付出代价的！	1
vo_eny_eny_	daimyo_	hear_noise_directhit_02	vo_eny_eny_daimyo_hear_noise_directhit_02	omuk		Daimyo	anger	is hit by stone	Hrm! Show yourself, coward!	4	嗷！快出来，胆小鬼！	1
vo_eny_eny_	daimyo_	hear_noise_directhit_03	vo_eny_eny_daimyo_hear_noise_directhit_03	omuk		Daimyo	contempt	is hit by stone	Hrm! You have achieved nothing, fool!	6	嗷！我一点也不痛，蠢货！	1
vo_eny_eny_	daimyo_	hear_noise_gunshot_00	vo_eny_eny_daimyo_hear_noise_gunshot_00	omuk		Daimyo	alarmed	hears player gunshot	Why's there shooting?	3	怎么会有枪声?	1
vo_eny_eny_	daimyo_	hear_noise_gunshot_01	vo_eny_eny_daimyo_hear_noise_gunshot_01	omuk		Daimyo	alarmed	hears player gunshot	Shots fired! Alarm!	3	有枪声!快发警报！	1
vo_eny_eny_	daimyo_	hear_noise_gunshot_02	vo_eny_eny_daimyo_hear_noise_gunshot_02	omuk		Daimyo	alarmed	hears player gunshot	The enemy's got firearms!	4	敌人有枪！	1
vo_eny_eny_	daimyo_	hear_noise_human_00	vo_eny_eny_daimyo_hear_noise_human_00	omuk		Daimyo	tense	hears human noise	Someone there?	2	有人在那儿吗?	1
vo_eny_eny_	daimyo_	hear_noise_human_01	vo_eny_eny_daimyo_hear_noise_human_01	omuk		Daimyo	tense	hears human noise	Who goes there?	3	谁在那儿?	1
vo_eny_eny_	daimyo_	hear_noise_human_02	vo_eny_eny_daimyo_hear_noise_human_02	omuk		Daimyo	tense	hears human noise	I heard that!	3	我听到了!	1
vo_eny_eny_	daimyo_	hear_noise_human_03	vo_eny_eny_daimyo_hear_noise_human_03	omuk		Daimyo	tense	hears human noise	Who's making noise?	3	是谁的声音？	1
vo_eny_eny_	daimyo_	hear_noise_human_04	vo_eny_eny_daimyo_hear_noise_human_04	omuk		Daimyo	tense	hears human noise	Who's hiding in the bushes?	5	谁躲在灌木丛里?	1
vo_eny_eny_	daimyo_	hear_noise_human_05	vo_eny_eny_daimyo_hear_noise_human_05	omuk		Daimyo	tense	hears human noise	Show yourself!	2	快出来！	1
vo_eny_eny_	daimyo_	hear_noise_too_much_00	vo_eny_eny_daimyo_hear_noise_too_much_00	omuk	hambo	Daimyo	irritated	irritated by a continuous string of strange noises	You are testing my patience.	5	真是吵死了!	1
vo_eny_eny_	daimyo_	hear_noise_too_much_01	vo_eny_eny_daimyo_hear_noise_too_much_01	omuk	hambo	Daimyo	irritated	irritated by a continuous string of strange noises	You will pay for this.	5	你会为此付出代价!	1
vo_eny_eny_	daimyo_	hear_noise_too_much_02	vo_eny_eny_daimyo_hear_noise_too_much_02	omuk	hambo	Daimyo	irritated	irritated by a continuous string of strange noises	Step forward, coward!	3	出来，胆小鬼！	1
vo_eny_eny_	daimyo_	hear_noise_too_much_03	vo_eny_eny_daimyo_hear_noise_too_much_03	omuk	hambo	Daimyo	irritated	irritated by a continuous string of strange noises	I've had enough of this.	5	我受够了!	1
vo_eny_eny_	daimyo_	ignore_distraction_00	vo_eny_eny_daimyo_ignore_distraction_00	omuk	hambo	Daimyo	dismissive	ignores player distraction	Not worth my attention.	4	不值得我关注	1
vo_eny_eny_	daimyo_	ignore_distraction_01	vo_eny_eny_daimyo_ignore_distraction_01	omuk	hambo	Daimyo	dismissive	ignores player distraction	I will not be distracted.	5	我不会分心的	1
vo_eny_eny_	daimyo_	ignore_distraction_02	vo_eny_eny_daimyo_ignore_distraction_02	omuk	hambo	Daimyo	dismissive	ignores player distraction	This is beneath me.	4	不值得我管	1
vo_eny_eny_	daimyo_	ignore_distraction_03	vo_eny_eny_daimyo_ignore_distraction_03	omuk	hambo	Daimyo	dismissive	ignores player distraction	I will not be fooled.	5	我可不会被上当	1
vo_eny_eny_	daimyo_	investigate_missing_00	vo_eny_eny_daimyo_investigate_missing_00	omuk		Daimyo	displeased	searches for partner	Hello?	1	在么？	1
vo_eny_eny_	daimyo_	investigate_missing_01	vo_eny_eny_daimyo_investigate_missing_01	omuk		Daimyo	displeased	searches for partner	You're not hiding, are you?	5	你不会躲起来了吧?	1
vo_eny_eny_	daimyo_	investigate_missing_02	vo_eny_eny_daimyo_investigate_missing_02	omuk		Daimyo	displeased	searches for partner	Come out!	2	出来！	1
vo_eny_eny_	daimyo_	investigate_missing_03	vo_eny_eny_daimyo_investigate_missing_03	omuk		Daimyo	displeased	searches for partner	This is not funny!	4	开玩笑也要有限度！	1
vo_eny_eny_	daimyo_	investigate_missing_04	vo_eny_eny_daimyo_investigate_missing_04	omuk		Daimyo	displeased	searches for partner	Show yourself!	2	你给我出来！	1
vo_eny_eny_	daimyo_	knockout_scream_00	vo_eny_eny_daimyo_knockout_scream_00	omuk	hambo	Daimyo	stunned	(sound) gets knocked out		0		0
vo_eny_eny_	daimyo_	knockout_scream_01	vo_eny_eny_daimyo_knockout_scream_01	omuk	hambo	Daimyo	stunned	(sound) gets knocked out		0		0
vo_eny_eny_	daimyo_	knockout_scream_02	vo_eny_eny_daimyo_knockout_scream_02	omuk	hambo	Daimyo	stunned	(sound) gets knocked out		0		0
vo_eny_eny_	daimyo_	regain_consciousness_00	vo_eny_eny_daimyo_regain_consciousness_00	omuk	hambo	Daimyo	very angry	knocked out, wakes up	Uh … they will pay …	6	啊!…饶不了他们…	1
vo_eny_eny_	daimyo_	regain_consciousness_01	vo_eny_eny_daimyo_regain_consciousness_01	omuk	hambo	Daimyo	very angry	knocked out, wakes up	… I was attacked!	4	…我被袭击了！	1
vo_eny_eny_	daimyo_	regain_consciousness_02	vo_eny_eny_daimyo_regain_consciousness_02	omuk	hambo	Daimyo	very angry	knocked out, wakes up	Ugh … where are my guards …	7	我的守卫在哪儿…?	1
vo_eny_eny_	daimyo_	see_something_00	vo_eny_eny_daimyo_see_something_00	omuk	hambo	Daimyo	suspicious	sees something strange	What?!	1	什么？！	1
vo_eny_eny_	daimyo_	see_something_01	vo_eny_eny_daimyo_see_something_01	omuk	hambo	Daimyo	suspicious	sees something strange	Hrm?	1	嗯？	1
vo_eny_eny_	daimyo_	see_something_02	vo_eny_eny_daimyo_see_something_02	omuk	hambo	Daimyo	suspicious	sees something strange	What is that?	3	那是什么？	1
vo_eny_eny_	daimyo_	see_something_03	vo_eny_eny_daimyo_see_something_03	omuk	hambo	Daimyo	suspicious	sees something strange	Something …	2	好像是…	1
vo_eny_eny_	daimyo_	see_something_04	vo_eny_eny_daimyo_see_something_04	omuk	hambo	Daimyo	suspicious	sees something strange	Hmm …	2	嗯……	1
												
									WORDCOUNT EN:	309		89
