2,3,11														
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE		
vo_eny_eny_	static_00_	alarm_local_06	vo_eny_eny_static_00_alarm_local_06	omuk	hambo	Static	urgent, tense	curses	Damn it!	2	该死！	1		
vo_eny_eny_	static_00_	alarm_stop_00	vo_eny_eny_static_00_alarm_stop_00	omuk	hambo	Static	commanding	end of alarm	They must have escaped! Cancel the alarm!	7	他们肯定已经逃走了，解除警报！	1		
vo_eny_eny_	static_00_	alarm_stop_01	vo_eny_eny_static_00_alarm_stop_01	omuk	hambo	Static	commanding	end of alarm	Call  off the search! As you were!	8	停止搜索！各回岗位！	1		
vo_eny_eny_	static_00_	alarm_stop_02	vo_eny_eny_static_00_alarm_stop_02	omuk	hambo	Static	commanding	end of alarm	They must have run! Stand down men!	7	他们肯定已经跑了，回去吧，弟兄们	1		
vo_eny_eny_	static_00_	alarm_stop_03	vo_eny_eny_static_00_alarm_stop_03	omuk	hambo	Static	commanding	end of alarm	No more danger! At ease, everyone!	6	没有危险了，大家解散	1		
vo_eny_eny_	static_00_	alarm_stop_04	vo_eny_eny_static_00_alarm_stop_04	omuk	hambo	Static	commanding	end of alarm	Looks like we have driven them off!	7	看来已经把他们赶跑了！	1		
vo_eny_eny_	static_00_	alarm_stop_05	vo_eny_eny_static_00_alarm_stop_05	omuk	hambo	Static	commanding	end of alarm	All clear!	2	警报解除！	1		
vo_eny_eny_	static_00_	carry_object_00	vo_eny_eny_static_00_carry_object_00	omuk		Static		(sound) carries heavy object		0		0		
vo_eny_eny_	static_00_	clear_throat_00	vo_eny_eny_static_00_clear_throat_00	omuk		Static		(sound) clears throat		0		0		
vo_eny_eny_	static_00_	cough_00	vo_eny_eny_static_00_cough_00	omuk		Static		(sound) coughs		0		0		
vo_eny_eny_	static_00_	danger_toohigh_00	vo_eny_eny_static_00_danger_toohigh_00	omuk	hambo	Static	shocked	has seen a player far above him	Look Above us! Taking aim!	5	看，我们上方！瞄准！	1		
vo_eny_eny_	static_00_	danger_toohigh_01	vo_eny_eny_static_00_danger_toohigh_01	omuk	hambo	Static	shocked	has seen a player far above him	They are above us!	4	在我们上面！	1		
vo_eny_eny_	static_00_	danger_toohigh_02	vo_eny_eny_static_00_danger_toohigh_02	omuk	hambo	Static	shocked	has seen a player far above him	They're attacking from above!	4	是从上方攻击的!	1		
vo_eny_eny_	static_00_	danger_unreachable_00	vo_eny_eny_static_00_danger_unreachable_00	omuk	hambo	Static	angry	has seen a player, but can't get to that spot	Cowards! Fight like men!	4	懦夫！有本事像男人一样战斗!	1		
vo_eny_eny_	static_00_	danger_unreachable_01	vo_eny_eny_static_00_danger_unreachable_01	omuk	hambo	Static	angry	has seen a player, but can't get to that spot	How did they get there?	5	他们是怎么到那种地方的?	1		
vo_eny_eny_	static_00_	danger_unreachable_02	vo_eny_eny_static_00_danger_unreachable_02	omuk	hambo	Static	angry	has seen a player, but can't get to that spot	I can't reach them!	4	我无法接近他们…	1		
vo_eny_eny_	static_00_	death_scream_00	vo_eny_eny_static_00_death_scream_00	omuk	hambo	Static	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	static_00_	death_scream_01	vo_eny_eny_static_00_death_scream_01	omuk	hambo	Static	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	static_00_	death_scream_02	vo_eny_eny_static_00_death_scream_02	omuk	hambo	Static	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	static_00_	death_scream_03	vo_eny_eny_static_00_death_scream_03	omuk	hambo	Static	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	static_00_	death_scream_04	vo_eny_eny_static_00_death_scream_04	omuk	hambo	Static	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	static_00_	death_scream_muffled_00	vo_eny_eny_static_00_death_scream_muffled_00	omuk	hambo	Static	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	static_00_	death_scream_muffled_01	vo_eny_eny_static_00_death_scream_muffled_01	omuk	hambo	Static	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	static_00_	death_scream_muffled_02	vo_eny_eny_static_00_death_scream_muffled_02	omuk	hambo	Static	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	static_00_	death_scream_muffled_03	vo_eny_eny_static_00_death_scream_muffled_03	omuk	hambo	Static	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	static_00_	death_scream_muffled_04	vo_eny_eny_static_00_death_scream_muffled_04	omuk	hambo	Static	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	static_00_	detect_corpse_female_02	vo_eny_eny_static_00_detect_corpse_female_02	omuk		Static	shocked	sees a corpse	She's dead!	2	她死了！	1		
vo_eny_eny_	static_00_	detect_corpse_female_03	vo_eny_eny_static_00_detect_corpse_female_03	omuk		Static	shocked	sees a corpse	They must have killed her!	5	一定是他们杀了她！	1		
vo_eny_eny_	static_00_	detect_corpse_male_00	vo_eny_eny_static_00_detect_corpse_male_00	omuk		Static	shocked	sees a corpse	He's dead!	2	他死了！	1		
vo_eny_eny_	static_00_	detect_corpse_male_01	vo_eny_eny_static_00_detect_corpse_male_01	omuk		Static	shocked	sees a corpse	They killed him!	3	一定是他们杀了他！	1		
vo_eny_eny_	static_00_	detect_corpse_neutral_02	vo_eny_eny_static_00_detect_corpse_neutral_02	omuk	hambo	Static	shocked	sees a corpse	Murder!	1	杀人了！	1		
vo_eny_eny_	static_00_	detect_corpse_neutral_03	vo_eny_eny_static_00_detect_corpse_neutral_03	omuk	hambo	Static	shocked	sees a corpse	Assassins!	1	有刺客！	1		
vo_eny_eny_	static_00_	detect_footsteps_00	vo_eny_eny_static_00_detect_footsteps_00	omuk		Static	dismissive	sees player footprints	Huh? Footprints …	3	嗯？脚印……	1		
vo_eny_eny_	static_00_	detect_footsteps_01	vo_eny_eny_static_00_detect_footsteps_01	omuk		Static	dismissive	sees player footprints	Who made those footprints?	4	是谁的脚印？	1		
vo_eny_eny_	static_00_	detect_footsteps_02	vo_eny_eny_static_00_detect_footsteps_02	omuk		Static	dismissive	sees player footprints	Who left those tracks!	4	是谁留下的足迹！	1		
vo_eny_eny_	static_00_	detect_footsteps_03	vo_eny_eny_static_00_detect_footsteps_03	omuk		Static	dismissive	sees player footprints	These tracks do not belong here.	6	这些足迹怎么会出现在这里……	1		
vo_eny_eny_	static_00_	detect_footsteps_04	vo_eny_eny_static_00_detect_footsteps_04	omuk		Static	dismissive	sees player footprints	Someone must be sneaking around?	5	肯定有人潜伏在附近	1		
vo_eny_eny_	static_00_	detect_lightsource_00	vo_eny_eny_static_00_detect_lightsource_00	omuk		Static	dismissive	sees extiguished lamp, but doesn't leave his post	The light's gone out …	5	灯灭了……	1		
vo_eny_eny_	static_00_	detect_lightsource_01	vo_eny_eny_static_00_detect_lightsource_01	omuk		Static	dismissive	sees extiguished lamp, but doesn't leave his post	Was it the wind?	4	是风吹灭的吗？	1		
vo_eny_eny_	static_00_	detect_lightsource_02	vo_eny_eny_static_00_detect_lightsource_02	omuk		Static	dismissive	sees extiguished lamp, but doesn't leave his post	That light should be burning.	5	灯必须点亮	1		
vo_eny_eny_	static_00_	detect_lightsource_03	vo_eny_eny_static_00_detect_lightsource_03	omuk		Static	dismissive	sees extiguished lamp, but doesn't leave his post	Someone has been careless with that lamp.	7	是谁没看好火	1		
vo_eny_eny_	static_00_	detect_lightsource_04	vo_eny_eny_static_00_detect_lightsource_04	omuk		Static	dismissive	sees extiguished lamp, but doesn't leave his post	The fire's died …	4	火灭了……	1		
vo_eny_eny_	static_00_	detect_player_00	vo_eny_eny_static_00_detect_player_00	omuk	hambo	Static	agressive	sees a player character	Don't you move!	3	别动!	1		
vo_eny_eny_	static_00_	detect_player_01	vo_eny_eny_static_00_detect_player_01	omuk	hambo	Static	agressive	sees a player character	Stop right there!	3	站住别动！	1		
vo_eny_eny_	static_00_	detect_player_02	vo_eny_eny_static_00_detect_player_02	omuk	hambo	Static	agressive	sees a player character	Halt!	1	站住！	1		
vo_eny_eny_	static_00_	detect_player_03	vo_eny_eny_static_00_detect_player_03	omuk	hambo	Static	agressive	sees a player character	I can see you!	4	我看到你了！	1		
vo_eny_eny_	static_00_	detect_player_04	vo_eny_eny_static_00_detect_player_04	omuk	hambo	Static	agressive	sees a player character	You there!	2	那边的!	1		
vo_eny_eny_	static_00_	detect_player_05	vo_eny_eny_static_00_detect_player_05	omuk	hambo	Static	agressive	sees a player character	Stop right there!	3	站住别动！	1		
vo_eny_eny_	static_00_	detect_player_06	vo_eny_eny_static_00_detect_player_06	omuk	hambo	Static	agressive	sees a player character	Intruder!	1	有入侵者！	1		
vo_eny_eny_	static_00_	detect_player_07	vo_eny_eny_static_00_detect_player_07	omuk	hambo	Static	agressive	sees a player character	Die, you scum!	3	死吧，渣滓！	1		
vo_eny_eny_	static_00_	detect_player_08	vo_eny_eny_static_00_detect_player_08	omuk	hambo	Static	agressive	sees a player character	I've got you!	3	我找到你了！	1		
vo_eny_eny_	static_00_	detect_player_09	vo_eny_eny_static_00_detect_player_09	omuk	hambo	Static	agressive	sees a player character	H-hey you!	2	喂，你!	1		
vo_eny_eny_	static_00_	detect_player_10	vo_eny_eny_static_00_detect_player_10	omuk	hambo	Static	agressive	sees a player character	Death to the attacker!	4	干掉入侵者！	1		
vo_eny_eny_	static_00_	detect_player_11	vo_eny_eny_static_00_detect_player_11	omuk	hambo	Static	agressive	sees a player character	Kill the intruder!	3	杀了入侵者！	1		
vo_eny_eny_	static_00_	detect_player_12	vo_eny_eny_static_00_detect_player_12	omuk	hambo	Static	agressive	sees a player character	It's the Shogunate!	3	是将军的走狗	1		
vo_eny_eny_	static_00_	detect_player_13	vo_eny_eny_static_00_detect_player_13	omuk	hambo	Static	agressive	sees a player character	It's them!	2	是他们！	1		
vo_eny_eny_	static_00_	detect_player_14	vo_eny_eny_static_00_detect_player_14	omuk	hambo	Static	agressive	sees a player character	You shouldn't be here!	4	你不该在这儿出现!	1		
vo_eny_eny_	static_00_	detect_player_15	vo_eny_eny_static_00_detect_player_15	omuk	hambo	Static	agressive	sees a player character	I'll take care of you!	5	让我来教训你…	1		
vo_eny_eny_	static_00_	detect_player_16	vo_eny_eny_static_00_detect_player_16	omuk	hambo	Static	agressive	sees a player character	Don't try to run!	4	别想跑!	1		
vo_eny_eny_	static_00_	detect_player_17	vo_eny_eny_static_00_detect_player_17	omuk	hambo	Static	agressive	sees a player character	You can't escape!	3	你逃不掉的!	1		
vo_eny_eny_	static_00_	detect_player_proximity_00	vo_eny_eny_static_00_detect_player_proximity_00	omuk	hambo	Static	suspicious	senses a nearby player character	Something's wrong …	3	不对劲…	1		
vo_eny_eny_	static_00_	detect_player_proximity_01	vo_eny_eny_static_00_detect_player_proximity_01	omuk	hambo	Static	suspicious	senses a nearby player character	Strange … it feels like …	6	奇怪…感觉好像…	1		
vo_eny_eny_	static_00_	detect_player_proximity_02	vo_eny_eny_static_00_detect_player_proximity_02	omuk	hambo	Static	suspicious	senses a nearby player character	Wait … is someone …	5	等等…好像有人…	1		
vo_eny_eny_	static_00_	detect_player_proximity_03	vo_eny_eny_static_00_detect_player_proximity_03	omuk	hambo	Static	suspicious	senses a nearby player character	I'm sure there's something there …	6	我...我敢肯定那儿有什么东西…	1		
vo_eny_eny_	static_00_	detect_sake_00	vo_eny_eny_static_00_detect_sake_00	omuk	hambo	Static	dismissive	spots the sake bottle	Sake, huh? ...someone else have it.	6	清酒，嗯?……我就不要了	1		
vo_eny_eny_	static_00_	detect_sake_01	vo_eny_eny_static_00_detect_sake_01	omuk	hambo	Static	dismissive	spots the sake bottle	Can’t leave my post for sake.	6	啊...不能因为清酒离岗	1		
vo_eny_eny_	static_00_	detect_sake_02	vo_eny_eny_static_00_detect_sake_02	omuk	hambo	Static	dismissive	spots the sake bottle	It's a bad thing I stopped drinking.	7	可惜我已经戒酒了	1		
vo_eny_eny_	static_00_	detect_tanuki_00	vo_eny_eny_static_00_detect_tanuki_00	omuk	hambo	Static	indifferent	sees the tanuki	Heh, just an animal.	4	原来只是只动物…	1		
vo_eny_eny_	static_00_	detect_tanuki_01	vo_eny_eny_static_00_detect_tanuki_01	omuk	hambo	Static	annoyed	sees the tanuki	Away with you! Shoo!	4	滚开！去，去！	1		
vo_eny_eny_	static_00_	detect_tanuki_02	vo_eny_eny_static_00_detect_tanuki_02	omuk	hambo	Static	indifferent	sees the tanuki	Eh … I’ll just ignore you.	6	好吧……我无视它好了	1		
vo_eny_eny_	static_00_	detect_unconscious_female_01	vo_eny_eny_static_00_detect_unconscious_female_01	omuk		Static	concerned	sees unconcious person	She's unconscious.	2	她晕过去了	1		
vo_eny_eny_	static_00_	detect_unconscious_female_02	vo_eny_eny_static_00_detect_unconscious_female_02	omuk		Static	concerned	sees unconcious person	She's been hit!	3	她受了重击	1		
vo_eny_eny_	static_00_	detect_unconscious_female_03	vo_eny_eny_static_00_detect_unconscious_female_03	omuk		Static	concerned	sees unconcious person	She's been attacked.	3	她被袭击了	1		
vo_eny_eny_	static_00_	detect_unconscious_male_00	vo_eny_eny_static_00_detect_unconscious_male_00	omuk		Static	concerned	sees unconcious person	He's unconscious.	2	他晕过去了	1		
vo_eny_eny_	static_00_	detect_unconscious_male_01	vo_eny_eny_static_00_detect_unconscious_male_01	omuk		Static	concerned	sees unconcious person	He's been hit!	3	他受了重击	1		
vo_eny_eny_	static_00_	detect_unconscious_male_02	vo_eny_eny_static_00_detect_unconscious_male_02	omuk		Static	concerned	sees unconcious person	That man been attacked.	4	他好像被袭击了	1		
vo_eny_eny_	static_00_	detect_unconscious_neutral_01	vo_eny_eny_static_00_detect_unconscious_neutral_01	omuk	hambo	Static	concerned	sees unconcious person	What happened there?	3	那里发生了什么？	1		
vo_eny_eny_	static_00_	detect_unconscious_neutral_02	vo_eny_eny_static_00_detect_unconscious_neutral_02	omuk	hambo	Static	concerned	sees unconcious person	Hey! What's wrong!	3	喂！你怎么了？	1		
vo_eny_eny_	static_00_	detect_unconscious_neutral_03	vo_eny_eny_static_00_detect_unconscious_neutral_03	omuk	hambo	Static	concerned	sees unconcious person	Are you sleeping?	3	你在睡觉吗？	1		
vo_eny_eny_	static_00_	drink_sake_00	vo_eny_eny_static_00_drink_sake_00	omuk		Static		(sound) drink sake		0		0		
vo_eny_eny_	static_00_	drop_object_00	vo_eny_eny_static_00_drop_object_00	omuk		Static		(sound) lay down heavy object		0		0		
vo_eny_eny_	static_00_	friend_missing_female_00	vo_eny_eny_static_00_friend_missing_female_00	omuk		Static	concerned	his partner is missing	He's gone missing!	3	他不见了！	1		
vo_eny_eny_	static_00_	friend_missing_female_01	vo_eny_eny_static_00_friend_missing_female_01	omuk		Static	concerned	his partner is missing	She left her post.	4	她擅离岗位	1		
vo_eny_eny_	static_00_	friend_missing_female_02	vo_eny_eny_static_00_friend_missing_female_02	omuk		Static	concerned	his partner is missing	Where is she?	3	她去哪了?	1		
vo_eny_eny_	static_00_	friend_missing_female_03	vo_eny_eny_static_00_friend_missing_female_03	omuk		Static	concerned	his partner is missing	What's keeping her?	3	她干什么去了？	1		
vo_eny_eny_	static_00_	friend_missing_female_04	vo_eny_eny_static_00_friend_missing_female_04	omuk		Static	concerned	his partner is missing	She's gone too long.	4	她怎么这么久不回来	1		
vo_eny_eny_	static_00_	friend_missing_male_01	vo_eny_eny_static_00_friend_missing_male_01	omuk	placeholder	Static	concerned	his partner is missing	He left his post.	4	他擅离岗位	1		
vo_eny_eny_	static_00_	friend_missing_male_02	vo_eny_eny_static_00_friend_missing_male_02	omuk	placeholder	Static	concerned	his partner is missing	Where is he?	3	他去哪了?	1		
vo_eny_eny_	static_00_	friend_missing_male_03	vo_eny_eny_static_00_friend_missing_male_03	omuk	placeholder	Static	concerned	his partner is missing	What on earth keeping him?	5	他干什么去了？	1		
vo_eny_eny_	static_00_	friend_missing_male_04	vo_eny_eny_static_00_friend_missing_male_04	omuk	placeholder	Static	concerned	his partner is missing	He's gone too long.	4	他怎么这么久不回来	1		
vo_eny_eny_	static_00_	friend_wakeup_00	vo_eny_eny_static_00_friend_wakeup_00	omuk	hambo	Static	urgent	wakes unconcious person	Hey! Wake up!	3	喂！醒醒！	1		
vo_eny_eny_	static_00_	friend_wakeup_01	vo_eny_eny_static_00_friend_wakeup_01	omuk	hambo	Static	urgent	wakes unconcious person	Get up!	2	起来!	1		
vo_eny_eny_	static_00_	friend_wakeup_02	vo_eny_eny_static_00_friend_wakeup_02	omuk	hambo	Static	urgent	wakes unconcious person	Are you alright?	3	你还好吗？	1		
vo_eny_eny_	static_00_	friend_wakeup_03	vo_eny_eny_static_00_friend_wakeup_03	omuk	hambo	Static	urgent	wakes unconcious person	What happened to you?	4	你怎么了?	1		
vo_eny_eny_	static_00_	friend_wakeup_04	vo_eny_eny_static_00_friend_wakeup_04	omuk	hambo	Static	urgent	wakes unconcious person	On your feet!	3	站起来!	1		
vo_eny_eny_	static_00_	hard_work_00	vo_eny_eny_static_00_hard_work_00	omuk		Static		(sound) pushing a cart		0		0		
vo_eny_eny_	static_00_	hear_noise_00	vo_eny_eny_static_00_hear_noise_00	omuk		Static	suspicious	hears strange noise	Huh?!	1	嗯?！	1		
vo_eny_eny_	static_00_	hear_noise_01	vo_eny_eny_static_00_hear_noise_01	omuk		Static	suspicious	hears strange noise	What was that?	3	什么声音？	1		
vo_eny_eny_	static_00_	hear_noise_02	vo_eny_eny_static_00_hear_noise_02	omuk		Static	suspicious	hears strange noise	I heard something …	4	我听到了什么…	1		
vo_eny_eny_	static_00_	hear_noise_03	vo_eny_eny_static_00_hear_noise_03	omuk		Static	suspicious	hears strange noise	Strange sound …	3	奇怪的声音……	1		
vo_eny_eny_	static_00_	hear_noise_04	vo_eny_eny_static_00_hear_noise_04	omuk		Static	suspicious	hears strange noise	That noise …	3	这声音…	1		
vo_eny_eny_	static_00_	hear_noise_directhit_00	vo_eny_eny_static_00_hear_noise_directhit_00	omuk		Static	very irritated	is hit by stone	Ow! Who was that?	4	啊，痛！是谁？	1		
vo_eny_eny_	static_00_	hear_noise_directhit_01	vo_eny_eny_static_00_hear_noise_directhit_01	omuk		Static	very irritated	is hit by stone	Argh … you will pay for this!	7	嗷！你会为此付出代价的！	1		
vo_eny_eny_	static_00_	hear_noise_directhit_02	vo_eny_eny_static_00_hear_noise_directhit_02	omuk		Static	very irritated	is hit by stone	Gah! Show yourself, now!	4	啊！快给我出来！	1		
vo_eny_eny_	static_00_	hear_noise_directhit_03	vo_eny_eny_static_00_hear_noise_directhit_03	omuk		Static	very irritated	is hit by stone	Ouch! Stop this!	3	哎哟！快住手！	1		
vo_eny_eny_	static_00_	hear_noise_gunshot_00	vo_eny_eny_static_00_hear_noise_gunshot_00	omuk		Static	alarmed	hears player gunshot	Why is there shooting?	4	怎么会有枪声?	1		
vo_eny_eny_	static_00_	hear_noise_gunshot_01	vo_eny_eny_static_00_hear_noise_gunshot_01	omuk		Static	alarmed	hears player gunshot	Shots fired! Alarm!	3	有枪声!快发警报！	1		
vo_eny_eny_	static_00_	hear_noise_gunshot_02	vo_eny_eny_static_00_hear_noise_gunshot_02	omuk		Static	alarmed	hears player gunshot	The enemy has firearms!	4	敌人有枪！	1		
vo_eny_eny_	static_00_	hear_noise_human_00	vo_eny_eny_static_00_hear_noise_human_00	omuk		Static	tense	hears human noise	Someone there?	2	有人在那儿吗?	1		
vo_eny_eny_	static_00_	hear_noise_human_01	vo_eny_eny_static_00_hear_noise_human_01	omuk		Static	tense	hears human noise	Who goes there?	3	谁在那儿?	1		
vo_eny_eny_	static_00_	hear_noise_human_02	vo_eny_eny_static_00_hear_noise_human_02	omuk		Static	tense	hears human noise	I heard that!	3	我听到了!	1		
vo_eny_eny_	static_00_	hear_noise_human_03	vo_eny_eny_static_00_hear_noise_human_03	omuk		Static	tense	hears human noise	Who's making that noise?	4	是谁的声音？	1		
vo_eny_eny_	static_00_	hear_noise_human_04	vo_eny_eny_static_00_hear_noise_human_04	omuk		Static	tense	hears human noise	Who hides in the shadows?	5	是谁藏在暗处？	1		
vo_eny_eny_	static_00_	hear_noise_human_05	vo_eny_eny_static_00_hear_noise_human_05	omuk		Static	tense	hears human noise	Who is this?	3	是谁?	1		
vo_eny_eny_	static_00_	hear_noise_too_much_00	vo_eny_eny_static_00_hear_noise_too_much_00	omuk	hambo	Static	irritated	irritated by a continuous string of strange noises	Enough already!	2	够了!	1		
vo_eny_eny_	static_00_	hear_noise_too_much_01	vo_eny_eny_static_00_hear_noise_too_much_01	omuk	hambo	Static	irritated	irritated by a continuous string of strange noises	Who is doing this?	4	是谁在作怪？	1		
vo_eny_eny_	static_00_	hear_noise_too_much_02	vo_eny_eny_static_00_hear_noise_too_much_02	omuk	hambo	Static	irritated	irritated by a continuous string of strange noises	Show yourself!	2	快出来！	1		
vo_eny_eny_	static_00_	hear_noise_too_much_03	vo_eny_eny_static_00_hear_noise_too_much_03	omuk	hambo	Static	irritated	irritated by a continuous string of strange noises	This isn't funny!	3	一点也不好玩！	1		
vo_eny_eny_	static_00_	hum_00	vo_eny_eny_static_00_hum_00	omuk		Static		(sound) humming tune		0		0		
vo_eny_eny_	static_00_	ignore_distraction_00	vo_eny_eny_static_00_ignore_distraction_00	omuk	hambo	Static	dutiful	ignores player distraction (whistle, stone noise)	It's nothing.	2	不值一提	1		
vo_eny_eny_	static_00_	ignore_distraction_01	vo_eny_eny_static_00_ignore_distraction_01	omuk	hambo	Static	dutiful	ignores player distraction (whistle, stone noise)	Just the wind.	3	只是风声而已	1		
vo_eny_eny_	static_00_	ignore_distraction_02	vo_eny_eny_static_00_ignore_distraction_02	omuk	hambo	Static	dutiful	ignores player distraction (whistle, stone noise)	The wind plays tricks on me.	6	风在和我开玩笑而已	1		
vo_eny_eny_	static_00_	ignore_distraction_03	vo_eny_eny_static_00_ignore_distraction_03	omuk	hambo	Static	dutiful	ignores player distraction (whistle, stone noise)	I will not be distracted.	5	我不会分心的	1		
vo_eny_eny_	static_00_	ignore_distraction_04	vo_eny_eny_static_00_ignore_distraction_04	omuk	hambo	Static	dutiful	ignores player distraction (whistle, stone noise)	Hrm … nothing.	3	嗯……什么事都没有	1		
vo_eny_eny_	static_00_	ignore_disturbance_00	vo_eny_eny_static_00_ignore_disturbance_00	omuk	hambo	Static	dutiful	ignores disturbance (footprints, snuffed torch)	I can't leave my post.	5	我不能离开岗位	1		
vo_eny_eny_	static_00_	ignore_disturbance_01	vo_eny_eny_static_00_ignore_disturbance_01	omuk	hambo	Static	dutiful	ignores disturbance (footprints, snuffed torch)	I must remember my duty.	5	我必须牢记职责	1		
vo_eny_eny_	static_00_	ignore_disturbance_02	vo_eny_eny_static_00_ignore_disturbance_02	omuk	hambo	Static	dutiful	ignores disturbance (footprints, snuffed torch)	Nothing important …	3	不是什么要紧事	1		
vo_eny_eny_	static_00_	ignore_disturbance_03	vo_eny_eny_static_00_ignore_disturbance_03	omuk	hambo	Static	dutiful	ignores disturbance (footprints, snuffed torch)	Not worth it …	4	没必要去查	1		
vo_eny_eny_	static_00_	investigate_accident_start_00	vo_eny_eny_static_00_investigate_accident_start_00	omuk	hambo	Static	shocked	sees accident (like guard crushed by falling debris)	What happened?	2	发生了什么？	1		
vo_eny_eny_	static_00_	investigate_accident_start_01	vo_eny_eny_static_00_investigate_accident_start_01	omuk	hambo	Static	shocked	sees accident (like guard crushed by falling debris)	How did this happen?	4	怎么会发生这种事？	1		
vo_eny_eny_	static_00_	investigate_accident_start_02	vo_eny_eny_static_00_investigate_accident_start_02	omuk	hambo	Static	shocked	sees accident (like guard crushed by falling debris)	Impossible!	1	怎么会...！	1		
vo_eny_eny_	static_00_	investigate_accident_start_03	vo_eny_eny_static_00_investigate_accident_start_03	omuk	hambo	Static	shocked	sees accident (like guard crushed by falling debris)	B-but … how?!	3	这……怎么会？	1		
vo_eny_eny_	static_00_	investigate_accident_start_04	vo_eny_eny_static_00_investigate_accident_start_04	omuk	hambo	Static	shocked	sees accident (like guard crushed by falling debris)	No! It can't be!	4	不！怎么可能!	1		
vo_eny_eny_	static_00_	investigate_accident_stop_00	vo_eny_eny_static_00_investigate_accident_stop_00	omuk	hambo	Static	accepting	stops investigating accident	Such a shame ...	4	真可怜……	1		
vo_eny_eny_	static_00_	investigate_accident_stop_01	vo_eny_eny_static_00_investigate_accident_stop_01	omuk	hambo	Static	accepting	stops investigating accident	Karma, eh?	2	所谓，人各有命？	1		
vo_eny_eny_	static_00_	investigate_accident_stop_02	vo_eny_eny_static_00_investigate_accident_stop_02	omuk	hambo	Static	accepting	stops investigating accident	Hm, tragic …	3	真悲惨…	1		
vo_eny_eny_	static_00_	investigate_accident_stop_03	vo_eny_eny_static_00_investigate_accident_stop_03	omuk	hambo	Static	accepting	stops investigating accident	Cursed fate …	3	被诅咒的命运	1		
vo_eny_eny_	static_00_	investigate_accident_stop_04	vo_eny_eny_static_00_investigate_accident_stop_04	omuk	hambo	Static	accepting	stops investigating accident	Nothing we can do.	4	我们也无能为力	1		
vo_eny_eny_	static_00_	investigate_bush_00	vo_eny_eny_static_00_investigate_bush_00	omuk	hambo	Static	agressive	searches bushes for player characters	Hiding in the bushes?!	4	想躲在灌木丛中?	1		
vo_eny_eny_	static_00_	investigate_bush_01	vo_eny_eny_static_00_investigate_bush_01	omuk	hambo	Static	agressive	searches bushes for player characters	You can't hide from me!	5	你躲不了我的！	1		
vo_eny_eny_	static_00_	investigate_bush_02	vo_eny_eny_static_00_investigate_bush_02	omuk	hambo	Static	agressive	searches bushes for player characters	You cannot fool me!	4	你骗不了我的!	1		
