2,3,9									
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN
vo_eny_eny_	static_00_	detect_footsteps_03	vo_eny_eny_static_00_detect_footsteps_03	omuk		Static	dismissive	sees player footprints	こんなとこに足跡が？
vo_eny_eny_	static_00_	detect_footsteps_04	vo_eny_eny_static_00_detect_footsteps_04	omuk		Static	dismissive	sees player footprints	誰か侵入したのか…。
vo_eny_eny_	static_00_	detect_lightsource_00	vo_eny_eny_static_00_detect_lightsource_00	omuk		Static	dismissive	sees extiguished lamp, but doesn't leave his post	火が消えたぞ…。
vo_eny_eny_	static_00_	detect_lightsource_01	vo_eny_eny_static_00_detect_lightsource_01	omuk		Static	dismissive	sees extiguished lamp, but doesn't leave his post	風で消えたのか？
vo_eny_eny_	static_00_	detect_lightsource_02	vo_eny_eny_static_00_detect_lightsource_02	omuk		Static	dismissive	sees extiguished lamp, but doesn't leave his post	明かりが灯っているはずだが？
vo_eny_eny_	static_00_	detect_lightsource_03	vo_eny_eny_static_00_detect_lightsource_03	omuk		Static	dismissive	sees extiguished lamp, but doesn't leave his post	誰かが間違って消したのか？
vo_eny_eny_	static_00_	detect_lightsource_04	vo_eny_eny_static_00_detect_lightsource_04	omuk		Static	dismissive	sees extiguished lamp, but doesn't leave his post	火が消えてるな。
vo_eny_eny_	static_00_	detect_player_00	vo_eny_eny_static_00_detect_player_00	omuk	hambo	Static	agressive	sees a player character	動くな！
vo_eny_eny_	static_00_	detect_player_01	vo_eny_eny_static_00_detect_player_01	omuk	hambo	Static	agressive	sees a player character	そこで止まれ！
vo_eny_eny_	static_00_	detect_player_02	vo_eny_eny_static_00_detect_player_02	omuk	hambo	Static	agressive	sees a player character	止まれ！
vo_eny_eny_	static_00_	detect_player_03	vo_eny_eny_static_00_detect_player_03	omuk	hambo	Static	agressive	sees a player character	お前だな！
vo_eny_eny_	static_00_	detect_player_04	vo_eny_eny_static_00_detect_player_04	omuk	hambo	Static	agressive	sees a player character	そこの貴様！
vo_eny_eny_	static_00_	detect_player_05	vo_eny_eny_static_00_detect_player_05	omuk	hambo	Static	agressive	sees a player character	そこで止まれ！
vo_eny_eny_	static_00_	detect_player_06	vo_eny_eny_static_00_detect_player_06	omuk	hambo	Static	agressive	sees a player character	侵入者だ！
vo_eny_eny_	static_00_	detect_player_07	vo_eny_eny_static_00_detect_player_07	omuk	hambo	Static	agressive	sees a player character	このクズめ！
vo_eny_eny_	static_00_	detect_player_08	vo_eny_eny_static_00_detect_player_08	omuk	hambo	Static	agressive	sees a player character	ここまでだ！
vo_eny_eny_	static_00_	detect_player_09	vo_eny_eny_static_00_detect_player_09	omuk	hambo	Static	agressive	sees a player character	おい、お前！
vo_eny_eny_	static_00_	detect_player_10	vo_eny_eny_static_00_detect_player_10	omuk	hambo	Static	agressive	sees a player character	奴らに死を！
vo_eny_eny_	static_00_	detect_player_11	vo_eny_eny_static_00_detect_player_11	omuk	hambo	Static	agressive	sees a player character	侵入者に死を！
vo_eny_eny_	static_00_	detect_player_12	vo_eny_eny_static_00_detect_player_12	omuk	hambo	Static	agressive	sees a player character	幕府の奴らだ！
vo_eny_eny_	static_00_	detect_player_13	vo_eny_eny_static_00_detect_player_13	omuk	hambo	Static	agressive	sees a player character	敵だぞ！
vo_eny_eny_	static_00_	detect_player_14	vo_eny_eny_static_00_detect_player_14	omuk	hambo	Static	agressive	sees a player character	ここは立ち入り禁止だ！
vo_eny_eny_	static_00_	detect_player_15	vo_eny_eny_static_00_detect_player_15	omuk	hambo	Static	agressive	sees a player character	俺が始末する！
vo_eny_eny_	static_00_	detect_player_16	vo_eny_eny_static_00_detect_player_16	omuk	hambo	Static	agressive	sees a player character	逃げるな！
vo_eny_eny_	static_00_	detect_player_17	vo_eny_eny_static_00_detect_player_17	omuk	hambo	Static	agressive	sees a player character	逃げられないぞ！
vo_eny_eny_	static_00_	detect_player_proximity_00	vo_eny_eny_static_00_detect_player_proximity_00	omuk	hambo	Static	suspicious	senses a nearby player character	何か変だな…。
vo_eny_eny_	static_00_	detect_player_proximity_01	vo_eny_eny_static_00_detect_player_proximity_01	omuk	hambo	Static	suspicious	senses a nearby player character	おかしいぞ。まるで…。
vo_eny_eny_	static_00_	detect_player_proximity_02	vo_eny_eny_static_00_detect_player_proximity_02	omuk	hambo	Static	suspicious	senses a nearby player character	待てよ、誰かいるのか？
vo_eny_eny_	static_00_	detect_player_proximity_03	vo_eny_eny_static_00_detect_player_proximity_03	omuk	hambo	Static	suspicious	senses a nearby player character	そこに何かあると思うんだが…。
vo_eny_eny_	static_00_	detect_sake_00	vo_eny_eny_static_00_detect_sake_00	omuk	hambo	Static	dismissive	spots the sake bottle	酒かぁ？俺はやめておくよ。
vo_eny_eny_	static_00_	detect_sake_01	vo_eny_eny_static_00_detect_sake_01	omuk	hambo	Static	dismissive	spots the sake bottle	酒のために持ち場は離れられん。
vo_eny_eny_	static_00_	detect_sake_02	vo_eny_eny_static_00_detect_sake_02	omuk	hambo	Static	dismissive	spots the sake bottle	酒はやめたからな。
vo_eny_eny_	static_00_	detect_tanuki_00	vo_eny_eny_static_00_detect_tanuki_00	omuk	hambo	Static	indifferent	sees the tanuki	なんだ、動物か。
vo_eny_eny_	static_00_	detect_tanuki_01	vo_eny_eny_static_00_detect_tanuki_01	omuk	hambo	Static	annoyed	sees the tanuki	そうだ、シッシッ。あっちへ行け！
vo_eny_eny_	static_00_	detect_tanuki_02	vo_eny_eny_static_00_detect_tanuki_02	omuk	hambo	Static	indifferent	sees the tanuki	いいよ…無視するまでだ。
vo_eny_eny_	static_00_	detect_unconscious_female_01	vo_eny_eny_static_00_detect_unconscious_female_01	omuk		Static	concerned	sees unconcious person	気絶しているぞ。
vo_eny_eny_	static_00_	detect_unconscious_female_02	vo_eny_eny_static_00_detect_unconscious_female_02	omuk		Static	concerned	sees unconcious person	殴られたんだ。
vo_eny_eny_	static_00_	detect_unconscious_female_03	vo_eny_eny_static_00_detect_unconscious_female_03	omuk		Static	concerned	sees unconcious person	襲われたんだ。
vo_eny_eny_	static_00_	detect_unconscious_male_00	vo_eny_eny_static_00_detect_unconscious_male_00	omuk		Static	concerned	sees unconcious person	気絶してるぞ。
vo_eny_eny_	static_00_	detect_unconscious_male_01	vo_eny_eny_static_00_detect_unconscious_male_01	omuk		Static	concerned	sees unconcious person	殴られてるぞ！
vo_eny_eny_	static_00_	detect_unconscious_male_02	vo_eny_eny_static_00_detect_unconscious_male_02	omuk		Static	concerned	sees unconcious person	襲われたんだな。
vo_eny_eny_	static_00_	detect_unconscious_neutral_01	vo_eny_eny_static_00_detect_unconscious_neutral_01	omuk	hambo	Static	concerned	sees unconcious person	何があった？
vo_eny_eny_	static_00_	detect_unconscious_neutral_02	vo_eny_eny_static_00_detect_unconscious_neutral_02	omuk	hambo	Static	concerned	sees unconcious person	おい！どうしたんだ？
vo_eny_eny_	static_00_	detect_unconscious_neutral_03	vo_eny_eny_static_00_detect_unconscious_neutral_03	omuk	hambo	Static	concerned	sees unconcious person	寝てるのか？
vo_eny_eny_	static_00_	drink_sake_00	vo_eny_eny_static_00_drink_sake_00	omuk		Static		(sound) drink sake	
vo_eny_eny_	static_00_	drop_object_00	vo_eny_eny_static_00_drop_object_00	omuk		Static		(sound) lay down heavy object	
vo_eny_eny_	static_00_	friend_missing_female_00	vo_eny_eny_static_00_friend_missing_female_00	omuk		Static	concerned	his partner is missing	いなくなったぞ！
vo_eny_eny_	static_00_	friend_missing_female_01	vo_eny_eny_static_00_friend_missing_female_01	omuk		Static	concerned	his partner is missing	持ち場を離れたみたいだ。
vo_eny_eny_	static_00_	friend_missing_female_02	vo_eny_eny_static_00_friend_missing_female_02	omuk		Static	concerned	his partner is missing	どこへ行ったんだ？
vo_eny_eny_	static_00_	friend_missing_female_03	vo_eny_eny_static_00_friend_missing_female_03	omuk		Static	concerned	his partner is missing	何に時間がかかってるんだか…。
vo_eny_eny_	static_00_	friend_missing_female_04	vo_eny_eny_static_00_friend_missing_female_04	omuk		Static	concerned	his partner is missing	長くかかり過ぎだ。
vo_eny_eny_	static_00_	friend_missing_male_01	vo_eny_eny_static_00_friend_missing_male_01	omuk	placeholder	Static	concerned	his partner is missing	持ち場を離れたのか。
vo_eny_eny_	static_00_	friend_missing_male_02	vo_eny_eny_static_00_friend_missing_male_02	omuk	placeholder	Static	concerned	his partner is missing	どこへ行ったんだ？
vo_eny_eny_	static_00_	friend_missing_male_03	vo_eny_eny_static_00_friend_missing_male_03	omuk	placeholder	Static	concerned	his partner is missing	何をしてるんだ？
vo_eny_eny_	static_00_	friend_missing_male_04	vo_eny_eny_static_00_friend_missing_male_04	omuk	placeholder	Static	concerned	his partner is missing	かなり時間が経ってるぞ。
vo_eny_eny_	static_00_	friend_wakeup_00	vo_eny_eny_static_00_friend_wakeup_00	omuk	hambo	Static	urgent	wakes unconcious person	おい！起きろ！
vo_eny_eny_	static_00_	friend_wakeup_01	vo_eny_eny_static_00_friend_wakeup_01	omuk	hambo	Static	urgent	wakes unconcious person	立てよ！
vo_eny_eny_	static_00_	friend_wakeup_02	vo_eny_eny_static_00_friend_wakeup_02	omuk	hambo	Static	urgent	wakes unconcious person	お前、大丈夫か？
vo_eny_eny_	static_00_	friend_wakeup_03	vo_eny_eny_static_00_friend_wakeup_03	omuk	hambo	Static	urgent	wakes unconcious person	何が起きたんだ？
vo_eny_eny_	static_00_	friend_wakeup_04	vo_eny_eny_static_00_friend_wakeup_04	omuk	hambo	Static	urgent	wakes unconcious person	しっかりするんだ！
vo_eny_eny_	static_00_	hard_work_00	vo_eny_eny_static_00_hard_work_00	omuk		Static		(sound) pushing a cart	
vo_eny_eny_	static_00_	hear_noise_00	vo_eny_eny_static_00_hear_noise_00	omuk		Static	suspicious	hears strange noise	フム？
vo_eny_eny_	static_00_	hear_noise_01	vo_eny_eny_static_00_hear_noise_01	omuk		Static	suspicious	hears strange noise	今のは何だ？
vo_eny_eny_	static_00_	hear_noise_02	vo_eny_eny_static_00_hear_noise_02	omuk		Static	suspicious	hears strange noise	何か聞こえたような…。
vo_eny_eny_	static_00_	hear_noise_03	vo_eny_eny_static_00_hear_noise_03	omuk		Static	suspicious	hears strange noise	妙な音だ…。
vo_eny_eny_	static_00_	hear_noise_04	vo_eny_eny_static_00_hear_noise_04	omuk		Static	suspicious	hears strange noise	あの音は…。
vo_eny_eny_	static_00_	hear_noise_directhit_00	vo_eny_eny_static_00_hear_noise_directhit_00	omuk		Static	very irritated	is hit by stone	イテッ！何だよ？！
vo_eny_eny_	static_00_	hear_noise_directhit_01	vo_eny_eny_static_00_hear_noise_directhit_01	omuk		Static	very irritated	is hit by stone	うごっ…ただではおかんぞ！
vo_eny_eny_	static_00_	hear_noise_directhit_02	vo_eny_eny_static_00_hear_noise_directhit_02	omuk		Static	very irritated	is hit by stone	お前…！今すぐ姿を見せろ！
vo_eny_eny_	static_00_	hear_noise_directhit_03	vo_eny_eny_static_00_hear_noise_directhit_03	omuk		Static	very irritated	is hit by stone	イテッ！やめろ！
vo_eny_eny_	static_00_	hear_noise_gunshot_00	vo_eny_eny_static_00_hear_noise_gunshot_00	omuk		Static	alarmed	hears player gunshot	銃声…？
vo_eny_eny_	static_00_	hear_noise_gunshot_01	vo_eny_eny_static_00_hear_noise_gunshot_01	omuk		Static	alarmed	hears player gunshot	攻撃だ！警鐘を！
vo_eny_eny_	static_00_	hear_noise_gunshot_02	vo_eny_eny_static_00_hear_noise_gunshot_02	omuk		Static	alarmed	hears player gunshot	敵は銃を持ってるぞ！
vo_eny_eny_	static_00_	hear_noise_human_00	vo_eny_eny_static_00_hear_noise_human_00	omuk		Static	tense	hears human noise	誰かいるのか？
vo_eny_eny_	static_00_	hear_noise_human_01	vo_eny_eny_static_00_hear_noise_human_01	omuk		Static	tense	hears human noise	誰だ？
vo_eny_eny_	static_00_	hear_noise_human_02	vo_eny_eny_static_00_hear_noise_human_02	omuk		Static	tense	hears human noise	何か聞こえたぞ！
vo_eny_eny_	static_00_	hear_noise_human_03	vo_eny_eny_static_00_hear_noise_human_03	omuk		Static	tense	hears human noise	音を立ててるのは誰だ？
vo_eny_eny_	static_00_	hear_noise_human_04	vo_eny_eny_static_00_hear_noise_human_04	omuk		Static	tense	hears human noise	暗闇に隠れてるのか？！
vo_eny_eny_	static_00_	hear_noise_human_05	vo_eny_eny_static_00_hear_noise_human_05	omuk		Static	tense	hears human noise	何だ？
vo_eny_eny_	static_00_	hear_noise_too_much_00	vo_eny_eny_static_00_hear_noise_too_much_00	omuk	hambo	Static	irritated	irritated by a continuous string of strange noises	いい加減にしろ！
vo_eny_eny_	static_00_	hear_noise_too_much_01	vo_eny_eny_static_00_hear_noise_too_much_01	omuk	hambo	Static	irritated	irritated by a continuous string of strange noises	誰の仕業だ？
vo_eny_eny_	static_00_	hear_noise_too_much_02	vo_eny_eny_static_00_hear_noise_too_much_02	omuk	hambo	Static	irritated	irritated by a continuous string of strange noises	出てこい！
vo_eny_eny_	static_00_	hear_noise_too_much_03	vo_eny_eny_static_00_hear_noise_too_much_03	omuk	hambo	Static	irritated	irritated by a continuous string of strange noises	冗談だとしたら面白くないぞ！
vo_eny_eny_	static_00_	hum_00	vo_eny_eny_static_00_hum_00	omuk		Static		(sound) humming tune	
vo_eny_eny_	static_00_	ignore_distraction_00	vo_eny_eny_static_00_ignore_distraction_00	omuk	hambo	Static	dutiful	ignores player distraction (whistle, stone noise)	何でもないな。
vo_eny_eny_	static_00_	ignore_distraction_01	vo_eny_eny_static_00_ignore_distraction_01	omuk	hambo	Static	dutiful	ignores player distraction (whistle, stone noise)	風か。
vo_eny_eny_	static_00_	ignore_distraction_02	vo_eny_eny_static_00_ignore_distraction_02	omuk	hambo	Static	dutiful	ignores player distraction (whistle, stone noise)	紛らわしい風だ。
vo_eny_eny_	static_00_	ignore_distraction_03	vo_eny_eny_static_00_ignore_distraction_03	omuk	hambo	Static	dutiful	ignores player distraction (whistle, stone noise)	気を散らしちゃいかん。
vo_eny_eny_	static_00_	ignore_distraction_04	vo_eny_eny_static_00_ignore_distraction_04	omuk	hambo	Static	dutiful	ignores player distraction (whistle, stone noise)	ふん、何でもないぞ。
vo_eny_eny_	static_00_	ignore_disturbance_00	vo_eny_eny_static_00_ignore_disturbance_00	omuk	hambo	Static	dutiful	ignores disturbance (footprints, snuffed torch)	持ち場は離れられん。
vo_eny_eny_	static_00_	ignore_disturbance_01	vo_eny_eny_static_00_ignore_disturbance_01	omuk	hambo	Static	dutiful	ignores disturbance (footprints, snuffed torch)	任務を全うせねば。
vo_eny_eny_	static_00_	ignore_disturbance_02	vo_eny_eny_static_00_ignore_disturbance_02	omuk	hambo	Static	dutiful	ignores disturbance (footprints, snuffed torch)	大したことじゃないだろう。
vo_eny_eny_	static_00_	ignore_disturbance_03	vo_eny_eny_static_00_ignore_disturbance_03	omuk	hambo	Static	dutiful	ignores disturbance (footprints, snuffed torch)	確認することもないな。
vo_eny_eny_	static_00_	investigate_accident_start_00	vo_eny_eny_static_00_investigate_accident_start_00	omuk	hambo	Static	shocked	sees accident (like guard crushed by falling debris)	何があった？
vo_eny_eny_	static_00_	investigate_accident_start_01	vo_eny_eny_static_00_investigate_accident_start_01	omuk	hambo	Static	shocked	sees accident (like guard crushed by falling debris)	一体どうしたんだ？
vo_eny_eny_	static_00_	investigate_accident_start_02	vo_eny_eny_static_00_investigate_accident_start_02	omuk	hambo	Static	shocked	sees accident (like guard crushed by falling debris)	そんな…！
vo_eny_eny_	static_00_	investigate_accident_start_03	vo_eny_eny_static_00_investigate_accident_start_03	omuk	hambo	Static	shocked	sees accident (like guard crushed by falling debris)	でも、どうやって？！
vo_eny_eny_	static_00_	investigate_accident_start_04	vo_eny_eny_static_00_investigate_accident_start_04	omuk	hambo	Static	shocked	sees accident (like guard crushed by falling debris)	何だ？！あり得ない！
vo_eny_eny_	static_00_	investigate_accident_stop_00	vo_eny_eny_static_00_investigate_accident_stop_00	omuk	hambo	Static	accepting	stops investigating accident	残念だな…。
vo_eny_eny_	static_00_	investigate_accident_stop_01	vo_eny_eny_static_00_investigate_accident_stop_01	omuk	hambo	Static	accepting	stops investigating accident	因果応報…だろう。
vo_eny_eny_	static_00_	investigate_accident_stop_02	vo_eny_eny_static_00_investigate_accident_stop_02	omuk	hambo	Static	accepting	stops investigating accident	何て悲惨な…。
vo_eny_eny_	static_00_	investigate_accident_stop_03	vo_eny_eny_static_00_investigate_accident_stop_03	omuk	hambo	Static	accepting	stops investigating accident	呪われた運命か…。
vo_eny_eny_	static_00_	investigate_accident_stop_04	vo_eny_eny_static_00_investigate_accident_stop_04	omuk	hambo	Static	accepting	stops investigating accident	俺たちにできることはないな。
vo_eny_eny_	static_00_	investigate_bush_00	vo_eny_eny_static_00_investigate_bush_00	omuk	hambo	Static	agressive	searches bushes for player characters	茂みにいるのか？
vo_eny_eny_	static_00_	investigate_bush_01	vo_eny_eny_static_00_investigate_bush_01	omuk	hambo	Static	agressive	searches bushes for player characters	俺からは逃げられんぞ。
vo_eny_eny_	static_00_	investigate_bush_02	vo_eny_eny_static_00_investigate_bush_02	omuk	hambo	Static	agressive	searches bushes for player characters	俺は騙されんぞ。
vo_eny_eny_	static_00_	investigate_bush_03	vo_eny_eny_static_00_investigate_bush_03	omuk	hambo	Static	agressive	searches bushes for player characters	藪の中を這ってるのか？
vo_eny_eny_	static_00_	investigate_bush_04	vo_eny_eny_static_00_investigate_bush_04	omuk	hambo	Static	agressive	searches bushes for player characters	茂みごときで俺の目を欺けるとでも？
vo_eny_eny_	static_00_	investigate_door_00	vo_eny_eny_static_00_investigate_door_00	omuk	hambo	Static	agressive	follows player character inside buildings	そこに隠れてるんだろ？
vo_eny_eny_	static_00_	investigate_door_01	vo_eny_eny_static_00_investigate_door_01	omuk	hambo	Static	agressive	follows player character inside buildings	そこにいるのは分かってるんだ！
vo_eny_eny_	static_00_	investigate_door_02	vo_eny_eny_static_00_investigate_door_02	omuk	hambo	Static	agressive	follows player character inside buildings	そこなら安全とでも思ってるのか？
vo_eny_eny_	static_00_	investigate_end_00	vo_eny_eny_static_00_investigate_end_00	omuk	hambo	Static	tension releases	"stops investigating area
(same as squad solo)"	誰もいないな。
vo_eny_eny_	static_00_	investigate_end_01	vo_eny_eny_static_00_investigate_end_01	omuk	hambo	Static	tension releases	"stops investigating area
(same as squad solo)"	いないようだ。
vo_eny_eny_	static_00_	investigate_end_02	vo_eny_eny_static_00_investigate_end_02	omuk	hambo	Static	tension releases	"stops investigating area
(same as squad solo)"	何もないぞ。
vo_eny_eny_	static_00_	investigate_end_03	vo_eny_eny_static_00_investigate_end_03	omuk	hambo	Static	tension releases	"stops investigating area
(same as squad solo)"	フッ、逃げられたか。
vo_eny_eny_	static_00_	investigate_end_04	vo_eny_eny_static_00_investigate_end_04	omuk	hambo	Static	tension releases	"stops investigating area
(same as squad solo)"	逃げたようだな…。
vo_eny_eny_	static_00_	investigate_end_05	vo_eny_eny_static_00_investigate_end_05	omuk	hambo	Static	tension releases	"stops investigating area
(same as squad solo)"	ふん、誰もいないぞ。
vo_eny_eny_	static_00_	investigate_missing_00	vo_eny_eny_static_00_investigate_missing_00	omuk		Static	annoyed	searches the area for missing friend	お～い。
vo_eny_eny_	static_00_	investigate_missing_01	vo_eny_eny_static_00_investigate_missing_01	omuk		Static	annoyed	searches the area for missing friend	どこかに隠れてるのか？
vo_eny_eny_	static_00_	investigate_missing_02	vo_eny_eny_static_00_investigate_missing_02	omuk		Static	annoyed	searches the area for missing friend	そこにいるのか？
vo_eny_eny_	static_00_	investigate_missing_03	vo_eny_eny_static_00_investigate_missing_03	omuk		Static	annoyed	searches the area for missing friend	冗談はほどほどにしろ！
vo_eny_eny_	static_00_	investigate_missing_04	vo_eny_eny_static_00_investigate_missing_04	omuk		Static	annoyed	searches the area for missing friend	どこにいるんだ？返事しろ！
vo_eny_eny_	static_00_	investigate_missing_05	vo_eny_eny_static_00_investigate_missing_05	omuk		Static	annoyed	searches the area for missing friend	聞こえてるか？
vo_eny_eny_	static_00_	investigate_other_00	vo_eny_eny_static_00_investigate_other_00	omuk		Static	urgent	doesn't leave his post, sends someone else	誰か調査してこい！
vo_eny_eny_	static_00_	investigate_other_01	vo_eny_eny_static_00_investigate_other_01	omuk		Static	urgent	doesn't leave his post, sends someone else	お前！調査してこい！
vo_eny_eny_	static_00_	investigate_other_02	vo_eny_eny_static_00_investigate_other_02	omuk		Static	urgent	doesn't leave his post, sends someone else	お前、行ってこい！俺は持ち場を離れられん。
