PREFIX	CHAR	ACTION	SUFFIX	NAME	Variation	Loop	Gameplay	REC.	IMPL.	used for	SPEAKER	MOOD	COMMENT	EN
vo_ply_ply_	war_	confirm_	tense_01	vo_ply_ply_war_confirm_tense_01				omuk	philipp	com valid	Warrior	tense		急がねば。
vo_ply_ply_	war_	confirm_	tense_02	vo_ply_ply_war_confirm_tense_02				omuk	philipp	com valid	Warrior	tense		急ぐぞ！
vo_ply_ply_	war_	confirm_	tense_03	vo_ply_ply_war_confirm_tense_03				omuk	philipp	com valid	Warrior	tense		良い戦略だ。
vo_ply_ply_	war_	confirm_	tense_04	vo_ply_ply_war_confirm_tense_04				omuk	philipp	com valid	Warrior	tense		向かっているぞ！
vo_ply_ply_	war_	confirm_	tense_05	vo_ply_ply_war_confirm_tense_05				omuk	philipp	com valid	Warrior	tense		失敗は許されない。
vo_ply_ply_	war_	confirm_	tense_06	vo_ply_ply_war_confirm_tense_06				omuk	philipp	com valid	Warrior	tense		直ちに！
vo_ply_ply_	war_	confirm_	tense_07	vo_ply_ply_war_confirm_tense_07				omuk	philipp	com valid	Warrior	tense		直ちにそこに向かう。
vo_ply_ply_	war_	confirm_	tense_08	vo_ply_ply_war_confirm_tense_08				omuk	philipp	com valid	Warrior	tense		名誉のために！
vo_ply_ply_	war_	confirm_	cold_00	vo_ply_ply_war_confirm_cold_00				omuk	philipp	com valid	Warrior	cold		止まらない方がいいだろう。
vo_ply_ply_	war_	confirm_	cold_01	vo_ply_ply_war_confirm_cold_01				omuk	philipp	com valid	Warrior	cold		足跡をどうにかするべきだ。
vo_ply_ply_	war_	confirm_	cold_02	vo_ply_ply_war_confirm_cold_02				omuk	philipp	com valid	Warrior	cold		寒さでは我々を止められない。
vo_ply_ply_	war_	confirm_	cold_03	vo_ply_ply_war_confirm_cold_03				omuk	philipp	com valid	Warrior	cold		雪の中を前進。
vo_ply_ply_	war_	confirm_	cold_04	vo_ply_ply_war_confirm_cold_04				omuk	philipp	com valid	Warrior	cold		用心しよう。地面が滑りやすくなっておる。
vo_ply_ply_	war_	confirm_	cold_05	vo_ply_ply_war_confirm_cold_05				omuk	philipp	com valid	Warrior	cold		我らの足跡は気付かれるであろう。
vo_ply_ply_	war_	confirm_	war_00	vo_ply_ply_war_confirm_war_00				omuk	philipp	com valid	Warrior	alive		戦じゃ！
vo_ply_ply_	war_	confirm_	war_01	vo_ply_ply_war_confirm_war_01				omuk	philipp	com valid	Warrior	alive		栄光の為に！
vo_ply_ply_	war_	confirm_	war_02	vo_ply_ply_war_confirm_war_02				omuk	philipp	com valid	Warrior	alive		死に立ち向かえ！
vo_ply_ply_	war_	confirm_	war_03	vo_ply_ply_war_confirm_war_03				omuk	philipp	com valid	Warrior	alive		我らは勝利を収めるであろう。
vo_ply_ply_	war_	confirm_	war_04	vo_ply_ply_war_confirm_war_04				omuk	philipp	com valid	Warrior	alive		勝利は我らのものだ！
vo_ply_ply_	war_	confirm_	war_05	vo_ply_ply_war_confirm_war_05				omuk	philipp	com valid	Warrior	alive		我らの出番だ！
vo_ply_ply_	war_	confirm_	team_00	vo_ply_ply_war_confirm_team_00				omuk	philipp	com valid	Warrior	content		我ら一丸となろう。
vo_ply_ply_	war_	confirm_	team_01	vo_ply_ply_war_confirm_team_01				omuk	philipp	com valid	Warrior	content		認めよう。
vo_ply_ply_	war_	confirm_	team_02	vo_ply_ply_war_confirm_team_02				omuk	philipp	com valid	Warrior	content		共に行こう、隼人殿。
vo_ply_ply_	war_	confirm_	team_03	vo_ply_ply_war_confirm_team_03				omuk	philipp	com valid	Warrior	content		愛琥殿、貴殿の為に。
vo_ply_ply_	war_	confirm_	team_04	vo_ply_ply_war_confirm_team_04				omuk	philipp	com valid	Warrior	content		見張りを頼む、巧磨殿。
vo_ply_ply_	war_	confirm_	team_05	vo_ply_ply_war_confirm_team_05				omuk	philipp	com valid	Warrior	content		共にいますぞ、雪殿。
vo_ply_ply_	war_	confirm_	rain_00	vo_ply_ply_war_confirm_rain_00				omuk	philipp	com valid	Warrior	displeased		泥の中を前進。
vo_ply_ply_	war_	confirm_	rain_01	vo_ply_ply_war_confirm_rain_01				omuk	philipp	com valid	Warrior	displeased		雨ごときで我々を阻むことは出来ぬ。
vo_ply_ply_	war_	confirm_	rain_02	vo_ply_ply_war_confirm_rain_02				omuk	philipp	com valid	Warrior	displeased		我らは必要とされている。
vo_ply_ply_	war_	confirm_	rain_03	vo_ply_ply_war_confirm_rain_03				omuk	philipp	com valid	Warrior	displeased		後で乾かせばよい。
vo_ply_ply_	war_	confirm_	rain_04	vo_ply_ply_war_confirm_rain_04				omuk	philipp	com valid	Warrior	displeased	can't get any more wet	うーむ、既に濡れてしまったわい。
vo_ply_ply_	war_	confirm_	rain_05	vo_ply_ply_war_confirm_rain_05				omuk	philipp	com valid	Warrior	displeased		水たまりに気をつけろ。
vo_ply_ply_	war_	refuse_	normal_00	vo_ply_ply_war_refuse_normal_00				omuk	philipp	com invalid	Warrior	stealthy		不可能じゃ。
vo_ply_ply_	war_	refuse_	normal_01	vo_ply_ply_war_refuse_normal_01				omuk	philipp	com invalid	Warrior	stealthy		すまぬ。
vo_ply_ply_	war_	refuse_	normal_02	vo_ply_ply_war_refuse_normal_02				omuk	philipp	com invalid	Warrior	stealthy		拙者では力が及ばない。
vo_ply_ply_	war_	refuse_	normal_03	vo_ply_ply_war_refuse_normal_03				omuk	philipp	com invalid	Warrior	stealthy		拙者には出来ない、無理だ。
vo_ply_ply_	war_	refuse_	normal_04	vo_ply_ply_war_refuse_normal_04				omuk	philipp	com invalid	Warrior	stealthy		これは無駄だ。
vo_ply_ply_	war_	refuse_	tense_00	vo_ply_ply_war_refuse_tense_00				omuk	philipp	com invalid	Warrior	tense		馬鹿げておる！
vo_ply_ply_	war_	refuse_	tense_01	vo_ply_ply_war_refuse_tense_01				omuk	philipp	com invalid	Warrior	tense		不可能じゃ！
vo_ply_ply_	war_	refuse_	tense_02	vo_ply_ply_war_refuse_tense_02				omuk	philipp	com invalid	Warrior	tense		拙者には出来ん！
vo_ply_ply_	war_	refuse_	tense_03	vo_ply_ply_war_refuse_tense_03				omuk	philipp	com invalid	Warrior	tense		これは何にもなりはせんぞ。
vo_ply_ply_	war_	refuse_	tense_04	vo_ply_ply_war_refuse_tense_04				omuk	philipp	com invalid	Warrior	tense		拙者は反対じゃ。
vo_ply_ply_	war_	refuse_path_	normal_00	vo_ply_ply_war_refuse_path_normal_00				omuk	philipp	com move unreachable	Warrior	stealthy		ここは険しすぎる。
vo_ply_ply_	war_	refuse_path_	normal_01	vo_ply_ply_war_refuse_path_normal_01				omuk	philipp	com move unreachable	Warrior	stealthy		は！拙者はそんなに俊敏ではないぞ。
vo_ply_ply_	war_	refuse_path_	normal_02	vo_ply_ply_war_refuse_path_normal_02				omuk	philipp	com move unreachable	Warrior	stealthy		拙者では届かない。
vo_ply_ply_	war_	refuse_path_	tense_00	vo_ply_ply_war_refuse_path_tense_00				omuk	philipp	com move unreachable	Warrior	tense		険しすぎるぞ！
vo_ply_ply_	war_	refuse_path_	tense_01	vo_ply_ply_war_refuse_path_tense_01				omuk	philipp	com move unreachable	Warrior	tense		拙者はそんなに俊敏ではない！
vo_ply_ply_	war_	refuse_path_	tense_02	vo_ply_ply_war_refuse_path_tense_02				omuk	philipp	com move unreachable	Warrior	tense		拙者には届かんぞ！
vo_ply_ply_	war_	refuse_door_enemy_	normal_00	vo_ply_ply_war_refuse_door_enemy_normal_00				omuk	philipp	com door with enemy	Warrior	stealthy		いや、誰か入っておる。
vo_ply_ply_	war_	refuse_door_enemy_	normal_01	vo_ply_ply_war_refuse_door_enemy_normal_01				omuk	philipp	com door with enemy	Warrior	stealthy		愚策だ。中に誰か入っておるぞ。
vo_ply_ply_	war_	refuse_door_enemy_	normal_02	vo_ply_ply_war_refuse_door_enemy_normal_02				omuk	philipp	com door with enemy	Warrior	stealthy		いや、敵が中におるぞ。
vo_ply_ply_	war_	refuse_door_enemy_	tense_00	vo_ply_ply_war_refuse_door_enemy_tense_00				omuk	philipp	com door with enemy	Warrior	tense		誰か入っておる！
vo_ply_ply_	war_	refuse_door_enemy_	tense_01	vo_ply_ply_war_refuse_door_enemy_tense_01				omuk	philipp	com door with enemy	Warrior	tense		中に誰か入っておるぞ！
vo_ply_ply_	war_	refuse_door_enemy_	tense_02	vo_ply_ply_war_refuse_door_enemy_tense_02				omuk	philipp	com door with enemy	Warrior	tense		中に敵がおる！
vo_ply_ply_	war_	refuse_path_usable_	normal_00	vo_ply_ply_war_refuse_path_usable_normal_00				omuk	philipp	com move unreachable without usables	Warrior	stealthy		ふむ、近道を探さねばなるまい。
vo_ply_ply_	war_	refuse_path_usable_	normal_01	vo_ply_ply_war_refuse_path_usable_normal_01				omuk	philipp	com move unreachable without usables	Warrior	stealthy		どこかにはしごはあるか？
vo_ply_ply_	war_	refuse_path_usable_	normal_02	vo_ply_ply_war_refuse_path_usable_normal_02				omuk	philipp	com move unreachable without usables	Warrior	stealthy		もっとよい道があるに違いない。
vo_ply_ply_	war_	refuse_path_usable_	tense_00	vo_ply_ply_war_refuse_path_usable_tense_00				omuk	philipp	com move unreachable without usables	Warrior	tense		近道を探さねば！
vo_ply_ply_	war_	refuse_path_usable_	tense_01	vo_ply_ply_war_refuse_path_usable_tense_01				omuk	philipp	com move unreachable without usables	Warrior	tense		はしごが必要じゃ！
vo_ply_ply_	war_	refuse_path_usable_	tense_02	vo_ply_ply_war_refuse_path_usable_tense_02				omuk	philipp	com move unreachable without usables	Warrior	tense		もっとよい道があるはずじゃ！
vo_ply_ply_	war_	refuse_cooldown_	normal_00	vo_ply_ply_war_refuse_cooldown_normal_00				omuk	philipp	com skill on cooldown	Warrior	stealthy		まだじゃ。忍耐だ。
vo_ply_ply_	war_	refuse_cooldown_	normal_01	vo_ply_ply_war_refuse_cooldown_normal_01				omuk	philipp	com skill on cooldown	Warrior	stealthy		待たねばならん。
vo_ply_ply_	war_	refuse_cooldown_	normal_02	vo_ply_ply_war_refuse_cooldown_normal_02				omuk	philipp	com skill on cooldown	Warrior	stealthy		もっと時間が必要じゃ。
vo_ply_ply_	war_	refuse_cooldown_	tense_00	vo_ply_ply_war_refuse_cooldown_tense_00				omuk	philipp	com skill on cooldown	Warrior	tense		まだじゃ！
vo_ply_ply_	war_	refuse_cooldown_	tense_01	vo_ply_ply_war_refuse_cooldown_tense_01				omuk	philipp	com skill on cooldown	Warrior	tense		忍耐じゃ！
vo_ply_ply_	war_	refuse_cooldown_	tense_02	vo_ply_ply_war_refuse_cooldown_tense_02				omuk	philipp	com skill on cooldown	Warrior	tense		まだ待っておる！
vo_ply_ply_	war_	refuse_noammo_	normal_00	vo_ply_ply_war_refuse_noammo_normal_00				omuk	philipp	com skill no ammo	Warrior	stealthy		足りんぞ。
vo_ply_ply_	war_	refuse_noammo_	normal_01	vo_ply_ply_war_refuse_noammo_normal_01				omuk	philipp	com skill no ammo	Warrior	stealthy		何も持っておらん。
vo_ply_ply_	war_	refuse_noammo_	normal_02	vo_ply_ply_war_refuse_noammo_normal_02				omuk	philipp	com skill no ammo	Warrior	stealthy		使い切ってしまった。
vo_ply_ply_	war_	refuse_noammo_	tense_00	vo_ply_ply_war_refuse_noammo_tense_00				omuk	philipp	com skill no ammo	Warrior	tense		足りんぞ！
vo_ply_ply_	war_	refuse_noammo_	tense_01	vo_ply_ply_war_refuse_noammo_tense_01				omuk	philipp	com skill no ammo	Warrior	tense		何も持っておらん！
vo_ply_ply_	war_	refuse_noammo_	tense_02	vo_ply_ply_war_refuse_noammo_tense_02				omuk	philipp	com skill no ammo	Warrior	tense	of bullets, bandages …	使い切ってしまった！
vo_ply_ply_	war_	take_damage_	normal_00	vo_ply_ply_war_take_damage_normal_00				omuk	philipp	char take damage	Warrior	fighting	gets hurt	は！骨のある敵じゃ！
vo_ply_ply_	war_	take_damage_	normal_01	vo_ply_ply_war_take_damage_normal_01				omuk	philipp	char take damage	Warrior	fighting	gets hurt	ただのかすり傷じゃ。
vo_ply_ply_	war_	take_damage_	normal_02	vo_ply_ply_war_take_damage_normal_02				omuk	philipp	char take damage	Warrior	fighting	(sound) gets hurt	
vo_ply_ply_	war_	take_damage_	normal_03	vo_ply_ply_war_take_damage_normal_03				omuk	philipp	char take damage	Warrior	fighting	(sound) gets hurt	
vo_ply_ply_	war_	take_damage_	normal_04	vo_ply_ply_war_take_damage_normal_04				omuk	philipp	char take damage	Warrior	fighting	(sound) gets hurt	
vo_ply_ply_	war_	take_damage_	normal_05	vo_ply_ply_war_take_damage_normal_05				omuk	philipp	char take damage	Warrior	fighting	(sound) gets hurt	
vo_ply_ply_	war_	death_	normal_00	vo_ply_ply_war_death_normal_00				omuk	philipp	char death	Warrior	dying	dies in the end	将軍様…お許しを…
vo_ply_ply_	war_	death_	normal_01	vo_ply_ply_war_death_normal_01				omuk	philipp	char death	Warrior	dying	dies in the end	愛しの人よ…許してくれ…
vo_ply_ply_	war_	corpse_pickup_execute_	normal_00	vo_ply_ply_war_corpse_pickup_execute_normal_00				omuk	philipp	"pickup corpse
pickup object"	Warrior		(sound) pick up dead body	
vo_ply_ply_	war_	corpse_pickup_execute_	normal_01	vo_ply_ply_war_corpse_pickup_execute_normal_01				omuk	philipp	"pickup corpse
pickup object"	Warrior		(sound) pick up dead body	
vo_ply_ply_	war_	corpse_pickup_execute_	normal_02	vo_ply_ply_war_corpse_pickup_execute_normal_02				omuk	philipp	"pickup corpse
pickup object"	Warrior		(sound) pick up dead body	
vo_ply_ply_	war_	corpse_drop_execute_	normal_00	vo_ply_ply_war_corpse_drop_execute_normal_00				omuk	philipp	"drop corpse
drop corpse in door
throw corpse off cliffs
drop object"	Warrior		(sound) lay down dead body	
vo_ply_ply_	war_	corpse_drop_execute_	normal_01	vo_ply_ply_war_corpse_drop_execute_normal_01				omuk	philipp	"drop corpse
drop corpse in door
throw corpse off cliffs
drop object"	Warrior		(sound) lay down dead body	
vo_ply_ply_	war_	corpse_drop_execute_	normal_02	vo_ply_ply_war_corpse_drop_execute_normal_02				omuk	philipp	"drop corpse
drop corpse in door
throw corpse off cliffs
drop object"	Warrior		(sound) lay down dead body	
vo_ply_ply_	war_	corpse_throw_execute_	normal_00	vo_ply_ply_war_corpse_throw_execute_normal_00				omuk	philipp	"throw corpse
throw object"	Warrior		(sound) throws something heavy	
vo_ply_ply_	war_	corpse_throw_execute_	normal_01	vo_ply_ply_war_corpse_throw_execute_normal_01				omuk	philipp	"throw corpse
throw object"	Warrior		(sound) throws something heavy	
vo_ply_ply_	war_	corpse_throw_execute_	normal_02	vo_ply_ply_war_corpse_throw_execute_normal_02				omuk	philipp	"throw corpse
throw object"	Warrior		(sound) throws something heavy	
vo_ply_ply_	war_	use_vertical_execute_	normal_00	vo_ply_ply_war_use_vertical_execute_normal_00				omuk	philipp	use vertical	Warrior		(sound) climbing	
vo_ply_ply_	war_	use_vertical_execute_	normal_01	vo_ply_ply_war_use_vertical_execute_normal_01				omuk	philipp	use vertical	Warrior		(sound) climbing	
vo_ply_ply_	war_	use_vertical_execute_	normal_02	vo_ply_ply_war_use_vertical_execute_normal_02				omuk	philipp	use vertical	Warrior		(sound) climbing	
vo_ply_ply_	war_	use_vertical_comment_	normal_00	vo_ply_ply_war_use_vertical_comment_normal_00				omuk		after use vertical	Warrior	stealthy		着いた。
vo_ply_ply_	war_	use_vertical_comment_	tense_00	vo_ply_ply_war_use_vertical_comment_tense_00				omuk		after use vertical	Warrior	tense		ここじゃ。
vo_ply_ply_	war_	melee_select_	normal_00	vo_ply_ply_war_melee_select_normal_00				omuk	philipp	"sel skill melee
switch from knockout"	Warrior	stealthy		刀を使うとしよう…
vo_ply_ply_	war_	melee_select_	normal_01	vo_ply_ply_war_melee_select_normal_01				omuk	philipp	"sel skill melee
switch from knockout"	Warrior	stealthy		将軍様の為の刃じゃ。
vo_ply_ply_	war_	melee_select_	normal_02	vo_ply_ply_war_melee_select_normal_02				omuk	philipp	"sel skill melee
switch from knockout"	Warrior	stealthy		一撃…
vo_ply_ply_	war_	melee_select_	tense_00	vo_ply_ply_war_melee_select_tense_00				omuk	philipp	"sel skill melee
switch from knockout"	Warrior	tense		刀を使わねば！
vo_ply_ply_	war_	melee_select_	tense_01	vo_ply_ply_war_melee_select_tense_01				omuk	philipp	"sel skill melee
switch from knockout"	Warrior	tense		将軍様の為の刃！
vo_ply_ply_	war_	melee_select_	tense_02	vo_ply_ply_war_melee_select_tense_02				omuk	philipp	"sel skill melee
switch from knockout"	Warrior	tense		一撃！
vo_ply_ply_	war_	melee_execute_	normal_00	vo_ply_ply_war_melee_execute_normal_00				omuk	philipp	use skill melee	Warrior	quickly	(sound) kills a person with one mighty katana strike	
vo_ply_ply_	war_	melee_execute_	normal_01	vo_ply_ply_war_melee_execute_normal_01				omuk	philipp	use skill melee	Warrior	quickly	(sound) kills a person with one mighty katana strike	
vo_ply_ply_	war_	melee_execute_	normal_02	vo_ply_ply_war_melee_execute_normal_02				omuk	philipp	use skill melee	Warrior	quickly	(sound) kills a person with one mighty katana strike	
vo_ply_ply_	war_	melee_comment_	normal_00	vo_ply_ply_war_melee_comment_normal_00				omuk		after skill melee	Warrior	stealthy	rare	最後はあっけなかったな。
vo_ply_ply_	war_	melee_comment_	normal_01	vo_ply_ply_war_melee_comment_normal_01				omuk		after skill melee	Warrior	stealthy	rare	任務のために死んでもらう。
vo_ply_ply_	war_	melee_comment_	tense_00	vo_ply_ply_war_melee_comment_tense_00				omuk		after skill melee	Warrior	tense	rare	終わった。
vo_ply_ply_	war_	melee_comment_	tense_01	vo_ply_ply_war_melee_comment_tense_01				omuk		after skill melee	Warrior	tense	rare	死が訪れた。
vo_ply_ply_	war_	melee_comment_samurai_	normal_00	vo_ply_ply_war_melee_comment_samurai_normal_00				omuk		after samurai kill	Warrior	stealthy	rare	骨のある敵だった。
vo_ply_ply_	war_	melee_comment_samurai_	normal_01	vo_ply_ply_war_melee_comment_samurai_normal_01				omuk		after samurai kill	Warrior	stealthy	rare	名誉とともに死ねたのじゃ。
vo_ply_ply_	war_	melee_comment_samurai_	tense_00	vo_ply_ply_war_melee_comment_samurai_tense_00				omuk		after samurai kill	Warrior	tense	rare	骨のある敵じゃ！
vo_ply_ply_	war_	melee_comment_samurai_	tense_01	vo_ply_ply_war_melee_comment_samurai_tense_01				omuk		after samurai kill	Warrior	tense	rare	名誉とともに死ぬがよい！
vo_ply_ply_	war_	knockout_select_	normal_00	vo_ply_ply_war_knockout_select_normal_00				omuk	philipp	"sel skill knockout
switch from melee"	Warrior	stealthy		今日は血を流す必要はない。
vo_ply_ply_	war_	knockout_select_	normal_01	vo_ply_ply_war_knockout_select_normal_01				omuk	philipp	"sel skill knockout
switch from melee"	Warrior	stealthy		刀を休ませておこう。
