sec,voen,vojp,s,en,cn,jp
129,vocs_over_over_firstcastle_post_n19,vocs_firstcastle_post_n19_jp,WARRIOR,Lord Noboru.,昇大人！,昇様！
129,vocs_over_over_firstcastle_post_n20,vocs_firstcastle_post_n20_jp,WARRIOR,"You wished to see me, my Shogun.",有何吩咐，将军大人。,お呼びでございますか。上様
129,vocs_over_over_firstcastle_post_n21,vocs_firstcastle_post_n21_jp,SHOGUN,Mugen. I received a message from our spies telling me of an illegal transport. There are wagons loaded with firearms bound for Kyoto.,无限，密探传回消息说有人非法运输。一队装有火器的车队正前往京都。,武源よ。密偵が手紙をよこした。不穏な武器輸送があるとな。京都へ向かう馬車に鉄砲が乗せられている。
129,vocs_over_over_firstcastle_post_n22,vocs_firstcastle_post_n22_jp,WARRIOR,Is it Kage-sama? Has he exposed himself?,是影大人吗？他是否已现身？,カゲサマでしょうか？姿を晒したのですか？
129,vocs_over_over_firstcastle_post_n23,vocs_firstcastle_post_n23_jp,SHOGUN,"It appears so. I want you to seize this transport. Find out where it came from, and you will no doubt find our enemy.",有这个可能。我想让你去截获车队，查出它的源头，也就必然能查出我们的敌人。,そのようだ。輸送車を捕らえたい。どこから来たのか突き止めれば、敵の正体がわかるはずだ
129,vocs_over_over_firstcastle_post_n24,vocs_firstcastle_post_n24_jp,WARRIOR,"I live to serve you, my Shogun.",在下愿赴汤蹈火，将军大人。,ははぁ、仰せのままに。
129,vocs_over_over_firstcastle_post_n25,vocs_firstcastle_post_n25_jp,SHOGUN,"This matter requires delicate hands. You will act with my authority. If you need assistance, choose with care. ",此事需谨慎处理，我全权交给你办。假如需要人手，一定要仔细甄选。 ,今回の問題は厄介だ。お前に全権限を預けよう。助けが必要なら、注意して選ぶがよい。
129,vocs_over_over_firstcastle_post_n26,vocs_firstcastle_post_n26_jp,WARRIOR,I already have someone in mind.,我已经有最佳人选了。,既に心に思うもの、一人おります。
129,vocs_over_over_firstcastle_post_n27,vocs_firstcastle_post_n27_jp,SHOGUN,"Excellent, go then, Mugen. Bring me Kage-sama.",很好。去吧，无限。把影大人给我抓回来。,よかろう、行け、武源。カゲサマを連れて来るのだ。
129,vocs_over_over_firstcastle_post_n28,vocs_firstcastle_post_n28_jp,WARRIOR,"I will not disappoint you, my Shogun.",我一定完成任务，将军大人。,ははぁ、必ずや。
130,vocs_over_over_firstcastle_post_n29,vocs_firstcastle_post_n29_jp,WARRIOR,"You are not an easy man to find, Hayato-san.",要找你可真不容易，隼人兄。,お主を見つけるのは簡単ではなかったぞ、隼人殿。
130,vocs_over_over_firstcastle_post_n30,vocs_firstcastle_post_n30_jp,NINJA,"It's part of the job. Still, I got your message. Need my help again?",干我们这行就得这样。我收到你的信了，又需要我帮忙了？,それも仕事の内だ。だが、あんたからの手紙を受け取った。また助けが必要か？
130,vocs_over_over_firstcastle_post_n31,vocs_firstcastle_post_n31_jp,WARRIOR,"I have been given a difficult task, one I wouldn't mind sharing with people I can trust.",我这有项棘手的任务，只能和最信任的人讲。,難しい任務がある。信頼のできる者にしか話せない任務だ。
130,vocs_over_over_firstcastle_post_n32,vocs_firstcastle_post_n32_jp,NINJA,Your letter … it mentioned Kage-sama. Thought that was just a rumour.,你信中……提到了影大人。我还以为他只是传闻而已。,手紙…カゲサマとあったな。ただの噂だと思っていたが。
130,vocs_over_over_firstcastle_post_n33,vocs_firstcastle_post_n33_jp,WARRIOR,"He is real, I assure you. So real so that the Shogun sees him as a threat to the peace. It will be him that we will hunt.",他确实存在，我向你保证。将军觉得他甚至足以威胁现在大好的和平局面。这次要抓的人就是他。,奴は実在する。平和を脅かす脅威だと上様も認識している。そいつが捕獲対象だ。
130,vocs_over_over_firstcastle_post_n34,vocs_firstcastle_post_n34_jp,NINJA,"Hmm ... as long as I get paid, I'm fine chasing ghosts. What's the mission?",嗯……让我去抓这种鬼也可以，只要付钱就行。任务具体是什么？,金が入るなら、その幻影を追ってもいいぜ。任務内容は？
130,vocs_over_over_firstcastle_post_n35,vocs_firstcastle_post_n35_jp,WARRIOR,"At dawn tomorrow, an illegal transport will travel along the Nakasendō route.  It will pass through the area detailed in this letter.",明日拂晓，有个非法运输车队会沿中山道通过某个区域，具体细节在信里。,明日の夜明け、違法な武器が中山道で輸送される。手紙に書いた場所を通過するだろう。
130,vocs_over_over_firstcastle_post_n36,vocs_firstcastle_post_n36_jp,WARRIOR,"I want you to halt this convoy and eliminate the officers of the guard. At your signal, I will move in with Shogunate men.",我要你截停车队并干掉守卫军官，然后发出信号。随后我会带领幕府军拿下车队。,お主にはその馬車を止めて、見張りの士官を倒してほしい。知らせを受け次第、幕府の者とそこへ向かう。
130,vocs_over_over_firstcastle_post_n37,vocs_firstcastle_post_n37_jp,NINJA,Simple enough.,小菜一碟。,お安い御用だ。
130,vocs_over_over_firstcastle_post_n38,vocs_firstcastle_post_n38_jp,NINJA,"Alright, see you on the road.",那好，路上见。,よし、道中で会おう。
130,vocs_over_over_firstcastle_post_n39,vocs_firstcastle_post_n39_jp,WARRIOR,"One more thing, Hayato-san.",还有件事，隼人兄。,隼人殿、それから…。
130,vocs_over_over_firstcastle_post_n40,vocs_firstcastle_post_n40_jp,NINJA,Hm?,嗯？,ん？
130,vocs_over_over_firstcastle_post_n41,vocs_firstcastle_post_n41_jp,WARRIOR,Good to see you again.,很高兴再次见到你。,また会えて嬉しい。
130,vocs_over_over_firstcastle_post_n42,vocs_firstcastle_post_n42_jp,NINJA,Heh … likewise.,哈……我也是。,ふっ…俺もだ。
