5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The team infiltrates Noboru's castle.
2) As they near the main castle keep, Noboru receives a pigeon from his spies.
3) The letter shocks Noboru immensely. Masaru was publicly excecuted.
4) Noboru senses the end approaching and flees to the top of the keep.
5) As the team climbs the keep to assassinate him, Noboru curses his fate.
6) We learn the story of Noboru's betrayal through his words.
7) In the end, the team reaches him and exacts revenge."
vocs_over_over_	_n14	vocs_over_over_finalcastle_briefing_n14				TRAPPER		cam to samurai with key	あたし、鍵を探せるよ！
vocs_over_over_	_n15	vocs_over_over_finalcastle_briefing_n15				GEISHA			途中で私たちの変装用の服も探さないとね。
vocs_over_over_	_n16	vocs_over_over_finalcastle_briefing_n16				GEISHA			いいでしょう。
vocs_over_over_	_n17	vocs_over_over_finalcastle_briefing_n17				GEISHA			他の仲間とは途中で合流して井戸には一緒に入りましょう。そこから先は入ってから計画しましょう。
vocs_over_over_	_n17a	vocs_over_over_finalcastle_briefing_n17a				NINJA			他の仲間とは途中で合流して井戸には一緒に入ろう。
vocs_over_over_	_n18	vocs_over_over_finalcastle_briefing_n18				GEISHA			さて、始めましょうか？
vocs_over_over_	_n19	vocs_over_over_finalcastle_briefing_n19				TRAPPER		Cam to A+Y	準備万端だよ、愛琥さん！
vocs_over_over_	_n20	vocs_over_over_finalcastle_briefing_n20				ALCHEMIST		Cam to H+T	ワシは準備できたぞ、隼人よ。
vocs_over_over_	_n21	vocs_over_over_finalcastle_briefing_n21				NINJA			よし。とっとと終わらせよう。
									
SHOOTINGRANGE									The team enters a shooting range where soldiers are practicing with firearms. If they use their matchlock pistols here, no one will notice.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_shootingrange_n00				NINJA	smug	Hayato first first	射撃練習、ね。
vocs_over_over_	_n01	vocs_over_over_finalcastle_shootingrange_n01				TRAPPER	irritated	Yuki first	いつも撃ちまくってる。
vocs_over_over_	_n02	vocs_over_over_finalcastle_shootingrange_n02				GEISHA	observant	Aiko first	兵士達が訓練しているのよ。
vocs_over_over_	_n03	vocs_over_over_finalcastle_shootingrange_n03				ALCHEMIST	making fun of sth		誰がこの小銃を作ったんじゃ？はあ、うるさくてかなわんわ。ここの持ち主を撃っても誰も気づかんぞい。
vocs_over_over_	_n04	vocs_over_over_finalcastle_shootingrange_n04				TRAPPER	eager		おー、分かった！
vocs_over_over_	_n05	vocs_over_over_finalcastle_shootingrange_n05				GEISHA	observant		ええ、私たちの発砲音をここの音と被せて隠せるわ。
vocs_over_over_	_n06	vocs_over_over_finalcastle_shootingrange_n06				NINJA	eager		ふむ、悪くない策だ。
									
MEETUP									The team has reunited
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_meetup_n00				GEISHA	pleased		さあて、皆揃ったみたいね。
vocs_over_over_	_n01	vocs_over_over_finalcastle_meetup_n01				TRAPPER	happy		わー、見違えたよ、巧磨先生！
vocs_over_over_	_n02	vocs_over_over_finalcastle_meetup_n02				ALCHEMIST	cheerful		まったくじゃ、雪ちゃん。今までで一番生きているという実感があるわい。
vocs_over_over_	_n03	vocs_over_over_finalcastle_meetup_n03				NINJA	eager		俺もだぜ、爺さん。昇はなんで撃たれたかわからないまま死ぬだろう。
									
OXEN									The team pokes an ox. The animal kicks out and destroys a statue. A nearby samurai notices this and berates the handler of the ox for this.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_oxen_n00				SAMURAI	suprised		何！？
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_oxen_n01				SAMURAI	enraged	investigates statue	なぜこのようなことが！？
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_oxen_n02				SAMURAI	very angry	to handler	馬鹿な！
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_oxen_n03				SAMURAI	very angry	to handler	何てことをしてくれた！
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_oxen_n04				SAMURAI	very angry	to handler	何て無能な奴なんだお前は！
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_oxen_n05				SAMURAI	very angry	to handler	昇様がお怒りになるぞ！
vo_hint_hint_	_n06	vo_hint_hint_finalcastle_oxen_n06				SAMURAI	very angry	to handler	あきれた事態だ。
vo_hint_hint_	_n07	vo_hint_hint_finalcastle_oxen_n07				SAMURAI	very angry	to handler	阿呆の飼い主に阿呆の畜生めが！
									
CARGO									A samurai gives orders in an area where cargo is loaded onto wagons.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_cargo_n00				SAMURAI	annoyed	to handler	この阿呆の畜生どもが。
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_cargo_n01				SAMURAI	annoyed	to handler	終わらせろよ、聞こえたのか？
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_cargo_n02				SAMURAI	annoyed	to handler	遅延はなしだ。昇様の命令は絶対だ。
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_cargo_n03				SAMURAI	annoyed	to handler	もっと早く積めないのか？
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_cargo_n04				SAMURAI	annoyed	to handler	暗くなる前に出発しなけりゃいけないんだ。
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_cargo_n05				SAMURAI	annoyed	to handler	急げ！時間がもったいないぞ。
									
SLACKERS									A samurai in black robes oversees the mounting of a cannon. Everytime he leaves, the guards and workers slack off. (looping)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	o
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_slackers_n00				CIVILIAN M	hasty	acts like he's working	来るぞ！
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_slackers_n01				ENEMY	hasty	acts like he's standing guard	持ち場につけ！
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_slackers_n02				SAMURAI	supsicious	asks officer	異常はないか？
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_slackers_n03				SAMURAI	supsicious	sees everyone's working, leaves	ふーむ…。
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_slackers_n04				CIVILIAN M	slacking off	return to slacking	行ったぞ。
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_slackers_n05				SAMURAI	slacking off	return to slacking	やっとか。
vo_hint_hint_	_n06	vo_hint_hint_finalcastle_slackers_n06				SAMURAI	supsicious	suspects the others of slacking off	ふーむ、どうしたんだ？
									
SHOOTING1									A samurai oversees rifle training.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	o
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_shooting1_n00				SAMURAI	commanding		装填！
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_shooting1_n01				SAMURAI	commanding		狙え！
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_shooting1_n02				SAMURAI	commanding		撃て！
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_shooting1_n03				SAMURAI	commanding	again	撃て！
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_shooting1_n04				SAMURAI	commanding	last time	撃て！
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_shooting1_n05				SAMURAI	drilling		遅い。
vo_hint_hint_	_n06	vo_hint_hint_finalcastle_shooting1_n06				SAMURAI	drilling		まだ射撃の達人ではない！
vo_hint_hint_	_n07	vo_hint_hint_finalcastle_shooting1_n07				SAMURAI	drilling		お前の武器は体の一部だ！
vo_hint_hint_	_n08	vo_hint_hint_finalcastle_shooting1_n08				SAMURAI	drilling		狙いを誤るな、昇様のために！
vo_hint_hint_	_n09	vo_hint_hint_finalcastle_shooting1_n09				SAMURAI	commanding		もう一度だ！
									
SHOOTING2									Noboru interrupts rifle training. He wishes to see a demonstration.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	o
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_shooting2_n00				SAMURAI	commanding		昇様！
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_shooting2_n01				BROGUN	cool		進捗具合を見に来た。
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_shooting2_n02				SAMURAI	commanding		もちろんです、昇様。
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_shooting2_n03				SAMURAI	commanding		皆の者！昇様の言葉が聞こえただろう！
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_shooting2_n04				SAMURAI	commanding		撃て！
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_shooting2_n05				SAMURAI	commanding	again	撃て！
vo_hint_hint_	_n06	vo_hint_hint_finalcastle_shooting2_n06				SAMURAI	commanding	last time	撃て！
vo_hint_hint_	_n07	vo_hint_hint_finalcastle_shooting2_n07				BROGUN	cool	leaves	ふむ、よろしい。続けなさい。
vo_hint_hint_	_n08	vo_hint_hint_finalcastle_shooting2_n08				SAMURAI	commanding		聞こえただろう！もう一度だ！
									
MESSAGE									As the team enters travels through the secret passage, we see Noboru receiving a letter.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_message_n00				GEISHA	pleased	cam on team	素晴らしい。全員いるわね。
vocs_over_over_	_n00a	vocs_over_over_finalcastle_message_n00a				NINJA	focussed	ALTERNATIVE	今のところ順調だな。
vocs_over_over_	_n01	vocs_over_over_finalcastle_message_n01				BROGUN	commanding	cam to Noboru, who's talking to a soldier	…よろしい。兵士どもは兄上の京都からの帰還に備えているようじゃな。
vocs_over_over_	_n02	vocs_over_over_finalcastle_message_n02				SAMURAI	dutiful		はい、昇様。
vocs_over_over_	_n03	vocs_over_over_finalcastle_message_n03				OFFICER	dutiful	arrives with a letter	昇様！
vocs_over_over_	_n04	vocs_over_over_finalcastle_message_n04				BROGUN	commanding		何故会話の邪魔をする？息子の居場所について何か分かったのか？
vocs_over_over_	_n05	vocs_over_over_finalcastle_message_n05				OFFICER	dutiful	hands over the letter and leaves	手紙が来ました。京都の我々の密偵からの文です。
vocs_over_over_	_n06	vocs_over_over_finalcastle_message_n06				BROGUN	"shock,
then thinking"	"reads the letter
brief pause before speaking"	…これは…そんな馬鹿な！
vocs_over_over_	_n07	vocs_over_over_finalcastle_message_n07				BROGUN	urgent commands	to samurai	士官達に見張りを二重にするように伝えよ。この天守閣には誰一人通すな。 
vocs_over_over_	_n08	vocs_over_over_finalcastle_message_n08				BROGUN	urgent commands	to samurai	通ろうとするものは殺せ。
vocs_over_over_	_n09	vocs_over_over_finalcastle_message_n09				SAMURAI	dutiful	bows and goes to carry out his orders	御意、昇様！
vocs_over_over_	_n10	vocs_over_over_finalcastle_message_n10				BROGUN	"quiet hatred
pondering"		余の息子が…兄上に処刑されただと。武源が我に復讐を？
vocs_over_over_	_n11	vocs_over_over_finalcastle_message_n11				BROGUN	calm		これで何もかも変わってしまった。
vocs_over_over_	_n12	vocs_over_over_finalcastle_message_n12				BROGUN	calm	calmly enters his castle keep	考えなければ。
									
KEEP									The team discusses how to kill Noboru inside his keep.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_keep_n00				NINJA	smug	enjoys seeing Noboru lose	どうやら上様は復讐を果たせたようだな。
vocs_over_over_	_n01	vocs_over_over_finalcastle_keep_n01				GEISHA	thinking ahead		私たちにとっては状況が複雑になってきたわ。
vocs_over_over_	_n02	vocs_over_over_finalcastle_keep_n02				TRAPPER	excited		あいつ、巣が壊された蜘蛛みたいにうずくまってるよ。
vocs_over_over_	_n03	vocs_over_over_finalcastle_keep_n03				ALCHEMIST	anticipation		あんな高い所に隠れよるが、高さはお前さんの得意分野じゃと忘れとるようじゃな。
vocs_over_over_	_n04	vocs_over_over_finalcastle_keep_n04				NINJA	curious		あんたはどうする、爺さん？
vocs_over_over_	_n05	vocs_over_over_finalcastle_keep_n05				ALCHEMIST	cheerful		ワシのことは知っとるじゃろう、隼人。ワシはいつもお主の役に立つ術を探し出せるぞ。
									
ASCENT									The team has entered the courtyard before the castle keep.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_ascent_n00				NINJA	observant	Hayato first	くそ。上につながる道があるはずだ。
vocs_over_over_	_n01	vocs_over_over_finalcastle_ascent_n01				TRAPPER	amazed	Yuki first	すごく高ーい！どうやってあそこまでたどり着くの？
vocs_over_over_	_n02	vocs_over_over_finalcastle_ascent_n02				GEISHA	leader		機転を利かせて考えないと。何か手があるはずよ。
									
NO ALARM									The team is starting to ascend the keep.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_noalarm_n00				NINJA	anticipation	Hayato first	いい眺めだ。
vocs_over_over_	_n01	vocs_over_over_finalcastle_noalarm_n01				TRAPPER	excited	Yuki first	とっても高いよ！
vocs_over_over_	_n02	vocs_over_over_finalcastle_noalarm_n02				GEISHA	this is very important		昇は最上階外側の回廊にいるわ。今は無防備だけど、私たちの存在がばれたら、手の届かない所に隠れてしまうわ。誰にも警報を鳴らさせてはだめよ！
vocs_over_over_	_n03	vocs_over_over_finalcastle_noalarm_n03				TRAPPER	excited		そうだね。賢く動いて。素早く動く。
vocs_over_over_	_n04	vocs_over_over_finalcastle_noalarm_n04				ALCHEMIST	cheerful		へへ、ワシはお前さんらが登るのを見守っておるよ。
vocs_over_over_	_n05	vocs_over_over_finalcastle_noalarm_n05				NINJA	smug		昇が最期のひと時を楽しんでいればいいな。
									
FAIL									The team is spotted while climbing the castle keep. The alarm is raised, Noboru runs to safety and the mission fails
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_fail_n00				BROGUN	victory!		愚か者どもめが！貴様らの不注意のツケがまわったのじゃ！
vocs_over_over_	_n01	vocs_over_over_finalcastle_fail_n01				NINJA	defeat!		奴は中に入ってしまった。くそ。あれが俺達の唯一の望みだったのに！
									
Easteregg									The team is spotted while climbing the castle keep. The alarm is raised, Noboru runs to safety and the mission fails
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_easteregg_n00				BROGUN			見事な技じゃ。
vocs_over_over_	_n01	vocs_over_over_finalcastle_easteregg_n01				BROGUN			首を搔っ切ると、嘆きの冬の風のような音がすると言う。
vocs_over_over_	_n02	vocs_over_over_finalcastle_easteregg_n02				BROGUN			余はそのように誰かを切ってその音を聞いてみたいと常々思うておったが
vocs_over_over_	_n03	vocs_over_over_finalcastle_easteregg_n03				BROGUN			余の首でそれを試そうとは、愚の骨頂よ。
									
MONOLOGUE1									As the team ascends the castle keep, Noboru reflects on his desicions.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_monologue1_n00				BROGUN	in thought		大代武源。余はお主を見くびっておったのか？
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_monologue1_n01				BROGUN	calm		まあそれもどうでもよい。負けは負けじゃ。兄上は余を立ち直らせてはくれまい。
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_monologue1_n02				BROGUN	calm		間違いなく武源の暗殺者どもが既にここへ向かっておろう。
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_monologue1_n03				BROGUN	calm		ああ、余の息子を討ち取った者どもに違いない。
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_monologue1_n04				BROGUN	in thought		どうであろう…あの武源が理解してくれただろうか？
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_monologue1_n05				BROGUN	in thought		奴は仁義に生きる男で、任務のためなら犠牲をも厭わない男ではなかったか？
vo_hint_hint_	_n06	vo_hint_hint_finalcastle_monologue1_n06				BROGUN	calm		運命は我らの手中にある。自身の運命は自身で決めるのだ。余は日本征服の未来を選んだが、兄上は平和を選んだのじゃ。
vo_hint_hint_	_n07	vo_hint_hint_finalcastle_monologue1_n07				BROGUN	calm		故に役目を果たすため、余は家族を無視し、同盟を集めて実の兄を討とうとしたのじゃ。
vo_hint_hint_	_n08	vo_hint_hint_finalcastle_monologue1_n08				BROGUN	calm		役目のため、余が名誉と敬意を勝ち得るためにオッコトを犠牲にした。
vo_hint_hint_	_n09	vo_hint_hint_finalcastle_monologue1_n09				BROGUN	calm		役目のため、余は実の甥を殺し、そして役目のために余は将軍になろうとした。
vo_hint_hint_	_n11	vo_hint_hint_finalcastle_monologue1_n11				BROGUN	calm		朝鮮の領地を再び我が国のものとすることもできたであろう。
vo_hint_hint_	_n12	vo_hint_hint_finalcastle_monologue1_n12				BROGUN	calm		支那の国に余の侍たちを送りこむこともできたであろう。
vo_hint_hint_	_n13	vo_hint_hint_finalcastle_monologue1_n13				BROGUN	calm		世界は我らの栄光を目しておっただろう。最強の戦士たちの国家。誰にも止めることのできない武力。
vo_hint_hint_	_n14	vo_hint_hint_finalcastle_monologue1_n14				BROGUN	calm		これが余が思い描いた余の民の未来だったのじゃ。これが余が選んだ余の役目じゃ。
vo_hint_hint_	_n15	vo_hint_hint_finalcastle_monologue1_n15				BROGUN	calm		侍は己の運命は己で切り拓く。しかし役目なくては、人生には何の意義もない。
vo_hint_hint_	_n16	vo_hint_hint_finalcastle_monologue1_n16				BROGUN	in thought		しかし今、武源は死に際に勝ち誇って立っておった。彼の役目は結局のところ他にあったからなのであろうか？
									
MONOLOGUE2									This comes after Monlogue one and will be looped until the player reaches the top of the keep.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_monologue2_n00				BROGUN	calm		ああ、わかった。
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_monologue2_n01				BROGUN	calm		しかし、それはもうどうでもよい。
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_monologue2_n02				BROGUN	calm		己が役目は己で決める。
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_monologue2_n03				BROGUN	calm		運命は我らの手中にある。.
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_monologue2_n04				BROGUN	in thought		しかしどうだろう…。
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_monologue2_n05				BROGUN	in thought		最後には何が残るのであろう…。
									
REVENGE1									Hayato confronts Noboru on the balcony of his keep.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_revenge1_n00				BROGUN	calm contempt		貴様！貴様のような傭兵ごときに死者への忠義心などどこにある？
vocs_over_over_	_n01	vocs_over_over_finalcastle_revenge1_n01				NINJA	smug		死者？そんなものはない。しかし友になら…貴様の命を終わらせるには十分なくらいは持ち合わせている。
vocs_over_over_	_n02	vocs_over_over_finalcastle_revenge1_n02				BROGUN	calm contempt	turns around	けがらわしい殺し屋め。貴様などは見るに堪えない。夕暮れの空を眺めたほうがましじゃ。
vocs_over_over_	_n02a	vocs_over_over_finalcastle_revenge1_n02a				BROGUN	calm contempt	turns around, readies his blade	けがらわしい殺し屋め。
vocs_over_over_	_n03a	vocs_over_over_finalcastle_revenge1_n03a				BROGUN	calm contempt	readies his blade	余が死なねばならぬのなら、己の手で終わらせる。
									
REVENGE2									Yuki confronts Noboru on the balcony of his keep.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_revenge2_n00				BROGUN	calm contempt		ああ！大代武源が哀れんだコソ泥か。恩人の敵を討ちに来たのか？
vocs_over_over_	_n01	vocs_over_over_finalcastle_revenge2_n01				TRAPPER	very eager		あの方は友だった。友を置いてはいかない。そして友を忘れたりもしない。
vocs_over_over_	_n02	vocs_over_over_finalcastle_revenge2_n02				BROGUN	calm contempt	turns around	みすぼらしいガキに殺されるなど。誰が想像できたであろうか。やれ。余の時間を無駄にするな。
vocs_over_over_	_n02a	vocs_over_over_finalcastle_revenge2_n02a				BROGUN	calm contempt	turns around	みすぼらしいガキなんぞに殺されてたまるか。
vocs_over_over_	_n03a	vocs_over_over_finalcastle_revenge2_n03a				BROGUN	calm contempt	readies his blade	余が死なねばならぬのなら、己の手で終わらせる。
									
REVENGE3									Aiko confronts Noboru on the balcony of his keep.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_revenge3_n00				BROGUN	calm contempt		ああ。武源の床を暖めておった売女か。
vocs_over_over_	_n01	vocs_over_over_finalcastle_revenge3_n01				GEISHA	elegant contempt		最期の言葉がそんなんでいいのかい。
vocs_over_over_	_n02	vocs_over_over_finalcastle_revenge3_n02				BROGUN	calm contempt	turns around	どうやら余は女の手で殺されるのか。いいだろう。やってしまうがよい。
vocs_over_over_	_n02a	vocs_over_over_finalcastle_revenge3_n02a				BROGUN	calm contempt	turns around	女の手で殺されてたまるか。
vocs_over_over_	_n03a	vocs_over_over_finalcastle_revenge3_n03a				BROGUN	calm contempt	readies his blade	余が死なねばならぬのなら、己の手で終わらせる。
									
REVENGE4									Noboru is killed by the team.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_revenge4_n00				NINJA	with satisfaction	Hayato kills him	大代武源がよろしく言ってたぜ…。
vocs_over_over_	_n01	vocs_over_over_finalcastle_revenge4_n01				TRAPPER	confident	Yuki kills him	あたしの名は雪。ガキじゃないよ。
vocs_over_over_	_n02	vocs_over_over_finalcastle_revenge4_n02				GEISHA	elegant contempt	Aiko kills him	私たちは皆武源様の死に涙を流した。アンタの死には誰も涙を流さないだろうさ。
									
REVENGE5									Noboru commits Seppuku.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n03	vocs_over_over_finalcastle_revenge5_n03				BROGUN	calm contempt		切腹致す。
vocs_over_over_	_n04	vocs_over_over_finalcastle_revenge5_n04				BROGUN	calm contempt	10 seconds after previous _03a, if nobody kills him	*deathsound*
vocs_over_over_	_n05	vocs_over_over_finalcastle_revenge5_n05				NINJA	dismissive	if Hayato watched him die	せいせいする。
vocs_over_over_	_n06	vocs_over_over_finalcastle_revenge5_n06				TRAPPER	exhausted	if Yuki watched him die	終わりだね。奴は死んだよ。
vocs_over_over_	_n07	vocs_over_over_finalcastle_revenge5_n07				GEISHA	elegant contempt	if Aiko watched him die	身に余る死に方だわ。
									
DEBRIEFING									Noboru dies. The team leaves the castle and has a final conversation. Then they split up.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_debriefing_n00				ALCHEMIST	poetic	watches Noboru die	閑かさや…岩にしみ入る…蝉の声。
vocs_over_over_	_n01	vocs_over_over_finalcastle_debriefing_n01				GEISHA	duty fulfilled	Takuma starts leaving. cam to balcony, all 3 standing there	終わったのね。
vocs_over_over_	_n03	vocs_over_over_finalcastle_debriefing_n03				TRAPPER	curious		次は？
vocs_over_over_	_n04	vocs_over_over_finalcastle_debriefing_n04				NINJA	focussed		ここを離れたほうが良いだろう、誰かが探しに来る前に。
								fade to scene outside castle	
vocs_over_over_	_n05	vocs_over_over_finalcastle_debriefing_n05				TRAPPER	curious	runs to greet Takuma, who's waiting for them.	巧磨先生！
vocs_over_over_	_n06	vocs_over_over_finalcastle_debriefing_n06				ALCHEMIST	cheerful		雪ちゃん！皆無事に出てこれて安心したわい。
vocs_over_over_	_n07	vocs_over_over_finalcastle_debriefing_n07				NINJA	calm		これからどうなる？
vocs_over_over_	_n08	vocs_over_over_finalcastle_debriefing_n08				GEISHA	elegant		あなた達次第ね。私は上様の元へ戻るわ。
