5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The Shogun is not pleased to see our team in his tent and calls the guards.
2) The team knocks out the guards and the Shogun must listen to their story.
3) The team has Masaru explain his father’s betrayal. 
4) The Shogun is shocked, but quickly regains his control.
5) The Shogun sends the team to Noboru's castle, where they must kill him."
vocs_over_over_	_n21	vocs_over_over_shoguncamp_post_n21				SHOGUN	cold hard anger	with finality	もういい！もう口を開くな。
vocs_over_over_	_n22	vocs_over_over_shoguncamp_post_n22				SHOGUN	heartbraking disappointment	turns away	昇…弟め…今まで…。
vocs_over_over_	_n23	vocs_over_over_shoguncamp_post_n23				GEISHA	respectful	steps forward	騙していたのです。
vocs_over_over_	_n24	vocs_over_over_shoguncamp_post_n24				SHOGUN	sees things clearly		気付くべきであった。戦いへの執着。平和な策を話すと、いつも反対した。
vocs_over_over_	_n25	vocs_over_over_shoguncamp_post_n25				SHOGUN	sees things clearly		弟は平和を欲していなかった。征服を求めていたのか。もし生まれたのが百年も前であれば、最強の将軍になっていたであろう。
vocs_over_over_	_n26	vocs_over_over_shoguncamp_post_n26				ALCHEMIST	deep		過去の闇は今をも曇らす。
vocs_over_over_	_n27	vocs_over_over_shoguncamp_post_n27				GEISHA	deep respect		失った者へ、私たちは復讐を望んでおります。
vocs_over_over_	_n28	vocs_over_over_shoguncamp_post_n28				GEISHA	deep respect	bows, the others follow	しかし、上様の指揮にお従い致します。武源様がかつてそうであったように。
vocs_over_over_	_n29	vocs_over_over_shoguncamp_post_n29				SHOGUN	contemplating	moves behind writing table again	武源…死してその忠誠を果たそうとするのか。
vocs_over_over_	_n30	vocs_over_over_shoguncamp_post_n30				SHOGUN	decisive		我が弟に名誉の死など有り得ぬ。死して忘却へ、歴史の片隅にのみ存在すべきだ。
vocs_over_over_	_n31	vocs_over_over_shoguncamp_post_n31				SHOGUN	decisive		本拠地へ乗り込め、駿府城にな。弟と対峙し、成すべき責務を果たすのだ！
vocs_over_over_	_n32	vocs_over_over_shoguncamp_post_n32				SHOGUN	decisive	sits down	戻ってきた時、そなたらの処遇を話そう。
vocs_over_over_	_n33	vocs_over_over_shoguncamp_post_n33				GEISHA	deep respect	the whole team bows	仰せのままに。上様。
vocs_over_over_	_n34	vocs_over_over_shoguncamp_post_n34				SHOGUN	decisive		では行け。一刻も無駄にはできぬ。
vocs_over_over_	_n35	vocs_over_over_shoguncamp_post_n35				SHOGUN	decisive		お前もだ、昇。
									
									
									
									
									
									
