5,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
vocs_over_over_	_n00	vocs_over_over_mansion_knife_n00	omuk	hambo		ALCHEMIST	mildly curious		You are quick with the knife. Your life was hard?	10	你小刀用得很熟练。看来以前过得很苦吧？	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_knife_n01	omuk	hambo		TRAPPER	nonchalant		When you're alone, sometimes people want to hurt you, yes? People like that, I hurt them so bad they'll never try again. 	23	有些人看我孤身一人就想欺负我。这种人我会让他们尝尝苦头，以后就再也不敢来欺负我。	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_knife_n02	omuk	hambo		ALCHEMIST	intrigued	knows there is a better way	Hmm, an effective strategy, I'm sure.	6	嗯，确实是很有效的方法。	1																					
																																	
TRAP									Yuki sets up her trap. Takuma evaluates the design.		Yuki sets up her trap. Takuma evaluates the design.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_trap_n00	omuk	hambo		ALCHEMIST	mildly curious		Hmm, a curious design. Yours?	5	唔，设计得真巧妙，是你的东西吗？	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_trap_n01	omuk	hambo		TRAPPER	proud		Mhm! It sleeps most of the time, but it gets really excited when you wind it up.	17	嗯！这孩子大部分时间都在睡觉，但只要上紧发条，就会变得很兴奋。	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_trap_n02	omuk	hambo		ALCHEMIST	intrigued		Hehe, is that so? I'd like to see how it works. Perhaps you'll show me later?	16	嘿嘿，这样啊？我想看看它的工作原理。一会儿你能给我演示一下吗？	1																					
vocs_over_over_	_n03	vocs_over_over_mansion_trap_n03	omuk	hambo		TRAPPER	"surprised
a little shy"		Yes … if you want.	5	好的……可以啊。	1																					
																																	
SNIPER									Either Hayato or Yuki spot a sniper on a tower near the perimeter wall.		Either Hayato or Yuki spot a sniper on a tower near the perimeter wall.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_sniper_n00	omuk	hambo		NINJA	quickly	Hayato first	Tower is manned!	3	塔上有人！	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_sniper_n01	omuk	hambo		TRAPPER	startled	Yuki first	Look! There's one, on the tower!	6	看！有人，在塔上面！	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_sniper_n02	omuk	hambo		ALCHEMIST	calm		Aah. The perfect time to test my new long range rifle.	11	啊，这是测试我新狙击枪的绝佳机会。	1																					
																																	
RIFLE3									Takuma uses his sniper rifle, which consists of his wooden leg and walking cane.		Takuma uses his sniper rifle, which consists of his wooden leg and walking cane.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_rifle3_n00	omuk	hambo		TRAPPER	amazed		What was that?	3	那是什么？	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_rifle3_n01	omuk	hambo		ALCHEMIST	critical 		Hrm … The stock needs reinforcing.	6	嗯……枪托还需要加固。	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_rifle3_n02	omuk	hambo		TRAPPER	amazed		There's a pistol in your leg! Did you build it?	10	你腿里藏了把枪！是你造的吗？	1																					
vocs_over_over_	_n03	vocs_over_over_mansion_rifle3_n03	omuk	hambo		NINJA	impressed		A hidden firearm … your leg's the base, your cane's the barrel ... not a bad idea old man.	19	隐藏式火器么……木腿是枪身，手杖是枪管……老爷子你这想法不错嘛。	1																					
vocs_over_over_	_n04	vocs_over_over_mansion_rifle3_n04	omuk	hambo		ALCHEMIST	critical 		Hehe, I'm glad you like it.	6	呵呵，很高兴你们喜欢它。	1																					
																																	
RIFLE2					to avoid server conflict				Takuma uses his rifle to snipe another enemy.		Takuma uses his rifle to snipe another enemy.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_rifle2_n00	omuk	hambo		ALCHEMIST	satisfied		Heh, hands are still steady.	5	呵，手感依然在。	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_rifle2_n01	omuk	hambo		TRAPPER	puzzled		It's so quiet. I bet there's a trick to it …	11	枪声竟然那么小。这枪里肯定有古怪……	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_rifle2_n02	omuk	hambo		ALCHEMIST	mild teasing		Oh, very tricky! No way a little child could understand.	10	唔，这里面门道可多了！不过小孩是看不懂的。	1																					
vocs_over_over_	_n03	vocs_over_over_mansion_rifle2_n03	omuk	hambo		TRAPPER	defiant		Not fair!	2	好过分！	1																					
																																	
GATE									The team approaches the gate in the mansion's outer wall. It is guarded by a samurai.		The team approaches the gate in the mansion's outer wall. It is guarded by a samurai.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_gate_n00	omuk	hambo		NINJA	focussed	Hayato first	Samurai at the gate.	4	大门那有武士。	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_gate_n01	omuk	hambo		TRAPPER	careful	Yuki first	There's a mean looking samurai at the gate.	8	大门那有个很凶的武士。	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_gate_n02	omuk	hambo		ALCHEMIST	confident		Hmm ... we lack Mugen's power. No matter. Samurai armour does not protect against good strategy.	16	嗯……虽然无限不在，但不要紧。武士的盔甲也抵挡不住好的战术。	1																					
																																	
CLIMBING									Hayato or Yuki climb up some vines or a rope, which Takuma can't do.		Hayato or Yuki climb up some vines or a rope, which Takuma can't do.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_climbing_n00	omuk	hambo		NINJA	focussed	Hayato first	I'll go up.	3	我上去看看。	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_climbing_n01	omuk	hambo		TRAPPER	energetic	Yuki first	Let's see what's up there.	5	我去看看上面的情况。	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_climbing_n02	omuk	hambo		ALCHEMIST	cheerful		Hehe, so much youthful energy!	5	呵呵，年轻人果然生龙活虎！	1																					
																																	
PLANK									When they scouted the mansion earlier, Hayato prepared a plank that would help them get over the mansion wall.		When they scouted the mansion earlier, Hayato prepared a plank that would help them get over the mansion wall.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_plank_n00	omuk	hambo		NINJA	pleased	Hayato first	Right where I left you.	5	看来没人动过木板。	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_plank_n01	omuk	hambo		TRAPPER	eager		Yes, they didn't find the plank! You're so clever, Hayato-sensei!	10	太好了，他们没发现这块木板！您真机智，隼人师父！	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_plank_n02	omuk	hambo		NINJA	with a sigh	doesn't want to be called sensei	Let's use it to get over the wall, shall we.	10	快点把木板搭好翻墙吧？	1																					
																																	
TOWER									Takuma climbs a watchtower via a ladder. Maybe he can snipe a few guards from up there.		Takuma climbs a watchtower via a ladder. Maybe he can snipe a few guards from up there.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_tower_n00	omuk	hambo		ALCHEMIST	feels good to be back in action		Hmm, such an inspiring view. Let's see what we can do from here.	13	嗯，如此美景真是赏心悦目。看看我在这里能干点什么吧。	1																					
																																	
SEPPUKU									Once the team breaches the mansion perimeter, they overhear a scene between Yabu and the official we stole the papers from back in Imai town.		Once the team breaches the mansion perimeter, they overhear a scene between Yabu and the official we stole the papers from back in Imai town.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_seppuku_n00	omuk	hambo		DAIMYO	angry		"So you simply ""lost"" these documents, which could lead anyone straight to Mount Tsuru."	14	如此重要的文件你就这么“弄丢”了？你知不知道有了这份文件就能找到鹤山去。	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_seppuku_n01	omuk	hambo		OFFICIAL	shamed		Forgive me, Yabu-sama. We also discovered our guards were attacked and Takuma has gone.	14	请薮大人恕罪。我们的守卫也遭到了袭击，琢磨…逃走了。	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_seppuku_n02	omuk	hambo		DAIMYO	raging		Then you are a fool! No doubt Shogunate men freed Takuma from his prison. 	15	一群蠢货！还让将军的人把琢磨放跑了。 	2																					
vocs_over_over_	_n03	vocs_over_over_mansion_seppuku_n03	omuk	hambo		DAIMYO	raging		The old cripple tried to kill me before. If the Shogun does not come for me, Takuma surely will! Do you realize now what your incompetence has cost me?!	29	这老瘸子之前就想杀我。现在即使将军不来找我，他也一定会来！因为你的无能，闯了多大的祸？！	1																					
vocs_over_over_	_n04	vocs_over_over_mansion_seppuku_n04	omuk	hambo		OFFICIAL	deeply shamed		Please, Yabu-sama! I have failed you. I am deeply shamed!	10	啊啊，薮大人！是我失职，我已无地自容！	1																					
vocs_over_over_	_n05	vocs_over_over_mansion_seppuku_n05	omuk	hambo		OFFICIAL	slightly hopeful		Will you grant this humble person permission to commit Seppuku?	10	斗胆请求您可否允许小人我切腹谢罪？	1																					
vocs_over_over_	_n05a	vocs_over_over_mansion_seppuku_n05a	omuk	hambo		OFFICIAL	slightly hopeful		Will you grant this humble person an honourable death?	9	斗胆请求您可否允许小人我死得有点尊严？	1																					
vocs_over_over_	_n06	vocs_over_over_mansion_seppuku_n06	omuk	hambo		DAIMYO	calms down	waits a bit	… very well. Perhaps you will at least die with some dignity. 	13	……可以。就让你死得体面一点吧。 	2																					
vocs_over_over_	_n07	vocs_over_over_mansion_seppuku_n07	omuk	hambo		DAIMYO	in control	to one of his bodyguards	You. Assist him.	3	你来帮他介错。	1																					
vocs_over_over_	_n08	vocs_over_over_mansion_seppuku_n08	omuk	hambo		OFFICIAL	grateful	in tears	Thank you, Yabu-sama!	3	谢谢您，薮大人！	1																					
vocs_over_over_	_n09	vocs_over_over_mansion_seppuku_n09	omuk	hambo		DAIMYO	cold		Quick and be done with it.	6	快点完事。	1																					
vocs_over_over_	_n10	vocs_over_over_mansion_seppuku_n10	omuk	hambo		OFFICIAL	dies	commits Seppuku	… !	2	……!	1																					
vocs_over_over_	_n11	vocs_over_over_mansion_seppuku_n11	omuk	hambo		DAIMYO	moving on	no comment on Seppuku	Hrm ... damn the Shogun!	5	哼……该死的将军！	1																					
vocs_over_over_	_n12	vocs_over_over_mansion_seppuku_n12	omuk	hambo		DAIMYO	commanding	*to servant*	Prepare paper and ink. I must write a letter to Kage-sama.	11	准备纸笔。我要给影大人写信。	1																					
vocs_over_over_	_n13	vocs_over_over_mansion_seppuku_n13	omuk	hambo		DAIMYO	cold	*while going inside*	The rest of you, remove this one and clean the floor. You must be finished before I have tea with my wife.	22	其他人，把尸体抬走，清理地面。在我和夫人出来用茶之前打扫干净。	1																					
																																	
PLANS									The team discusses the revelation that Yabu is indeed not Kage-sama.		The team discusses the revelation that Yabu is indeed not Kage-sama.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_plans_n00	omuk	hambo		NINJA	surprised		Huh … guess he's not Kage-sama after all. 	9	嗯……看来他不是影大人。 	2																					
vocs_over_over_	_n01	vocs_over_over_mansion_plans_n01	omuk	hambo		ALCHEMIST	cool		Hmm, indeed. Still, this changes nothing. Lord Yabu must die.	10	嗯，看来的确不是。不过，他的命数不会改变，薮大名今天必死无疑。	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_plans_n02	omuk	hambo		NINJA	questioning		You're out for him, aren't you? He said as much himself.	11	你要找他复仇对吧？他刚才自己也是这么说的。	1																					
vocs_over_over_	_n03	vocs_over_over_mansion_plans_n03	omuk	hambo		ALCHEMIST	nonchalant		Oh yes, I have a score to settle, but consider this: if we leave now, he will flee and continue to support Kage-sama.	23	啊，是的，我有笔旧账要算。不过也可以这么想：如果现在把他放跑了，他必定会继续为影大人卖命。	1																					
vocs_over_over_	_n04	vocs_over_over_mansion_plans_n04	omuk	hambo		TRAPPER	worried		He's a bad man … I know it. What do you think, Hayato-sensei?	13	他是个坏人……我看得出来。隼人师父，该怎么办呢？	1																					
vocs_over_over_	_n05	vocs_over_over_mansion_plans_n05	omuk	hambo		NINJA	gives in	apparent lack of duty	Teh, fine. If you want your revenge, old man, then let's do this. I'll get paid either way.	18	好吧。老爷子，你若想报仇，那我们就动手吧。反正给我的佣金不会少。	1																					
vocs_over_over_	_n06	vocs_over_over_mansion_plans_n06	omuk	hambo		ALCHEMIST	pleased with himself		I see we understand each other.	6	很高兴我们能达成一致。	1																					
																																	
GRENADES									The team discovers a crate of grenades.		The team discovers a crate of grenades.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_grenades_n00	omuk	hambo		NINJA	focussed	Hayato first	What's in that crate there … gunpowder?	7	那个箱子装的是什么……火药？	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_grenades_n01	omuk	hambo		TRAPPER	suprised	Yuki first	That crate … Ugh! ... gunpowder!	6	那个箱子……哇！……火药！	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_grenades_n02	omuk	hambo		ALCHEMIST	cheerful		Oho, a  fresh supply of black powder. I'll take that, thank you.	13	哦，新鲜出炉的黑火药。那我就不客气了，多谢。	1																					
																																	
SWIMMER									When Hayato or Yuki enter water.		When Hayato or Yuki enter water.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_swimmer_n00	omuk	hambo		NINJA	focussed	Hayato first	I'll swim across.	3	我可以游过去。	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_swimmer_n01	omuk	hambo		TRAPPER	happy	Yuki first	Haha, lets be like fish.	5	哈哈，鱼儿水中游呀！	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_swimmer_n02	omuk	hambo		ALCHEMIST	funny		Oh, I'll pass. Water doesn't go well with my leg, hehehe.	11	唔，我就不下水了。对我的腿不好，嘿嘿嘿。	1																					
																																	
IN POSITION									Takuma has taken position on a pavillion and is ready to shoot Yabu with his sniper rifle		Takuma has taken position on a pavillion and is ready to shoot Yabu with his sniper rifle																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_inposition_n00	omuk	hambo		ALCHEMIST	calm		Let's see … hmm, those trees block most of the inner courtyard from my line of sight .	18	让我们瞧瞧……嗯，从我这个角度看，那些树把庭院的大部分都挡住了。	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_inposition_n01	omuk	hambo		NINJA	focussed		And the part that isn't blocked?	6	没挡住的部分呢？	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_inposition_n02	omuk	hambo		ALCHEMIST	calm		Well, I can see that dog in it's kennel. If Lord Yabu stood very close to it, I could put an end to him there.	25	嗯，有个狗舍，还有狗。如果薮大名能站在狗舍前，我就能送他上路。	1																					
vocs_over_over_	_n03	vocs_over_over_mansion_inposition_n03	omuk	hambo		TRAPPER	excited		Ah! We could make the dog bark!	7	啊！想办法让狗叫怎么样？	1																					
vocs_over_over_	_n04	vocs_over_over_mansion_inposition_n04	omuk	hambo		NINJA	focussed		Hm, as good a plan as any. Alright, let's pay that dog a visit.	14	嗯，好办法。好，就先去狗那边看看。	1																					
																																	
DOG									Takuma has taken position on a pavillion and is ready to shoot Yabu with his sniper rifle.		Takuma has taken position on a pavillion and is ready to shoot Yabu with his sniper rifle.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_dog_n00	omuk	hambo		NINJA	focussed		Huh, Yabu's dog. It could help us lure out its master. Think I'll wait until Yabu's close, then provoke it with a stone.	23	哈，原来是薮的爱犬。可以利用它引出薮。等薮走到附近，我就朝狗扔块石头激怒它。	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_dog_n01	omuk	hambo		TRAPPER	a bit anxious		Ooh, big dog! Watchful! He'll bark if we make noise! Wait until his master is close, then use my birds voice …	22	啊哦，好大的狗！小心！要是发出响声，他就会叫。要等他主人靠近后，再吹响鸟笛……	1																					
																																	
PETTING									Yabu pets his dog.		Yabu pets his dog.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_mansion_petting_n00	omuk	hambo		DAIMYO	affectionate		Such a fine dog.	4	真是好狗。	1																					
vo_hint_hint_	_n01	vo_hint_hint_mansion_petting_n01	omuk	hambo		DAIMYO	affectionate		Has he been fed properly?	5	吃得好不好啊？	1																					
vo_hint_hint_	_n02	vo_hint_hint_mansion_petting_n02	omuk	hambo		DAIMYO	affectionate		An impressive breed.	3	养得真漂亮。	1																					
vo_hint_hint_	_n03	vo_hint_hint_mansion_petting_n03	omuk	hambo		DAIMYO	affectionate		None shall disturb him.	4	不能让任何人惹到他。	1																					
vo_hint_hint_	_n04	vo_hint_hint_mansion_petting_n04	omuk	hambo		DAIMYO	affectionate		A loyal creature.	3	真是头忠犬。	1																					
vo_hint_hint_	_n05	vo_hint_hint_mansion_petting_n05	omuk	hambo		DAIMYO	affectionate		He is to lack for nothing.	6	在这里什么都不缺。	1																					
																																	
REVENGE1									Takuma kills Yabu with a shot to the heart. (Perhaps SLOMO)		Takuma kills Yabu with a shot to the heart. (Perhaps SLOMO)																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_revenge1_n00	omuk	hambo		DAIMYO	shocked	shot in the heart by Takuma	AGH ... gnhhh …	4	啊……咕呃……	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_revenge1_n01	omuk	hambo		ALCHEMIST	delighted	"""Lord"" said with spite"	Hah! How does it feel to be shot down without warning, eh, Lord Yabu? I hope you realized, in that final moment, that it was me who ended you, hehehe!	30	在毫无防备的情况下被突然击毙的感觉如何，嗯，薮大名？希望你在临死之前，知道送你上路的人是我，呃哈哈哈！	1																					
vocs_over_over_	_n01a	vocs_over_over_mansion_revenge1_n01a	omuk	hambo		ALCHEMIST	delighted	ALTERNATIVE	Farewell, Lord Yabu. I hope you realized, in your final moment, that it was me who ended you, hehehe!	19	永别了，薮大名。希望你在临死之前，知道送你上路的人是我，呃哈哈哈！	1																					
																																	
GONG1									A servant rings the gong to signal teat time and says one of these lines.		A servant rings the gong to signal teat time and says one of these lines.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_mansion_gong1_n00	omuk	hambo		CIVILIAN F	dutiful		Prepare the tea.	3	备茶了。	1																					
vo_hint_hint_	_n01	vo_hint_hint_mansion_gong1_n01	omuk	hambo		CIVILIAN F	dutiful		Lord Yabu wishes to have tea.	6	薮大人要品茶了。	1																					
vo_hint_hint_	_n02	vo_hint_hint_mansion_gong1_n02	omuk	hambo		CIVILIAN F	dutiful		Serve the tea.	3	该上茶了。	1																					
vo_hint_hint_	_n03	vo_hint_hint_mansion_gong1_n03	omuk	hambo		CIVILIAN F	dutiful		The lord will have tea.	5	大名要饮茶了。	1																					
																																	
SERVANT1									The team kills or knocks out the servant that rings the gong to signal tea time.		The team kills or knocks out the servant that rings the gong to signal tea time.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_servant1_n00	omuk	hambo		NINJA	neutral	Hayato first	Huh, just a servant.	4	只是个佣人而已。	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_servant1_n01	omuk	hambo		TRAPPER	apologetic	Yuki first	Sorry.	1	对不起。	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_servant1_n02	omuk	hambo		ALCHEMIST	thinking		She was the one signalling for tea. Now it falls to us to ring the gong.	16	她是负责敲锣叫茶的。现在，上茶时间由我们把握了。	1																					
																																	
