5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Takuma wants revenge on Yabu.
2) Yabu lets someone commit Seppuku, setting up later Seppuku scenes
3) We learn Yabu is not Kage-Sama. Takuma wants to kill him anyway.
4) Killing Yabu fills Takuma with triumph, but he feels empty in the end.
5) Later, he will find new meaning in life by taking Yuki under his wing."
vocs_over_over_	_n00	vocs_over_over_mansion_sniper_n00	omuk	hambo		NINJA	quickly	Hayato first	塔には人がいる！
vocs_over_over_	_n01	vocs_over_over_mansion_sniper_n01	omuk	hambo		TRAPPER	startled	Yuki first	みて！人がいる、搭の中に。
vocs_over_over_	_n02	vocs_over_over_mansion_sniper_n02	omuk	hambo		ALCHEMIST	calm		ああ、新しい長距離銃を試す絶好の機会じゃの。
									
RIFLE3									Takuma uses his sniper rifle, which consists of his wooden leg and walking cane.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_rifle3_n00	omuk	hambo		TRAPPER	amazed		何あれ？
vocs_over_over_	_n01	vocs_over_over_mansion_rifle3_n01	omuk	hambo		ALCHEMIST	critical 		うーむ…銃床を強化せんとな。
vocs_over_over_	_n02	vocs_over_over_mansion_rifle3_n02	omuk	hambo		TRAPPER	amazed		足に銃！巧磨先生が作ったんですか？
vocs_over_over_	_n03	vocs_over_over_mansion_rifle3_n03	omuk	hambo		NINJA	impressed		隠し兵器…足元の杖が銃身か…考えたな爺さん。
vocs_over_over_	_n04	vocs_over_over_mansion_rifle3_n04	omuk	hambo		ALCHEMIST	critical 		へっへっへ、気に入ってくれて嬉しいわい。
									
RIFLE2					to avoid server conflict				Takuma uses his rifle to snipe another enemy.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_rifle2_n00	omuk	hambo		ALCHEMIST	satisfied		へっへっへ、手元は狂わせんわい。
vocs_over_over_	_n01	vocs_over_over_mansion_rifle2_n01	omuk	hambo		TRAPPER	puzzled		静かね。何か仕掛けがあるんでしょうね…。
vocs_over_over_	_n02	vocs_over_over_mansion_rifle2_n02	omuk	hambo		ALCHEMIST	mild teasing		うむ、うまい仕掛けがあるぞい！子どもにはまず理解できぬがのう。
vocs_over_over_	_n03	vocs_over_over_mansion_rifle2_n03	omuk	hambo		TRAPPER	defiant		ひどい！
									
GATE									The team approaches the gate in the mansion's outer wall. It is guarded by a samurai.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_gate_n00	omuk	hambo		NINJA	focussed	Hayato first	侍が門にいる。
vocs_over_over_	_n01	vocs_over_over_mansion_gate_n01	omuk	hambo		TRAPPER	careful	Yuki first	さもしい侍が門にいる。
vocs_over_over_	_n02	vocs_over_over_mansion_gate_n02	omuk	hambo		ALCHEMIST	confident		うーむ…武源の力は無いのじゃ。じゃがのぅ、侍の鎧とて良い戦術からは守れんわい。
									
CLIMBING									Hayato or Yuki climb up some vines or a rope, which Takuma can't do.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_climbing_n00	omuk	hambo		NINJA	focussed	Hayato first	上に行こう。
vocs_over_over_	_n01	vocs_over_over_mansion_climbing_n01	omuk	hambo		TRAPPER	energetic	Yuki first	上に何があるか確かめましょう。
vocs_over_over_	_n02	vocs_over_over_mansion_climbing_n02	omuk	hambo		ALCHEMIST	cheerful		へへ、若い力じゃの。
									
PLANK									When they scouted the mansion earlier, Hayato prepared a plank that would help them get over the mansion wall.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_plank_n00	omuk	hambo		NINJA	pleased	Hayato first	あんたを置いてきたそこだ。
vocs_over_over_	_n01	vocs_over_over_mansion_plank_n01	omuk	hambo		TRAPPER	eager		いいわ、奴ら板には気づかない。天才だわ、隼人先生！
vocs_over_over_	_n02	vocs_over_over_mansion_plank_n02	omuk	hambo		NINJA	with a sigh	doesn't want to be called sensei	壁を乗り越えるのに使おうか？
									
TOWER									Takuma climbs a watchtower via a ladder. Maybe he can snipe a few guards from up there.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_tower_n00	omuk	hambo		ALCHEMIST	feels good to be back in action		うーむ、情緒溢れる景色じゃ。ここで何ができるかのう。
									
SEPPUKU									Once the team breaches the mansion perimeter, they overhear a scene between Yabu and the official we stole the papers from back in Imai town.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_seppuku_n00	omuk	hambo		DAIMYO	angry		つまり、書類を”失くした”ということか。それでは誰でも鶴山に来られてしまう。
vocs_over_over_	_n01	vocs_over_over_mansion_seppuku_n01	omuk	hambo		OFFICIAL	shamed		お許し下さい、藪様の護衛も攻撃され、巧磨が逃げました。
vocs_over_over_	_n02	vocs_over_over_mansion_seppuku_n02	omuk	hambo		DAIMYO	raging		愚かな奴じゃ。幕府の部下が巧磨を救出させおったな。
vocs_over_over_	_n03	vocs_over_over_mansion_seppuku_n03	omuk	hambo		DAIMYO	raging		以前、老いたカタワが我を殺そうとした。将軍がここまで来ぬのなら、巧磨が来るであろう。貴様の無能の代償がどの程度か理解できたか？！
vocs_over_over_	_n04	vocs_over_over_mansion_seppuku_n04	omuk	hambo		OFFICIAL	deeply shamed		はは、藪様。失敗致しました…心より恥じております…。
vocs_over_over_	_n05	vocs_over_over_mansion_seppuku_n05	omuk	hambo		OFFICIAL	slightly hopeful		この卑しい私めに切腹をさせていただけますか？
vocs_over_over_	_n05a	vocs_over_over_mansion_seppuku_n05a	omuk	hambo		OFFICIAL	slightly hopeful		この卑しい私めに名誉の死を遂げさせていただけますか？
vocs_over_over_	_n06	vocs_over_over_mansion_seppuku_n06	omuk	hambo		DAIMYO	calms down	waits a bit	…いいだろう。せめて品位をもって死ぬがよい。
vocs_over_over_	_n07	vocs_over_over_mansion_seppuku_n07	omuk	hambo		DAIMYO	in control	to one of his bodyguards	お前、介錯人を務めよ。
vocs_over_over_	_n08	vocs_over_over_mansion_seppuku_n08	omuk	hambo		OFFICIAL	grateful	in tears	ありがたき幸せ、藪様。
vocs_over_over_	_n09	vocs_over_over_mansion_seppuku_n09	omuk	hambo		DAIMYO	cold		すぐに執り行え。
vocs_over_over_	_n10	vocs_over_over_mansion_seppuku_n10	omuk	hambo		OFFICIAL	dies	commits Seppuku	…！
vocs_over_over_	_n11	vocs_over_over_mansion_seppuku_n11	omuk	hambo		DAIMYO	moving on	no comment on Seppuku	うむ…将軍め！
vocs_over_over_	_n12	vocs_over_over_mansion_seppuku_n12	omuk	hambo		DAIMYO	commanding	*to servant*	紙と筆を用意しろ。カゲサマへのお手紙をお書き申し上げる。
vocs_over_over_	_n13	vocs_over_over_mansion_seppuku_n13	omuk	hambo		DAIMYO	cold	*while going inside*	残りの者は、死体を片付けておけ。妻と茶を飲む前には終わらせろ。
									
PLANS									The team discusses the revelation that Yabu is indeed not Kage-sama.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_plans_n00	omuk	hambo		NINJA	surprised		ふっ…奴はカゲサマではないようだ。
vocs_over_over_	_n01	vocs_over_over_mansion_plans_n01	omuk	hambo		ALCHEMIST	cool		うーむ、そのようじゃな。じゃが、されとて同じ。藪大名は死ぬべきじゃよ。
vocs_over_over_	_n02	vocs_over_over_mansion_plans_n02	omuk	hambo		NINJA	questioning		報復を考えてるんだろ？そう言っているようだ。
vocs_over_over_	_n03	vocs_over_over_mansion_plans_n03	omuk	hambo		ALCHEMIST	nonchalant		ああ、晴らすべき恨みはあるのう。じゃが、こう考えるんじゃ。もしここで逃がしたら、カゲサマを支え続けるじゃろう。
vocs_over_over_	_n04	vocs_over_over_mansion_plans_n04	omuk	hambo		TRAPPER	worried		悪い奴ね…わかってる。どうします、隼人先生？
vocs_over_over_	_n05	vocs_over_over_mansion_plans_n05	omuk	hambo		NINJA	gives in	apparent lack of duty	いいさ復讐したいってんならな。爺さん、しようじゃないか。どちらにせよ報酬はいただくんだ。
vocs_over_over_	_n06	vocs_over_over_mansion_plans_n06	omuk	hambo		ALCHEMIST	pleased with himself		互いの理解ができたの。
									
GRENADES									The team discovers a crate of grenades.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_grenades_n00	omuk	hambo		NINJA	focussed	Hayato first	木枠の中にあるのは…火薬か。
vocs_over_over_	_n01	vocs_over_over_mansion_grenades_n01	omuk	hambo		TRAPPER	suprised	Yuki first	この木枠は…うわ！…火薬！
vocs_over_over_	_n02	vocs_over_over_mansion_grenades_n02	omuk	hambo		ALCHEMIST	cheerful		おあ、作りたての黒色火薬じゃの。いただくとしよう、ありがたい。
									
SWIMMER									When Hayato or Yuki enter water.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_swimmer_n00	omuk	hambo		NINJA	focussed	Hayato first	泳いで渡る。
vocs_over_over_	_n01	vocs_over_over_mansion_swimmer_n01	omuk	hambo		TRAPPER	happy	Yuki first	はは、泳ぐこと魚のごとし！
vocs_over_over_	_n02	vocs_over_over_mansion_swimmer_n02	omuk	hambo		ALCHEMIST	funny		むぅ、ワシは行かぬ。水は足に良くないじゃろ、へっへっへ。
									
IN POSITION									Takuma has taken position on a pavillion and is ready to shoot Yabu with his sniper rifle
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_inposition_n00	omuk	hambo		ALCHEMIST	calm		うーむ、あの三つ木が中庭への視界を遮っておるの。
vocs_over_over_	_n01	vocs_over_over_mansion_inposition_n01	omuk	hambo		NINJA	focussed		そうじゃないところは？
vocs_over_over_	_n02	vocs_over_over_mansion_inposition_n02	omuk	hambo		ALCHEMIST	calm		うむ、犬小屋におる犬が見えるの。もし藪大名がそこに近づいたら、奴を終わらせられるだろう。
vocs_over_over_	_n03	vocs_over_over_mansion_inposition_n03	omuk	hambo		TRAPPER	excited		ああ！犬を吠えさせたらどう？
vocs_over_over_	_n04	vocs_over_over_mansion_inposition_n04	omuk	hambo		NINJA	focussed		ふむ、いい作戦だ。よし、犬に近づいてみるか。
									
DOG									Takuma has taken position on a pavillion and is ready to shoot Yabu with his sniper rifle.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_dog_n00	omuk	hambo		NINJA	focussed		はっ、藪の犬か。主人をおびき出すのに使えるだろう。藪が近づくまで待とう。そしたら、石を当てて怒らせる。
vocs_over_over_	_n01	vocs_over_over_mansion_dog_n01	omuk	hambo		TRAPPER	a bit anxious		おお、大きなワンちゃん！用心して。音を立てたら吠えるわ。この子の主人が近づくまで待って、鳥の声を使いましょう。
									
PETTING									Yabu pets his dog.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_mansion_petting_n00	omuk	hambo		DAIMYO	affectionate		いい犬だ。
vo_hint_hint_	_n01	vo_hint_hint_mansion_petting_n01	omuk	hambo		DAIMYO	affectionate		ちゃんと餌はもらったか？
vo_hint_hint_	_n02	vo_hint_hint_mansion_petting_n02	omuk	hambo		DAIMYO	affectionate		見事な犬だ。
vo_hint_hint_	_n03	vo_hint_hint_mansion_petting_n03	omuk	hambo		DAIMYO	affectionate		だれもこやつを怒らせてはなるまい。
vo_hint_hint_	_n04	vo_hint_hint_mansion_petting_n04	omuk	hambo		DAIMYO	affectionate		忠犬であるな。
vo_hint_hint_	_n05	vo_hint_hint_mansion_petting_n05	omuk	hambo		DAIMYO	affectionate		なにも不自由することはない。
									
REVENGE1									Takuma kills Yabu with a shot to the heart. (Perhaps SLOMO)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_revenge1_n00	omuk	hambo		DAIMYO	shocked	shot in the heart by Takuma	ああ…ぐはああ…。
vocs_over_over_	_n01	vocs_over_over_mansion_revenge1_n01	omuk	hambo		ALCHEMIST	delighted	"""Lord"" said with spite"	警戒もせずにいきなり撃たれる気分はどうじゃ、藪大名！最期の瞬間には気づいてほしいのぅ、やったのがこのワシじゃったということにの、へっへっへ。
vocs_over_over_	_n01a	vocs_over_over_mansion_revenge1_n01a	omuk	hambo		ALCHEMIST	delighted	ALTERNATIVE	さらばじゃ、藪様。最期の瞬間には、やったのがこのワシじゃったと気付いてほしいわい、へっへっへ。
									
GONG1									A servant rings the gong to signal teat time and says one of these lines.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_mansion_gong1_n00	omuk	hambo		CIVILIAN F	dutiful		お茶の準備をするのよ。
vo_hint_hint_	_n01	vo_hint_hint_mansion_gong1_n01	omuk	hambo		CIVILIAN F	dutiful		お茶を望まれている。
vo_hint_hint_	_n02	vo_hint_hint_mansion_gong1_n02	omuk	hambo		CIVILIAN F	dutiful		お茶をお出しするのよ。
vo_hint_hint_	_n03	vo_hint_hint_mansion_gong1_n03	omuk	hambo		CIVILIAN F	dutiful		大名様がお茶をお召し上がりになるわ。
									
SERVANT1									The team kills or knocks out the servant that rings the gong to signal tea time.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_servant1_n00	omuk	hambo		NINJA	neutral	Hayato first	はっ、ただの召使いだ。
vocs_over_over_	_n01	vocs_over_over_mansion_servant1_n01	omuk	hambo		TRAPPER	apologetic	Yuki first	ごめんなさい。
vocs_over_over_	_n02	vocs_over_over_mansion_servant1_n02	omuk	hambo		ALCHEMIST	thinking		茶の知らせをしていたようじゃのぅ。ワシらが鐘をならす時じゃ。
									
GONG1A									Either Hayato or Yuki ring the gong that signals tea time. They only say this if the servant is incapacitated, and both fail to be convincing in their own way.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_gong1a_n00	omuk	hambo		NINJA	"clears throat
tries a high voice"	Hayato first	茶の準備だ！
vocs_over_over_	_n01	vocs_over_over_mansion_gong1a_n01	omuk	hambo		TRAPPER	unsure	Yuki first	えと…茶の準備をしなさい！
									
GONG2									A servant prepares the tea, rings the gong to signal that tea is served  and says one of these lines.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_mansion_gong2_n00	omuk	hambo		CIVILIAN F	dutiful		お茶が沸きました。
vo_hint_hint_	_n01	vo_hint_hint_mansion_gong2_n01	omuk	hambo		CIVILIAN F	dutiful		お茶でございます。
vo_hint_hint_	_n02	vo_hint_hint_mansion_gong2_n02	omuk	hambo		CIVILIAN F	dutiful		お茶が沸きました。大名様。
vo_hint_hint_	_n03	vo_hint_hint_mansion_gong2_n03	omuk	hambo		CIVILIAN F	dutiful		お茶でございます。大名様。
									
SERVANT2									The team kills the servant that prepares the tea and rings the gong to signal that tea is served.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_servant2_n00	omuk	hambo		NINJA	focussed	Hayato first	ふっ、女が入れ物を運んでいたのか。
vocs_over_over_	_n01	vocs_over_over_mansion_servant2_n01	omuk	hambo		TRAPPER	curious	Yuki first	うーむ、あの皿の上は何かしら。
vocs_over_over_	_n02	vocs_over_over_mansion_servant2_n02	omuk	hambo		ALCHEMIST	thinking		茶を出しておったようじゃの。ワシらが茶を出して鐘をならさんとのぅ。その間に毒でも入れるかの、へっへっへ。
									
GONG2A									Either Hayato or Yuki ring the gong that signals that tea is served. They only say this if the servant is incapacitated, and both fail to be convincing in their own way.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_gong2a_n00	omuk	hambo		NINJA	"clears throat
tries a high voice"	Hayato first	お茶が沸いたぞ。
vocs_over_over_	_n01	vocs_over_over_mansion_gong2a_n01	omuk	hambo		TRAPPER	unsure	Yuki first	えと…お茶が沸きました！
									
DRINK									Yabu drinks tea with his wife.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_mansion_drink_n00	omuk	hambo		DAIMYO	displeased		うーむ、駄目だ、これは駄目だ。
vo_hint_hint_	_n01	vo_hint_hint_mansion_drink_n01	omuk	hambo		DAIMYO	pleased		うーむ、いい香りだ。
vo_hint_hint_	_n02	vo_hint_hint_mansion_drink_n02	omuk	hambo		DAIMYO	displeased		ああ、ぬるいぞ。
vo_hint_hint_	_n03	vo_hint_hint_mansion_drink_n03	omuk	hambo		DAIMYO	displeased		言った通りのお茶ではないではないか。
vo_hint_hint_	_n04	vo_hint_hint_mansion_drink_n04	omuk	hambo		DAIMYO	displeased		ああ、駄目だ。
									
									
COMPLAIN									After drinking his tea, Yabu complains to the tea servant.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_mansion_complain_n00	omuk	hambo		DAIMYO	angry		二度とこれを持ってくるな。
vo_hint_hint_	_n01	vo_hint_hint_mansion_complain_n01	omuk	hambo		DAIMYO	angry		次はもっと早くしろ。
vo_hint_hint_	_n02	vo_hint_hint_mansion_complain_n02	omuk	hambo		DAIMYO	angry		茶がぬるすぎた。
vo_hint_hint_	_n03	vo_hint_hint_mansion_complain_n03	omuk	hambo		DAIMYO	angry		言った通りのお茶ではなかったぞ。
vo_hint_hint_	_n04	vo_hint_hint_mansion_complain_n04	omuk	hambo		DAIMYO	angry		おぞましい味だ。
									
RETURN									Yabu doesn't hear the signal that tea has been served, and walks back inside the mansion.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_mansion_return_n00	omuk	hambo		DAIMYO	very angry		馬鹿にしているのか？まだ茶はこないのか。
vo_hint_hint_	_n01	vo_hint_hint_mansion_return_n01	omuk	hambo		DAIMYO	very angry		待っておれん。使用人め、答えてもらおう。
vo_hint_hint_	_n02	vo_hint_hint_mansion_return_n02	omuk	hambo		DAIMYO	very angry		堪忍ならん！待たせた奴の頭を斬ってやる。
									
TEA ISLAND									Hayato or Yuki reach the island where tea is served for Yabu and his guests.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_teaisland_n00	omuk	hambo		NINJA	focussed	Hayato first	むっ…島も守られているのか。
vocs_over_over_	_n01	vocs_over_over_mansion_teaisland_n01	omuk	hambo		TRAPPER	eager	*sniffs* 	茶に毒を入れないと行けない。嫌な感じね。
									
POISONED									Yuki slips the poison into the tea.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_poisoned_n00	omuk	hambo		TRAPPER	focussed		よし、茶の中に”蜘蛛”を入れたわ。
vocs_over_over_	_n01	vocs_over_over_mansion_poisoned_n01	omuk	hambo		NINJA	tense		ならずらかるぞ。
vocs_over_over_	_n02	vocs_over_over_mansion_poisoned_n02	omuk	hambo		TRAPPER	exhited		はいっ、先生！
vocs_over_over_	_n03	vocs_over_over_mansion_poisoned_n03	omuk	hambo		NINJA	focussed		急ごう！
									
REVENGE2									Yabu drinks his poisoned tea.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
