5,2,9		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) General Okkoto has successfully taken Kanazawa castle.
2) The team regroup at Noboru's warcamp. Information is exchanged.
3) Hayato and Aiko report that Okkoto has set up command in the castle
4) Mugen wants Aiko to wait out the battle in safety
5) Aiko realizes that Yuki saved her husbands live and apologizes to her."
vocs_over_over_	_n19	vocs_over_over_ricefields_post_n19				BROGUNSON	sharp		ちっ、女が政治だと？馬鹿馬鹿しい…。
vocs_over_over_	_n20	vocs_over_over_ricefields_post_n20				WARRIOR	submissive	moves away from Noboru with team	皆よ、いいな。
								Aiko follows Noboru and Masaru, the rest walk away from the tent.	
vocs_over_over_	_n21	vocs_over_over_ricefields_post_n21				NINJA	eager		また敵の後ろにつくんだな。
vocs_over_over_	_n22	vocs_over_over_ricefields_post_n22				WARRIOR	worried		そのようだ。
vocs_over_over_	_n23	vocs_over_over_ricefields_post_n23				ALCHEMIST	pleased		ほっほ、昔のようじゃわい。
vocs_over_over_	_n24	vocs_over_over_ricefields_post_n24				TRAPPER	determined		愛琥さんは一緒じゃないの？
vocs_over_over_	_n25	vocs_over_over_ricefields_post_n25				WARRIOR			愛琥殿は昇様への助言で我らを助けてくれぬか。次の戦いはとても危険ゆえ、雪殿は来なくてもよい。
vocs_over_over_	_n26	vocs_over_over_ricefields_post_n26				TRAPPER			ううん、あたしも行く。だって金沢は私の故郷だから。それに裏路地だって全部知ってるしね！
vocs_over_over_	_n27	vocs_over_over_ricefields_post_n27				WARRIOR		has faith in Yuki	お主の意思であれば止めはせぬ。では準備を整え、昇様の命令を待とう。
								Everybode moves out, only Yuki is stopped by Aiko	
vocs_over_over_	_n28	vocs_over_over_ricefields_post_n28				GEISHA	neutral	comes out of the tent	雪ちゃん！
vocs_over_over_	_n29	vocs_over_over_ricefields_post_n29				TRAPPER	anxious		愛琥さん、その…すみません。
vocs_over_over_	_n30	vocs_over_over_ricefields_post_n30				GEISHA	direct		いいのよ、雪ちゃん。
vocs_over_over_	_n31	vocs_over_over_ricefields_post_n31				TRAPPER	shy		その…途中でクマを見つけて、血だらけで、その…。
vocs_over_over_	_n32	vocs_over_over_ricefields_post_n32				GEISHA	sincere		難しい選択だったわね。そういう場面、私にもあったわ。
vocs_over_over_	_n33	vocs_over_over_ricefields_post_n33				GEISHA	sincere		あなたは立派な大人よ、雪ちゃん。疑っていた事、謝らせて。
vocs_over_over_	_n34	vocs_over_over_ricefields_post_n34				TRAPPER	astonished	Aiko bows before Yuki	愛琥さん…っ！
vocs_over_over_	_n35	vocs_over_over_ricefields_post_n35				GEISHA	elegant	heads back to the tent	必ず、戻ってくるのよ、皆と！
vocs_over_over_	_n36	vocs_over_over_ricefields_post_n36				TRAPPER	grateful	waits briefly, then runs off	はい！！愛琥さん！
									
									
									
									
									
									
									
