5,2,11		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
vocs_over_over_	_n06	vocs_over_over_ricefields_post_n06				GEISHA	perplexed		We learned of Okkoto's plans in Hida village? Did the child not deliver our message?	15	我们早已在飞騨村打探到乙事的计划。难道友希没把消息带到？	1																					
vocs_over_over_	_n07	vocs_over_over_ricefields_post_n07				TRAPPER	anxious		Er ...	2	呃……那个……	1																					
vocs_over_over_	_n08	vocs_over_over_ricefields_post_n08				GEISHA	angered	goes towards Yuki	Yuki-chan.	1	友希小妹。	1																					
vocs_over_over_	_n09	vocs_over_over_ricefields_post_n09				GEISHA	angered		I told you how important this was, did I not?	10	我应该告诉过你此事的重要性吧？	1																					
vocs_over_over_	_n10	vocs_over_over_ricefields_post_n10				ALCHEMIST	protective		Calm yourself, Aiko-san. Yuki-chan is not at fault.	8	冷静点，爱子小姐。不是友希姑娘的错。	1																					
vocs_over_over_	_n11	vocs_over_over_ricefields_post_n11				WARRIOR	"appeasing
gentle"	loves Aiko	Aiko-san. She strayed from her task so she could save my life.	12	友希小妹半途发现我们身陷险境，她是为了救我们才不得已脱离任务的。	1																					
vocs_over_over_	_n12	vocs_over_over_ricefields_post_n12				BROGUN	commanding	interrupting their argument	None of this matters now! We must make do with what we have. What can you both tell us of Okkoto's defences?	22	现在说这些也没用！关键是要利用好手头的资源。你俩刺探乙事的城防有什么发现？	1																					
vocs_over_over_	_n13	vocs_over_over_ricefields_post_n13				NINJA	to the point		We followed him and his army from Hida. They are trained, well equipped and disciplined in combat. Taking the castle came easy to them.	24	从飞騨开始我们便一路跟踪他的部队。他们训练有素，装备精良，纪律严明。攻城对他们而言确实轻而易举。	1																					
vocs_over_over_	_n14	vocs_over_over_ricefields_post_n14				GEISHA	to the point		Their food and munition depots are full. They could hold out for months. And we have heard talk that Kage-sama will send reinforcements soon.	24	粮草和弹药也储备充足，足够坚守几个月。而且听说影大人很快就会派来援兵。	1																					
vocs_over_over_	_n15	vocs_over_over_ricefields_post_n15				BROGUN	commanding		I will not wait months. Make your preparations! You will all be part of the next attack. I expect you to tip the balance in our favour.	27	几个月我可等不了。你们快去做好准备，参加下次进攻。我期望你们能为我军扭转战局。	1																					
vocs_over_over_	_n16	vocs_over_over_ricefields_post_n16				GEISHA	professional		Lord Noboru! I have precise knowledge of Okkoto's defences. Perhaps it will help you in the battle to come?	19	昇大人！我已对乙事的防御布阵了若指掌，或许能为制定下次的战术尽绵薄之力？	1																					
vocs_over_over_	_n17	vocs_over_over_ricefields_post_n17				BROGUN	commanding	goes into the tent	If your knowledge is as vital as you make it out to be, Aiko-san, then join us. The rest of you prepare for battle. You will receive my orders shortly.	30	如果你掌握的情报真的能克敌制胜，那你就留在后方吧，爱子小姐。其余人，做好战斗准备。我即刻下令。	1																					
vocs_over_over_	_n18	vocs_over_over_ricefields_post_n18				GEISHA	professional	follows Noboru	As you command, Lord Noboru.	5	属下遵命，昇大人。	1																					
vocs_over_over_	_n19	vocs_over_over_ricefields_post_n19				BROGUNSON	sharp		Tch, a woman a the strategy table. Ridiculous …	9	哼，让女人出谋划策？简直荒谬……	1																					
vocs_over_over_	_n20	vocs_over_over_ricefields_post_n20				WARRIOR	submissive	moves away from Noboru with team	All of you, a word.	5	大家过来，我有一言。	1																					
								Aiko follows Noboru and Masaru, the rest walk away from the tent.		0		0																					
vocs_over_over_	_n21	vocs_over_over_ricefields_post_n21				NINJA	eager		So, behind enemy lines again?	5	看来又要深入敌后了？	1																					
vocs_over_over_	_n22	vocs_over_over_ricefields_post_n22				WARRIOR	worried		It seems that way.	4	很有可能。	1																					
vocs_over_over_	_n23	vocs_over_over_ricefields_post_n23				ALCHEMIST	pleased		Hehe, feels like old times already.	6	哈哈哈，就和当年一样。	1																					
vocs_over_over_	_n24	vocs_over_over_ricefields_post_n24				TRAPPER	determined		Won't Aiko-san be with us?	5	爱子姐不和我们一起吗？	1																					
vocs_over_over_	_n25	vocs_over_over_ricefields_post_n25				WARRIOR			She will help us in her own way, advising Lord Noboru. The battle ahead will be very dangerous. You do not have to come, if you don't want to.	29	她会为昇大人提供谏言，也是在帮助我们。下场战斗将会非常危险，友希小妹你就不要参加了。	1																					
vocs_over_over_	_n26	vocs_over_over_ricefields_post_n26				TRAPPER			No, I want to help. I was born there. Kanazawa, I mean. I know all the back alleys.	18	不，我也要去。因为，我就是在金泽城出生的，城里的大街小巷我都熟门熟路。	1																					
vocs_over_over_	_n27	vocs_over_over_ricefields_post_n27				WARRIOR		has faith in Yuki	If it is your wish, I will not deny you. Let us prepare then and wait for Lord Noboru's instructions.	20	如果你真这么想去，我不会拒绝。那就开始准备吧，等候昇大人的命令。	1																					
								Everybode moves out, only Yuki is stopped by Aiko		0		0																					
vocs_over_over_	_n28	vocs_over_over_ricefields_post_n28				GEISHA	neutral	comes out of the tent	Yuki-chan!	1	友希小妹!	1																					
vocs_over_over_	_n29	vocs_over_over_ricefields_post_n29				TRAPPER	anxious		Aiko-san. I … I'm sorry …	6	爱子姐。那个…对不起……	1																					
vocs_over_over_	_n30	vocs_over_over_ricefields_post_n30				GEISHA	direct		There is no need, Yuki-chan.	5	没关系的，友希小妹。	1																					
vocs_over_over_	_n31	vocs_over_over_ricefields_post_n31				TRAPPER	shy		I was on my way, but then I met Kuma, and there was blood …	15	那个...我半路遇到了小熊，它身上还有血，所以……	1																					
vocs_over_over_	_n32	vocs_over_over_ricefields_post_n32				GEISHA	sincere		You faced a hard decision. I know I would have done the same.	13	确实是很艰难的抉择。如果是我，也会做出同样的选择。	1																					
vocs_over_over_	_n33	vocs_over_over_ricefields_post_n33				GEISHA	sincere		You are no child, Yuki-chan. I doubted you, and for that, I must apologize.	14	你已经是出色的大人了，友希小妹。我之前还错怪你了，必须向你道歉。	1																					
vocs_over_over_	_n34	vocs_over_over_ricefields_post_n34				TRAPPER	astonished	Aiko bows before Yuki	Aiko-san  …	3	爱子姐……	1																					
vocs_over_over_	_n35	vocs_over_over_ricefields_post_n35				GEISHA	elegant	heads back to the tent	Please, return safely. All of you.	6	你们大家，一定要平安归来。	1																					
vocs_over_over_	_n36	vocs_over_over_ricefields_post_n36				TRAPPER	grateful	waits briefly, then runs off	Hai, Aiko-san!	2	好，爱子姐！	1																					
											NINJA																						
									MISSION-WORDCOUNT EN:	489	0	0	WARRIOR	GEISHA	ALCHEMIST	SHOGUN	SHOGUNSON	BROGUN	BROGUNSON	DAIMYO	GENERAL	NARRATOR	OFFICER	ENEMY	STATIC	SAMURAI	OFFICIAL	CIVILIAN M	CIVILIAN F	HUSBAND	GUARD1	GUARD2	FAKE
											0		109	129	14	0	0	128	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
													8	12	2	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																	
																																	
																																	
																																	
																																	
																																	
