5,2,11		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
vocs_over_over_	_n10	vocs_over_over_convoy_post_n10				WARRIOR	patient		Easy, Yuki-chan.	2	没事，友希妹妹。	1																							
vocs_over_over_	_n11	vocs_over_over_convoy_post_n11				WARRIOR	patient	to Hayato	Hayato-san, talk to the man outside, he will give you your first payment.	13	隼人先生，你可以找屋外那人领你的头笔佣金。	1																							
vocs_over_over_	_n12	vocs_over_over_convoy_post_n12				NINJA	amused	leaves	Teh … see you.	4	嗯……回见。	1																							
vocs_over_over_	_n13	vocs_over_over_convoy_post_n13				TRAPPER	disappointed	fully enters the room	Where is he going? Can't I go with him?	9	师傅要去哪？我不能和他一起去吗？	1																							
vocs_over_over_	_n14	vocs_over_over_convoy_post_n14				WARRIOR	friendly	"""expertise"" means that she is a thief"	"I would rather have you with me, Yuki-chan. Your ""expertise"" will no doubt be useful on this mission."	18	"你这次跟我走，友希妹妹。鉴于你的""身手""，此次任务非你莫属。"	1																							
vocs_over_over_	_n15	vocs_over_over_convoy_post_n15				TRAPPER	cautious		Huh … what mission? 	5	哈，……什么任务？ 	2																							
vocs_over_over_	_n16	vocs_over_over_convoy_post_n16				WARRIOR	honest	walks towards Yuki	A small theft. If you handle it well, you will be welcomed into our group, and I will ask Hayato-san if he will consider teaching you.	26	偷点东西。假如你圆满完成任务，就能成为我们队里一员，另外我还会让隼人先生收你为徒。	1																							
vocs_over_over_	_n17	vocs_over_over_convoy_post_n17				TRAPPER	enthusiastic	fumbling for words	Really?! … then … I will show you my best, master samurai!	12	真的？!……太好了……我会全力以赴的，武士大人。	1																							
vocs_over_over_	_n18	vocs_over_over_convoy_post_n18				WARRIOR	friendly	both go to the table	As you should. Now, let me tell you the plan.	10	很好。现在我把计划告诉你。	1																							
																																			
IMAI TOWN									Mugen and Yuki have just arrived in Imai town. They watch from a side alley as hostile soldiers patrol the streets.				NINJA	TRAPPER	WARRIOR	GEISHA	ALCHEMIST	SHOGUN	SHOGUNSON	BROGUN	BROGUNSON	DAIMYO	GENERAL	NARRATOR	OFFICER	ENEMY	STATIC	SAMURAI	OFFICIAL	CIVILIAN M	CIVILIAN F	HUSBAND	GUARD1	GUARD2	FAKE
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN3	CDE	52	63	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
						TITLECARD			Imai town		今井镇	1	5	8	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vocs_over_over_	_n19	vocs_over_over_convoy_post_n19				TRAPPER	planning		Soldiers … they're not from here.	6	士兵……而且不是镇里的士兵。	1																							
vocs_over_over_	_n20	vocs_over_over_convoy_post_n20				WARRIOR	planning		Agreed. I doubt they belong to the city watch.	9	确实如此。我怀疑他们是警备营的。	1																							
vocs_over_over_	_n21	vocs_over_over_convoy_post_n21				WARRIOR	planning	turns to Yuki	Now, remember what we have come here to do.	9	切记我们此行的目的。	1																							
vocs_over_over_	_n22	vocs_over_over_convoy_post_n22				TRAPPER	planning		Break into the district office, find the important man and steal papers from him.	14	潜入公所内，找到目标人，偷走他身上的文件。	1																							
vocs_over_over_	_n23	vocs_over_over_convoy_post_n23				WARRIOR	planning		Very good. I suspect you will have to do some pickpocketing before this is done. 	16	非常好。不过在完成任务之前你还得偷点东西。 	2																							
vocs_over_over_	_n24	vocs_over_over_convoy_post_n24				WARRIOR	planning	gives Yuki the Hookshot	Also take this. I asked Hayato-san to make it for you.	11	把这个带上，我让隼人先生给你做的。	1																							
vocs_over_over_	_n25	vocs_over_over_convoy_post_n25				TRAPPER	excited		That's … a hookshot! Thank you, master samurai! 	9	这是……抓勾!谢谢你，武士大人! 	2																							
vocs_over_over_	_n26	vocs_over_over_convoy_post_n26				WARRIOR	strategizing	briefly turns away from Yuki	Now, let us begin. The district office is just ahead. We should avoid the main streets.	16	现在开始行动。区公所就在前面，我们得绕过主街。	1																							
vocs_over_over_	_n27	vocs_over_over_convoy_post_n27				WARRIOR	strategizing		"I want you to be my scout. Stick to the rooftops; I will follow down below. If there is trouble, you can warn me ahead of time."	27	侦察交给你了。你走屋顶，我在下面跟着。假如遇到麻烦，你就能提前通知我。	1																							
vocs_over_over_	_n27a	vocs_over_over_convoy_post_n27a				WARRIOR	strategizing		I want you to be my scout. See what you can find out about the official, then return to me.	20	侦察交给你了。打探一下官员的信息，然后回来。	1																							
vocs_over_over_	_n28	vocs_over_over_convoy_post_n28				TRAPPER	understood!		Hai, master samurai!	3	是，武士大人。	1																							
vocs_over_over_	_n29	vocs_over_over_convoy_post_n29				WARRIOR	planning	Yuki runs off and uses the hookshot, Mugen enters a nearby alley	Meet me at the sake brewery when you are done. Now, let us begin.	14	侦察完成后到清酒厂会合，现在开始行动。	1																							
vocs_over_over_	_n29a	vocs_over_over_convoy_post_n29a				WARRIOR	planning	ALTERNTIVE1	Meet me at the western shrine when you are done. Now, let us begin.	14	侦察完成后到西面神龛处会合，现在开始行动。	1																							
vocs_over_over_	_n29b	vocs_over_over_convoy_post_n29b				WARRIOR	planning	ALTERNTIVE2	Meet me in the western backyard when you are done. Now, let us begin.	14	侦察完成后到西面后院处会合，现在开始行动。	1																							
																																			
									MISSION-WORDCOUNT EN:	402		23																							
																																			
																																			
																																			
																																			
																																			
