5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Team has been sent to spy on some rebels in a logging village.
2) During the mission, Hayato's and Aiko's egos clash heavily.
3) Yuki tries to make peace between the two, but is ignored by both.
4) It's unveiled that general Okkoto is in the village. They must learn his plans.
5) They learn that the rebels will attack Kanazawa, where Yuki was born.
6) At the end, Hayato and Aiko send Yuki with the news to Brogun. The two will follow general Okkoto so maybe they can learn more."
vocs_over_over_	_n03	vocs_over_over_lakevillage_road_n03				GEISHA	teasting back		ええそうよ、そういうこと。私を運んでいくことになるわよ。
vocs_over_over_	_n04	vocs_over_over_lakevillage_road_n04				NINJA	teased		っく…、勘弁してくれ。
									
DISGUISE1									The team discovers a disguise near the generals tent. (ARGUMENT)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_disguise1_n00				GEISHA	pleased	Aiko first	服が見えるわね。期待できそうだわ。
vocs_over_over_	_n01	vocs_over_over_lakevillage_disguise1_n01				NINJA	annoyed		ここまで長かったな、満足したか。
vocs_over_over_	_n02	vocs_over_over_lakevillage_disguise1_n02				GEISHA	more pleased		ええとっても。あなたの態度でもっと楽しくなるわ。
vocs_over_over_	_n03	vocs_over_over_lakevillage_disguise1_n03				NINJA	more annoyed		ぬぅ…。
									
DISGUISE2									Aiko puts on ther disguise. (ARGUMENT)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_disguise2_n00				GEISHA	pleased		これで、もっと良くなるわね。
vocs_over_over_	_n01	vocs_over_over_lakevillage_disguise2_n01				NINJA	smug		風呂でも持って来てほしいか？
vocs_over_over_	_n02	vocs_over_over_lakevillage_disguise2_n02				GEISHA	teasing		それは素敵ね。
vocs_over_over_	_n03	vocs_over_over_lakevillage_disguise2_n03				NINJA	less smug		決して譲りはしないんだな。
									
ABUSE									A rebel guards two terrified village women.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_lakevillage_abuse_n00				ENEMY	dark intentions		そろそろ時間だ。
vo_hint_hint_	_n01	vo_hint_hint_lakevillage_abuse_n01				CIVILIAN F	terrified		お願い。自由にしてください！
vo_hint_hint_	_n02	vo_hint_hint_lakevillage_abuse_n02				STATIC	evil		黙れ。
vo_hint_hint_	_n03	vo_hint_hint_lakevillage_abuse_n03				CIVILIAN F	terrified	*sobbing*	
									
RESCUE									The team saves the two terrified village women.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_lakevillage_rescue_n00				CIVILIAN F	deep gratitude	in tears	あ、ありがとうございます！
									
FEAR2									Yuki is disturbed by the rebels abuse of the villagers. (Happens only if you save the woman.)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_fear2_n00				TRAPPER	angry		あの男たち…あんなことしようとしてたなんて…。
vocs_over_over_	_n01	vocs_over_over_lakevillage_fear2_n01				GEISHA	sad		わかる、わかるわ…。
vocs_over_over_	_n02	vocs_over_over_lakevillage_fear2_n02				TRAPPER	very angry		あいつら嫌いだ！
vocs_over_over_	_n03	vocs_over_over_lakevillage_fear2_n03				NINJA	stoic		できることをしよう。行くぞ。
									
OFFICERS A									The team discoveres a pair of talking officers in the outer village. (ARGUMENT)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_officersa_n00				GEISHA	annoyed	Aiko first	で、馬車に着いたわね。
vocs_over_over_	_n01	vocs_over_over_lakevillage_officersa_n01				NINJA	smug		２人の侍がいるだろ？何か面白いことを言うに違いない。
vocs_over_over_	_n02	vocs_over_over_lakevillage_officersa_n02				GEISHA	elegant counter	no disguise	馬鹿みたいに突撃しましょうか。
vocs_over_over_	_n03	vocs_over_over_lakevillage_officersa_n03				GEISHA	cool	with disguise	それを避けるために努力するわ。酒場ならする必要のなかった努力をね 。
									
TAVERN1									Rebels are drinking heavily at the tavern and terrorize the servants.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_lakevillage_tavern1_n00				STATIC	drunk		おい！何をしている？もっと、酒だ！
vo_hint_hint_	_n01	vo_hint_hint_lakevillage_tavern1_n01				CIVILIAN F	afraid	comes running	すみません別の樽をご用意しておりますので。
vo_hint_hint_	_n01a	vo_hint_hint_lakevillage_tavern1_n01a				CIVILIAN M	afraid	comes running	すみません別の樽をご用意しておりますので。
vo_hint_hint_	_n02	vo_hint_hint_lakevillage_tavern1_n02				STATIC	drunk		そんなの気にすると思うか？呼んだらすぐ走ってこい、わかるか？
vo_hint_hint_	_n03	vo_hint_hint_lakevillage_tavern1_n03				CIVILIAN F	afraid		はいもちろんでございます。
vo_hint_hint_	_n03a	vo_hint_hint_lakevillage_tavern1_n03a				CIVILIAN M	afraid		はいもちろんでございます。
									
TAVERN2									Rebels are drinking heavily at the tavern and terrorize the servants. (random)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_lakevillage_tavern2_n00				STATIC	drunk		もっと、酒だ！
vo_hint_hint_	_n01	vo_hint_hint_lakevillage_tavern2_n01				STATIC	drunk laughter		うーーむ、はは！
vo_hint_hint_	_n02	vo_hint_hint_lakevillage_tavern2_n02				ENEMY			乙事大将へ。
vo_hint_hint_	_n03	vo_hint_hint_lakevillage_tavern2_n03				ENEMY	satisfied	drinks sake	ああ。
vo_hint_hint_	_n04	vo_hint_hint_lakevillage_tavern2_n04				ENEMY		*snore*	
vo_hint_hint_	_n05	vo_hint_hint_lakevillage_tavern2_n05				ENEMY			早くしろ、百姓！
vo_hint_hint_	_n06	vo_hint_hint_lakevillage_tavern2_n06				CIVILIAN F	afraid		すみません。
vo_hint_hint_	_n07	vo_hint_hint_lakevillage_tavern2_n07				CIVILIAN F	afraid		はいもちろんです。
vo_hint_hint_	_n08	vo_hint_hint_lakevillage_tavern2_n08				CIVILIAN M	afraid		ただいま。
vo_hint_hint_	_n09	vo_hint_hint_lakevillage_tavern2_n09				CIVILIAN M	afraid		なんでも致します。もちろんでございます。
									
FEAR3									Yuki is disturbed by the rebels abuse of the villagers.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_fear3_n00				TRAPPER	anxious		女の人たちは置いていくの？
vocs_over_over_	_n01	vocs_over_over_lakevillage_fear3_n01				NINJA	pragmatic		そうだと言えたらよかったがな。けど、酒が助けてくれるはずだ。
vocs_over_over_	_n02	vocs_over_over_lakevillage_fear3_n02				TRAPPER	disturbed		あいつら嫌い！
vocs_over_over_	_n03	vocs_over_over_lakevillage_fear3_n03				GEISHA	focussed		皆同じ気持ちよ。
									
OFFICERS B									The team discoveres a pair of talking officers at the tavern. (ARGUMENT)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_officersb_n00				NINJA	smug	Hayato first.	隠れる場所があるとは思えんな。馬小屋へ向かおう。
vocs_over_over_	_n01	vocs_over_over_lakevillage_officersb_n01				GEISHA	focussed		二人の役人がおしゃべりしてるようね。変装して着いていけば気づかれることはないでしょうね。
vocs_over_over_	_n02	vocs_over_over_lakevillage_officersb_n02				NINJA	annoyed	no disguise	しかし、着る服が無いだろう。馬小屋ならそもそも必要なかったんだ。
vocs_over_over_	_n03	vocs_over_over_lakevillage_officersb_n03				NINJA	giving in	with disguise	うむ、新しい服がある。それを使うといい。
									
PEACE1									Yuki is concerned because her teammates are constantly bickering. (happens after 2 ARGUMENTs)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_peace1_n00				TRAPPER	cautious		うーん…なんで喧嘩してるの？
vocs_over_over_	_n01	vocs_over_over_lakevillage_peace1_n01				NINJA	irritated		今聞くな、雪…。
									
PEACE2									Yuki tries to make peace between her team mates. (happens after 4 ARGUMENTs or after GENERAL)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_peace2_n00				TRAPPER	worried		隼人先生…どうして愛琥さんに賛成しないの？
vocs_over_over_	_n01	vocs_over_over_lakevillage_peace2_n01				NINJA	annoyed		俺が悪い先生だからだろう。別の先生を探したらどうだ？
vocs_over_over_	_n02	vocs_over_over_lakevillage_peace2_n02				TRAPPER	disappointed		隼人先生…。
vocs_over_over_	_n03	vocs_over_over_lakevillage_peace2_n03				NINJA	sorry	knows he hurt Yuki a bit, with a sigh	すまんな、言いすぎた。あとで話そう、いいな？
									
REGROUP									The team regroups and discusses what they have heard.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_regroup_n00				NINJA	smug	Hayato first	面白い。
vocs_over_over_	_n01	vocs_over_over_lakevillage_regroup_n01				TRAPPER	excited	Yuki first	聞こえた？
vocs_over_over_	_n02	vocs_over_over_lakevillage_regroup_n02				GEISHA	focussed		この情報は重大ね！安全な所へ移動してわかったことを話しましょう。
									
INFO AB									The team has gathered information from listening in on some officers.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_infoab_n00				GEISHA	elegant		皆いる？
vocs_over_over_	_n01	vocs_over_over_lakevillage_infoab_n01				TRAPPER	enthusiastic		ここです。
vocs_over_over_	_n02	vocs_over_over_lakevillage_infoab_n02				NINJA	hush!		簡潔にな、雪。
vocs_over_over_	_n03	vocs_over_over_lakevillage_infoab_n03				GEISHA	digesting new info		乙事大将自身がここにいるみたいね。村の長老と話をしているわ。
vocs_over_over_	_n04	vocs_over_over_lakevillage_infoab_n04				TRAPPER	excited	cam shows Okkoto	盗み聞きしましょう、何か計画のこと話すかも。
vocs_over_over_	_n05	vocs_over_over_lakevillage_infoab_n05				GEISHA	planning		同感よ。好機を伺いましょう。もし近づけたら、変装して…。
vocs_over_over_	_n06	vocs_over_over_lakevillage_infoab_n06				NINJA	likes a challenge		こういうのはどうだ？あんたは変装して、俺は影から。誰がより上手くやれるか…。
vocs_over_over_	_n07	vocs_over_over_lakevillage_infoab_n07				GEISHA	elegant		やるべきことに集中して、隼人さん。子どもじみた遊びは終わった後にしましょう。
									
GENERAL									The team comes close to Okkoto at the town elder's house.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_general_n00				TRAPPER	focussed	Yuki first	大将…悪い奴ね。
vocs_over_over_	_n01	vocs_over_over_lakevillage_general_n01				GEISHA	focussed	Aiko first	乙事大将、悪人ね。
vocs_over_over_	_n02	vocs_over_over_lakevillage_general_n02				NINJA	smug		乙事、っふ…俺達が奴を始末すればすぐにこの反乱も終わるな。
vocs_over_over_	_n03	vocs_over_over_lakevillage_general_n03				GEISHA	tense		私たちが終わるわよ！余計なことしないで！
vocs_over_over_	_n04	vocs_over_over_lakevillage_general_n04				NINJA	annoyed		冗談に決まっているだろう…変な目で見るな！
									
ORDERS									Okkoto is giving orders to his officers.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_lakevillage_orders_n00				GENERAL	commanding		夜明けには進軍する。
vo_hint_hint_	_n01	vo_hint_hint_lakevillage_orders_n01				GENERAL	commanding		部下は残りの時を楽しんでいる。
vo_hint_hint_	_n02	vo_hint_hint_lakevillage_orders_n02				GENERAL	commanding		百姓どもはどうでもいい。
vo_hint_hint_	_n03	vo_hint_hint_lakevillage_orders_n03				GENERAL	commanding		馬車の荷物と安全の確認をしろ。
vo_hint_hint_	_n04	vo_hint_hint_lakevillage_orders_n04				GENERAL	commanding		カゲサマのため、栄光と名誉を勝ち取る。
vo_hint_hint_	_n05	vo_hint_hint_lakevillage_orders_n05				GENERAL	commanding		待ち望んだ戦だ。
vo_hint_hint_	_n06	vo_hint_hint_lakevillage_orders_n06				GENERAL	commanding		従わぬ百姓は処刑だ。
									
INFO MAIN									The team comes close to Okkoto at the town elder's house.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_infomain_n00				GENERAL	commanding		穀倉から米、さらに牛をもらうぞ。確認しろ。
vocs_over_over_	_n01	vocs_over_over_lakevillage_infomain_n01				OFFICER	submissive	Elder bows and leaves	…あの百姓ども…は生きてはおりませぬ。
vocs_over_over_	_n02	vocs_over_over_lakevillage_infomain_n02				GENERAL	hard	"Shiroyama = 
a castle town"	もし食いたければ、我々に加担するべきであったな。偉大なるカゲサマの指令で金沢の町を明日制圧する。部下にはよく食べてもらわぬとな。
vocs_over_over_	_n03	vocs_over_over_lakevillage_infomain_n03				OFFICER	submissive		士官にはさらに食料をよこすように指導致します。
vocs_over_over_	_n04	vocs_over_over_lakevillage_infomain_n04				GENERAL	confident	looking ahead	金沢城は将軍の憤怒に対する我らが砦。我らの物になれば、カゲサマから軍を率いて到着するまで持ちこたえる。
									
DONE									The team has heard all they need and plan to leave.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_done_n00				GEISHA	focussed		乙事とカゲサマの計画がわかったわね。
vocs_over_over_	_n01	vocs_over_over_lakevillage_done_n01				TRAPPER	thinking	she was born in Kanazawa	…えっ…金沢… 。
vocs_over_over_	_n02	vocs_over_over_lakevillage_done_n02				GEISHA	focussed		昇様にすぐ伝えましょう。イカダを盗んで川下へ向かいましょう。昇様の野営に。
vocs_over_over_	_n03	vocs_over_over_lakevillage_done_n03				NINJA	focussed		同感だ、安全な川へと向かおう。
vocs_over_over_	_n04	vocs_over_over_lakevillage_done_n04				TRAPPER	relieved		二人ともようやくね！
									
DEBRIEFING									Aiko wants to stay and follow general Okkoto. Hayato wants to stay himself. Yuki convinces Aiko that she can deliver the news to Brogun so both can stay.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_debriefing_n00				GEISHA	just got an idea		待って。
vocs_over_over_	_n01	vocs_over_over_lakevillage_debriefing_n01				NINJA	annoyed	with a sigh	む、どうした？
vocs_over_over_	_n02	vocs_over_over_lakevillage_debriefing_n02				GEISHA	explaining		乙事を追って計画についてもっと知るべきだわ。内妻として側近に紛れるわ。
vocs_over_over_	_n03	vocs_over_over_lakevillage_debriefing_n03				NINJA	blunt		いい作戦だが、あまりに危険だ。イカダに乗れ、遠くから追うぞ。
vocs_over_over_	_n04	vocs_over_over_lakevillage_debriefing_n04				GEISHA	doubtful		近い山の頂上に隠れて、そこから唇を読むつもりなのかしら？
vocs_over_over_	_n05	vocs_over_over_lakevillage_debriefing_n05				TRAPPER	desperate		どうして二人とも？一人より二人でいた方がいいわ。
vocs_over_over_	_n06	vocs_over_over_lakevillage_debriefing_n06				GEISHA	dismissive		いいえ、雪ちゃん。どちらかが昇様に知らせに行く必要があるわ。
vocs_over_over_	_n07	vocs_over_over_lakevillage_debriefing_n07				TRAPPER	confident		愛琥さん、あたしがするよ。
vocs_over_over_	_n08	vocs_over_over_lakevillage_debriefing_n08				GEISHA	dismissive		これは急を要するし、子どもの手に委ねるにはあまりにも重すぎるわ。
vocs_over_over_	_n09	vocs_over_over_lakevillage_debriefing_n09				TRAPPER	confident		子どもじゃないよ。時間にたどり着くから！
vocs_over_over_	_n10	vocs_over_over_lakevillage_debriefing_n10				NINJA	amused	vouches for Yuki	…そうだな、この子に行かせよう。
vocs_over_over_	_n11	vocs_over_over_lakevillage_debriefing_n11				GEISHA	tense	after brief consideration	…やむを得ないわ。でもこの連絡は本当に重要だから、失敗は許されないわ。
vocs_over_over_	_n12	vocs_over_over_lakevillage_debriefing_n12				TRAPPER	proud	glad to be appreciated	はい、愛琥さん！
vocs_over_over_	_n13	vocs_over_over_lakevillage_debriefing_n13				GEISHA	tense	after brief consideration	では、行きましょう。
									
									
									
									
									
									
									
									
									
