4,2,11		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
vocs_over_over_	_n06	vocs_over_over_firstcastle_post_n06				SHOGUNSON	respectful	respects his teacher	I understand, Mugen-sensei.	3	我明白了，无限老师。	1																					
vocs_over_over_	_n07	vocs_over_over_firstcastle_post_n07				BROGUNSON	slightly disrespectful		Even together we are no match for you. Does our sensei enjoy beating us!	14	即使我们联手也不是你的对手。老师你是不是很喜欢这样虐我们啊！	1																					
vocs_over_over_	_n07a	vocs_over_over_firstcastle_post_n07a				BROGUNSON	disrespectful	ALTERNATIVE	This is pointless! Even together we could not win! Does our sensei enjoy beating us?	15	说这些有什么用！即使我们联手也赢不了，老师你是不是很喜欢这样虐我们啊？	1																					
vocs_over_over_	_n08	vocs_over_over_firstcastle_post_n08				WARRIOR	teaching		I enjoy your progress, Masaru-sama. You and Ryūnosuke-sama are your fathers' children. Their talent lies within you.	17	我只会因为看到你们的进步而高兴，真申大人。你和龙之介大人都是将门之后，我相信虎父无犬子。	1																					
vocs_over_over_	_n09	vocs_over_over_firstcastle_post_n09				SHOGUNSON	slightly depressed		And yet, you defeated us both with single strike.	9	然而，你一击就打败我俩了。	1																					
vocs_over_over_	_n10	vocs_over_over_firstcastle_post_n10				WARRIOR	good natured		Patience. I know the day will come when the two of you will force me to my knees.	18	要有耐心。我知道终有一天，你们两个会超越我的。	1																					
vocs_over_over_	_n11	vocs_over_over_firstcastle_post_n11				BROGUNSON	frustrated		I look forward to that day …	7	我期待那天的到来……	1																					
vocs_over_over_	_n12	vocs_over_over_firstcastle_post_n12				CIVILIAN M	submissive	as servant	Apologies, my lords. The Shogun has requested Mugen-sama's presence.	9	恕小的无礼。将军大人令我来传唤无限大人。	1																					
vocs_over_over_	_n13	vocs_over_over_firstcastle_post_n13				WARRIOR	good natured	to servant, then to Ryūnosuke, bowing	I will come at once. Forgive me, my lords.	9	我马上就去。容我先行告退。	1																					
vocs_over_over_	_n14	vocs_over_over_firstcastle_post_n14				SHOGUNSON	respectful		Of course. Please, give my regards to my father.	9	好的。请代我向我父亲问安。	1																					
																																	
AUDIENCE CHAMBER									Audience chamber: We briefly see Noboru, the Shogun's brother, then the Shogun gives Mugen the task to hunt Kage-sama. No one knows that Noboru is Kage-sama.		Audience chamber: We briefly see Noboru, the Shogun's brother, then the Shogun gives Mugen the task to hunt Kage-sama. No one knows that Noboru is Kage-sama.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
						TITLECARD			Audience Chamber.		谒见厅	1																					
vocs_over_over_	_n15	vocs_over_over_firstcastle_post_n15				BROGUN	respectful disagreement		Brother. If you give me command of the Shogunate troops I will hunt down Kage-sama wherever a person speaks his name.	21	哥哥，如果你把幕府军指挥权交给我，我保证以后大街上不会再有人敢提影大人这三个字。	1																					
vocs_over_over_	_n16	vocs_over_over_firstcastle_post_n16				SHOGUN	with authority		I will, if the need arises for such drastic measures. For now, you will bow to the wisdom of your Shogun. Let us speak again tomorrow.	26	假如真到需要采取这种极端措施的地步，我会的。但现在你要相信哥哥作为将军的智慧。我们明天再谈吧。	1																					
vocs_over_over_	_n17	vocs_over_over_firstcastle_post_n17				BROGUN	respectful	bows and turns to leave	Of course brother. I will await your messenger.	8	好的，哥哥。我等你传唤。	1																					
vocs_over_over_	_n18	vocs_over_over_firstcastle_post_n18				BROGUN	respectful greeting	meets Mugen on the way out	Mugen-san.	1	无限先生。	1																					
vocs_over_over_	_n19	vocs_over_over_firstcastle_post_n19				WARRIOR	very respectful greeting		Lord Noboru.	2	昇大人！	1																					
vocs_over_over_	_n20	vocs_over_over_firstcastle_post_n20				WARRIOR	absolute respect	kneels before Shogun	You wished to see me, my Shogun.	7	有何吩咐，将军大人。	1																					
vocs_over_over_	_n21	vocs_over_over_firstcastle_post_n21				SHOGUN	with authority	this is important	Mugen. I received a message from our spies telling me of an illegal transport. There are wagons loaded with firearms bound for Kyoto.	23	无限，密探传回消息说有人非法运输。一队装有火器的车队正前往京都。	1																					
vocs_over_over_	_n22	vocs_over_over_firstcastle_post_n22				WARRIOR	"surprised
then eager"		Is it Kage-sama? Has he exposed himself?	7	是影大人吗？他是否已现身？	1																					
vocs_over_over_	_n23	vocs_over_over_firstcastle_post_n23				SHOGUN	with authority	has confidence in Mugen	It appears so. I want you to seize this transport. Find out where it came from, and you will no doubt find our enemy.	24	有这个可能。我想让你去截获车队，查出它的源头，也就必然能查出我们的敌人。	1																					
vocs_over_over_	_n24	vocs_over_over_firstcastle_post_n24				WARRIOR	loyalty		I live to serve you, my Shogun.	7	在下愿赴汤蹈火，将军大人。	1																					
vocs_over_over_	_n25	vocs_over_over_firstcastle_post_n25				SHOGUN	slight tone of warning		This matter requires delicate hands. You will act with my authority. If you need assistance, choose with care. 	19	此事需谨慎处理，我全权交给你办。假如需要人手，一定要仔细甄选。 	2																					
vocs_over_over_	_n26	vocs_over_over_firstcastle_post_n26				WARRIOR	confident	means Hayato	I already have someone in mind.	6	我已经有最佳人选了。	1																					
vocs_over_over_	_n27	vocs_over_over_firstcastle_post_n27				SHOGUN	with authority		Excellent, go then, Mugen. Bring me Kage-sama.	7	很好。去吧，无限。把影大人给我抓回来。	1																					
vocs_over_over_	_n28	vocs_over_over_firstcastle_post_n28				WARRIOR	confident	bows and leaves	I will not disappoint you, my Shogun.	7	我一定完成任务，将军大人。	1																					
																																	
TAVERN									Tavern: Mugen hires Hayato		Tavern: Mugen hires Hayato																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
						–		TITLECARD	A few days later.		几天后	1																					
vocs_over_over_	_n29	vocs_over_over_firstcastle_post_n29				WARRIOR	greeting	enters the tavern, sits next to Hayato-san	You are not an easy man to find, Hayato-san.	9	要找你可真不容易，隼人兄。	1																					
vocs_over_over_	_n30	vocs_over_over_firstcastle_post_n30				NINJA	smug	takes a drink	It's part of the job. Still, I got your message. Need my help again?	14	干我们这行就得这样。我收到你的信了，又需要我帮忙了？	1																					
vocs_over_over_	_n31	vocs_over_over_firstcastle_post_n31				WARRIOR	direct	takes a drink	I have been given a difficult task, one I wouldn't mind sharing with people I can trust.	17	我这有项棘手的任务，只能和最信任的人讲。	1																					
vocs_over_over_	_n32	vocs_over_over_firstcastle_post_n32				NINJA	skeptical		Your letter … it mentioned Kage-sama. Thought that was just a rumour.	12	你信中……提到了影大人。我还以为他只是传闻而已。	1																					
vocs_over_over_	_n33	vocs_over_over_firstcastle_post_n33				WARRIOR	undeterred		He is real, I assure you. So real so that the Shogun sees him as a threat to the peace. It will be him that we will hunt.	28	他确实存在，我向你保证。将军觉得他甚至足以威胁现在大好的和平局面。这次要抓的人就是他。	1																					
vocs_over_over_	_n34	vocs_over_over_firstcastle_post_n34				NINJA	smug	takes a drink	Hmm ... as long as I get paid, I'm fine chasing ghosts. What's the mission?	15	嗯……让我去抓这种鬼也可以，只要付钱就行。任务具体是什么？	1																					
vocs_over_over_	_n35	vocs_over_over_firstcastle_post_n35				WARRIOR	explaining	lays document on table	At dawn tomorrow, an illegal transport will travel along the Nakasendō route.  It will pass through the area detailed in this letter.	23	明日拂晓，有个非法运输车队会沿中山道通过某个区域，具体细节在信里。	1																					
vocs_over_over_	_n36	vocs_over_over_firstcastle_post_n36				WARRIOR	instructing	Hayato takes and reads the document	I want you to halt this convoy and eliminate the officers of the guard. At your signal, I will move in with Shogunate men.	24	我要你截停车队并干掉守卫军官，然后发出信号。随后我会带领幕府军拿下车队。	1																					
vocs_over_over_	_n37	vocs_over_over_firstcastle_post_n37				NINJA	no problem		Simple enough.	2	小菜一碟。	1																					
vocs_over_over_	_n38	vocs_over_over_firstcastle_post_n38				NINJA	no problem	stands up, finishes his drink, pockets the letter 	Alright, see you on the road.	6	那好，路上见。	1																					
vocs_over_over_	_n39	vocs_over_over_firstcastle_post_n39				WARRIOR			One more thing, Hayato-san.	4	还有件事，隼人兄。	1																					
vocs_over_over_	_n40	vocs_over_over_firstcastle_post_n40				NINJA			Hm?	1	嗯？	1																					
vocs_over_over_	_n41	vocs_over_over_firstcastle_post_n41				WARRIOR	friendship		Good to see you again.	5	很高兴再次见到你。	1																					
vocs_over_over_	_n42	vocs_over_over_firstcastle_post_n42				NINJA	hints of friendship		Heh … likewise.	3	哈……我也是。	1																					
											NINJA																						
									MISSION-WORDCOUNT EN:	538	0	47	WARRIOR	GEISHA	ALCHEMIST	SHOGUN	SHOGUNSON	BROGUN	BROGUNSON	DAIMYO	GENERAL	NARRATOR	OFFICER	ENEMY	STATIC	SAMURAI	OFFICIAL	CIVILIAN M	CIVILIAN F	HUSBAND	GUARD1	GUARD2	FAKE
											0		213	0	0	99	21	30	36	0	0	77	0	0	0	0	0	9	0	0	0	0	0
													17	0	0	5	3	3	3	0	0	4	0	0	0	0	0	1	0	0	0	0	0
																																	
																																	
																																	
																																	
																																	
																																	
																																	
