5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The Shogun's army makes camp on a snowy mountain pass.
2) The team infiltrates the camp with a tied up Masaru in tow.
3) Underway, Aiko asks Hayato because there might not be another chance.
4) Hayato tells her that Mugen made him realize why he really joined the team.
5) Hayato never was in it for the money, but because Mugen was a friend to him.
6) Through flawless teamwork the team infiltrates the Shogun's tent."
vocs_over_over_	_n18	vocs_over_over_shoguncamp_briefing1a_n18				GEISHA	leader		隼人さん、上様への”献上品”はあなたが運んでくれる？
vocs_over_over_	_n19	vocs_over_over_shoguncamp_briefing1a_n19				NINJA	smug	picks up Masaru	ああ、大丈夫だ。
vocs_over_over_	_n20	vocs_over_over_shoguncamp_briefing1a_n20				GEISHA	leader		よさそうね。始めましょう。
									
MURDER1									The team kills one of the Shogun's men.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_murder1_n00				NINJA	discontent	Hayato first	うー…。
vocs_over_over_	_n01	vocs_over_over_shoguncamp_murder1_n01				TRAPPER	uncomfortable	Yuki first	しー…ごめんさい…ごめんなさい…。
vocs_over_over_	_n02	vocs_over_over_shoguncamp_murder1_n02				ALCHEMIST	serious	Takuma first	…暗黒じゃ。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_murder1_n03				GEISHA	determined		仲間を殺すのは間違っている気もするけど、仕方がないわ。昇が殺させたのよ。
									
MURDER2									The team kills more of the Shogun's men. At the 10th kill …
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_murder2_n00				NINJA	discontent	Hayato first	うーむ…これは良くないな。
vocs_over_over_	_n01	vocs_over_over_shoguncamp_murder2_n01				TRAPPER	uncomfortable	Yuki first	ごめんなさい…。
vocs_over_over_	_n02	vocs_over_over_shoguncamp_murder2_n02				GEISHA	determined	Aiko first	お許しを…。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_murder2_n03				ALCHEMIST	serious		うーむ、今日の友は明日の敵じゃの。どうしようもないのじゃ。
									
MURDER3									The team kills even more of the Shogun's men. At the 20th kill …
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_murder3_n00				NINJA	discontent	Yuki first	あぁ…くそ…。
vocs_over_over_	_n01	vocs_over_over_shoguncamp_murder3_n01				TRAPPER	uncomfortable	Aiko first	こんなの嫌…。
vocs_over_over_	_n02	vocs_over_over_shoguncamp_murder3_n02				ALCHEMIST	sad	Takuma first	すまぬのう。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_murder3_n03				GEISHA	determined		生き延びるためよ。判断は上様がするのよ。
									
CARGO NIN									Hayato carries the tied up Masaru around.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_cargonin_n00				NINJA	slightly encumbered		はー…いびきはかかないでほしいな。
vocs_over_over_	_n01	vocs_over_over_shoguncamp_cargonin_n01				NINJA	slightly encumbered		重くなったか？
vocs_over_over_	_n02	vocs_over_over_shoguncamp_cargonin_n02				NINJA	slightly encumbered		見た目より重いな。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_cargonin_n03				NINJA	slightly encumbered		随分重くて哀れな荷物だ。
vocs_over_over_	_n04	vocs_over_over_shoguncamp_cargonin_n04				NINJA	slightly encumbered		おとなしくしてくれ。
vocs_over_over_	_n05	vocs_over_over_shoguncamp_cargonin_n05				NINJA	slightly encumbered		おら、行くぞ。
vocs_over_over_	_n06	vocs_over_over_shoguncamp_cargonin_n06				NINJA	slightly encumbered		爺さんは本当に眠らせたんだな。
									
CARGO TRA									Yuki drags the tied up Masaru around.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_cargotra_n00				TRAPPER	exchausted		うぐぅ…重い！
vocs_over_over_	_n01	vocs_over_over_shoguncamp_cargotra_n01				TRAPPER	exchausted		うぐぅ…隼人さん、なんでやってくれないの？
vocs_over_over_	_n02	vocs_over_over_shoguncamp_cargotra_n02				TRAPPER	exchausted		うぐぅ…遅い、遅すぎる…。
									
CARGO GEI									Aiko drags the tied up Masaru around.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_cargogei_n00				GEISHA	very encumbered, focussed	Hayato first	駄目、遅すぎるわ。
vocs_over_over_	_n01	vocs_over_over_shoguncamp_cargogei_n01				GEISHA	very encumbered, focussed	Yuki first	隼人さんに任せたいわ。
vocs_over_over_	_n02	vocs_over_over_shoguncamp_cargogei_n02				GEISHA	very encumbered, focussed	Aiko first	駄目だわ。
									
WAGONS1									The team discovers a place where a wagon is loaded before it heads up to the small temple.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_wagons1_n00				NINJA	focussed	Hayato first	うーむ、これが探してる馬車か？
vocs_over_over_	_n01	vocs_over_over_shoguncamp_wagons1_n01				TRAPPER	sneaky	Yuki first	そう、馬車…けどこれでいいのかな？
vocs_over_over_	_n02	vocs_over_over_shoguncamp_wagons1_n02				ALCHEMIST	in thought	Takuma first	ああ、馬車じゃ。じゃが、求めておるのとは違わんかのう。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_wagons1_n03				GEISHA	leader		これは上様の所へは向かわないわ。山の小さな寺に行く馬車よ。
									
CHECKPOINT1									The wagon driver stops briefly to talk with a guard.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_shoguncamp_checkpoint1_n00				CIVILIAN M	cheerful	as wagon driver	どうかされましたか？
vo_hint_hint_	_n01	vo_hint_hint_shoguncamp_checkpoint1_n01				ENEMY	bored		静かなもんだよ。
vo_hint_hint_	_n02	vo_hint_hint_shoguncamp_checkpoint1_n02				CIVILIAN M	cheerful	as wagon driver	お寺へ向かっております。
vo_hint_hint_	_n03	vo_hint_hint_shoguncamp_checkpoint1_n03				ENEMY	bored		なら検査させてもらうか。
vo_hint_hint_	_n04	vo_hint_hint_shoguncamp_checkpoint1_n04				CIVILIAN M	cheerful	as wagon driver	あぁ、いつものですね。
vo_hint_hint_	_n05	vo_hint_hint_shoguncamp_checkpoint1_n05				ENEMY	bored		行け、進んでくれ。
									
CHECKPOINT2									A samurai halts the wagon driver to inspect the wagon.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_shoguncamp_checkpoint2_n00				SAMURAI	dutyful		待て！積荷を見せてもらう。
vo_hint_hint_	_n01	vo_hint_hint_shoguncamp_checkpoint2_n01				CIVILIAN M	nervous	as wagon driver	もちろんです、どうぞ。
vo_hint_hint_	_n02	vo_hint_hint_shoguncamp_checkpoint2_n02				SAMURAI	dutyful		すぐおわる。
									
WAGON CHECK									A samurai discovers a team member in the back of the wagon.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	o
vocs_over_over_	_n00	vocs_over_over_shoguncamp_wagoncheck_n00				SAMURAI	alarmed		誰か馬車に隠れておるぞ！侵入者だ！
									
WAGONS2									The team discovers a small temple where the Shogunate men load wagons before they are sent directly to the Shogun's tent.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_wagons2_n00				NINJA	neutral	Hayato first	きついだろうな、この寺に住むのは。
vocs_over_over_	_n01	vocs_over_over_shoguncamp_wagons2_n01				TRAPPER	curious	Yuki first	お寺…平和そうな所ね。
vocs_over_over_	_n02	vocs_over_over_shoguncamp_wagons2_n02				ALCHEMIST	slightly irritated	Takuma first	寺じゃの…幕府軍は住人を尊重しているようじゃの。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_wagons2_n03				GEISHA	leader		ここで積まれた荷物は上様の天幕へ向かうわ。好機と捉えてよさそうね。
									
PARTY1									The team goes near the crowd of drinking soldiers.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_party1_n00				NINJA	tense	Hayato first	ここを通るのは不可能だろう。
vocs_over_over_	_n01	vocs_over_over_shoguncamp_party1_n01				TRAPPER	afraid	Yuki first	駄目、駄目、ここじゃない！見つかる！
vocs_over_over_	_n02	vocs_over_over_shoguncamp_party1_n02				GEISHA	tense	Aiko first	変装していても、この人の中じゃ気づかれるわ。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_party1_n03				ALCHEMIST	sly		一瞬で皆眠ってくれれば見つからんじゃろう。
vocs_over_over_	_n04	vocs_over_over_shoguncamp_party1_n04				GEISHA	tense	if poison has not been brewed	眠り薬を作れる場所を見つけましょうか。
vocs_over_over_	_n05	vocs_over_over_shoguncamp_party1_n05				GEISHA	tense	if poison has been brewed	眠り薬ができたわね。変装して酒の樽へ入れてくるわ。
									
SOBER									Guards sit at the campfire near the Shogun's tent. They drink sake and talk.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_shoguncamp_sober_n00				SAMURAI	contempt		反逆者の畜生め。
vo_hint_hint_	_n01	vo_hint_hint_shoguncamp_sober_n01				ENEMY	contempt		ああそうだ、奴らは、幕府の相続を殺したのだ。
vo_hint_hint_	_n02	vo_hint_hint_shoguncamp_sober_n02				STATIC	contempt		未だに信じられぬ。
vo_hint_hint_	_n03	vo_hint_hint_shoguncamp_sober_n03				SAMURAI	contempt		正義からは逃れられぬ。
vo_hint_hint_	_n04	vo_hint_hint_shoguncamp_sober_n04				ENEMY	contempt		どこにかくれているであろうか？
vo_hint_hint_	_n05	vo_hint_hint_shoguncamp_sober_n05				STATIC	contempt		カゲサマは何をしているのだろうか。
vo_hint_hint_	_n06	vo_hint_hint_shoguncamp_sober_n06				SAMURAI	dutyful		将軍様をお守りしなければ。
vo_hint_hint_	_n07	vo_hint_hint_shoguncamp_sober_n07				ENEMY	anticipation		京都で天皇陛下をお守りするとは思いもしておらぬかった。
vo_hint_hint_	_n08	vo_hint_hint_shoguncamp_sober_n08				STATIC	weary		京都への道は長い。
vo_hint_hint_	_n09	vo_hint_hint_shoguncamp_sober_n09				SAMURAI	neutral		酒！
vo_hint_hint_	_n10	vo_hint_hint_shoguncamp_sober_n10				ENEMY	neutral		酒！
vo_hint_hint_	_n11	vo_hint_hint_shoguncamp_sober_n11				STATIC	neutral		酒！
									
BREW									Takuma brews a very strong liquid. Aiko can slip this into sake barrels to make the crowd of drinking soldiers harmless.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_brew_n00				ALCHEMIST	pleased with himself		ほっほ、強力な調合じゃ。野営の兵を眠らせられるわい。
vocs_over_over_	_n01	vocs_over_over_shoguncamp_brew_n01				GEISHA	focussed		それを運ばせてください。変装して、酒の樽にそそぐわ。
									
PARTY2									Aiko pours Takuma's brew into the sake barrels.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_party2_n00				GEISHA	elegant		それ…使用人が運んでいくまで待ちましょう。
									
DRUNK									The wagon driver stops briefly to talk with a guard.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_shoguncamp_drunk_n00				SAMURAI	sleeping	*snore*	
vo_hint_hint_	_n01	vo_hint_hint_shoguncamp_drunk_n01				ENEMY	sleeping	*snore*	
vo_hint_hint_	_n02	vo_hint_hint_shoguncamp_drunk_n02				STATIC	sleeping	*snore*	
vo_hint_hint_	_n03	vo_hint_hint_shoguncamp_drunk_n03				SAMURAI	super drunk	*mumbling*	
vo_hint_hint_	_n04	vo_hint_hint_shoguncamp_drunk_n04				ENEMY	super drunk	*mumbling*	
vo_hint_hint_	_n05	vo_hint_hint_shoguncamp_drunk_n05				STATIC	super drunk	*mumbling*	
vo_hint_hint_	_n06	vo_hint_hint_shoguncamp_drunk_n06				SAMURAI	super drunk		
vo_hint_hint_	_n07	vo_hint_hint_shoguncamp_drunk_n07				ENEMY	super drunk		
vo_hint_hint_	_n08	vo_hint_hint_shoguncamp_drunk_n08				STATIC	super drunk		
									
REASONS1									Hayato carries Masaru halfway to the Shogun's tent.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_reasons1_n00				GEISHA	honest gratitude		信じてくれてありがとう、隼人さん。正直、私たちといてくれるか不安だったの。
vocs_over_over_	_n01	vocs_over_over_shoguncamp_reasons1_n01				NINJA	cool		やめてくれ。
vocs_over_over_	_n02	vocs_over_over_shoguncamp_reasons1_n02				GEISHA	respectful		聞くけど許してほしいわ、気になるの。ただ、給金のためだけなのかしら？他の理由があると思ってるのよ。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_reasons1_n03				NINJA	remembers		へっ…武源も同じことを聞いてきたな。
vocs_over_over_	_n04	vocs_over_over_shoguncamp_reasons1_n04				GEISHA	respectful		答えたの？
vocs_over_over_	_n05	vocs_over_over_shoguncamp_reasons1_n05				NINJA	quiet		その時は答えなかった。
									
REASONS2									Hayato has carried Masaru to the Shogun's tent.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_reasons2_n00				GEISHA	last chance		今が答える時ね。隼人さんどうしてここまでしてくれたの？どうして武源様のために？どうしてまだ私たちといてくれるの？
vocs_over_over_	_n01	vocs_over_over_shoguncamp_reasons2_n01				NINJA	wondering		単に友を助けたいってだけかもしれない。今は…そうだな、自分の意思だ。
vocs_over_over_	_n02	vocs_over_over_shoguncamp_reasons2_n02				GEISHA	persistent		けど、どうして今私たちと戦ってくれるの？自分で仇討ちをしようとしなかった。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_reasons2_n03				NINJA	honest	new feeling of duty	あんたが正しいからだよ。自分のためじゃない。武源の望んだことのためだ。
vocs_over_over_	_n04	vocs_over_over_shoguncamp_reasons2_n04				GEISHA	grateful		ありがとう、隼人さん。
vocs_over_over_	_n05	vocs_over_over_shoguncamp_reasons2_n05				NINJA	cool		言っただろ、やめてくれよ。
									
TENT									The team is almost at the Shogun's tent.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_shoguncamp_tent_n00				TRAPPER	amazed		おお、天幕大きい！
vocs_over_over_	_n01	vocs_over_over_shoguncamp_tent_n01				GEISHA	elegant		ここが私たちの目的地ね。
vocs_over_over_	_n02	vocs_over_over_shoguncamp_tent_n02				ALCHEMIST	epic		真実の時が近づくのう。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_tent_n03				NINJA	focussed		入る前に勝を確認しておこう。
									
									
									
									
									
									
									
									
									
