PREFIX	CHAR	ACTION	SUFFIX	NAME	Variation	Loop	Gameplay	REC.	IMPL.	used for	SPEAKER	MOOD	COMMENT	EN
vo_ply_ply_	tra_	char_select_	dark_10	vo_ply_ply_tra_char_select_dark_10				omuk	philipp	sel character	Trapper	anxious	rare	侍の中の侍…。
vo_ply_ply_	tra_	char_select_	dark_11	vo_ply_ply_tra_char_select_dark_11				omuk	philipp	sel character	Trapper	anxious	rare	侍の中の侍はどこ…。
vo_ply_ply_	tra_	char_select_	cold_00	vo_ply_ply_tra_char_select_cold_00	Iconic	No	Yes	omuk	philipp	sel character	Trapper	quiet		雪の結晶…。
vo_ply_ply_	tra_	char_select_	cold_01	vo_ply_ply_tra_char_select_cold_01				omuk	philipp	sel character	Trapper	cold	slight shiver	あ～、寒い！
vo_ply_ply_	tra_	char_select_	cold_02	vo_ply_ply_tra_char_select_cold_02				omuk	philipp	sel character	Trapper	focussed		雪の中じゃ遊べないでしょ？
vo_ply_ply_	tra_	char_select_	cold_03	vo_ply_ply_tra_char_select_cold_03				omuk	philipp	sel character	Trapper	cold	slight shiver	さぶ～。
vo_ply_ply_	tra_	char_select_	cold_04	vo_ply_ply_tra_char_select_cold_04				omuk	philipp	sel character	Trapper	cold		ボーッと立ってるんじゃないの！凍えちゃうわよ。
vo_ply_ply_	tra_	char_select_	cold_05	vo_ply_ply_tra_char_select_cold_05				omuk	philipp	sel character	Trapper	cold	slight shiver	イヤな風ね。
vo_ply_ply_	tra_	char_select_	night_00	vo_ply_ply_tra_char_select_night_00	Iconic	No	Yes	omuk	philipp	sel character	Trapper	stealthy		向こうからは見えないわ。
vo_ply_ply_	tra_	char_select_	night_01	vo_ply_ply_tra_char_select_night_01				omuk	philipp	sel character	Trapper	quiet		見て、星が出てる…。
vo_ply_ply_	tra_	char_select_	night_02	vo_ply_ply_tra_char_select_night_02				omuk	philipp	sel character	Trapper	stealthy		コソコソした狐みたいに…。
vo_ply_ply_	tra_	char_select_	night_03	vo_ply_ply_tra_char_select_night_03				omuk	philipp	sel character	Trapper	stealthy		あたしたちは闇。
vo_ply_ply_	tra_	char_select_	night_04	vo_ply_ply_tra_char_select_night_04				omuk	philipp	sel character	Trapper	stealthy		夜が味方よ。
vo_ply_ply_	tra_	char_select_	night_05	vo_ply_ply_tra_char_select_night_05				omuk	philipp	sel character	Trapper	stealthy	small yawn	ここね。
vo_ply_ply_	tra_	char_select_	war_00	vo_ply_ply_tra_char_select_war_00	Iconic	No	Yes	omuk	philipp	sel character	Trapper	tense		撃つのは好きじゃないの。
vo_ply_ply_	tra_	char_select_	war_01	vo_ply_ply_tra_char_select_war_01				omuk	philipp	sel character	Trapper	tense		火、煙、黒い灰…。
vo_ply_ply_	tra_	char_select_	war_02	vo_ply_ply_tra_char_select_war_02				omuk	philipp	sel character	Trapper	tense		みんな、戦ってるわ。
vo_ply_ply_	tra_	char_select_	war_03	vo_ply_ply_tra_char_select_war_03				omuk	philipp	sel character	Trapper	tense		すっごいうるさい。
vo_ply_ply_	tra_	char_select_	war_04	vo_ply_ply_tra_char_select_war_04				omuk	philipp	sel character	Trapper	tense		あの時みたい…。
vo_ply_ply_	tra_	char_select_	war_05	vo_ply_ply_tra_char_select_war_05				omuk	philipp	sel character	Trapper	tense		素早く…勇敢に…。
vo_ply_ply_	tra_	char_select_	team_00	vo_ply_ply_tra_char_select_team_00	Iconic	No	Yes	omuk	philipp	sel character	Trapper	happy		準備はいいわよ！
vo_ply_ply_	tra_	char_select_	team_01	vo_ply_ply_tra_char_select_team_01				omuk	philipp	sel character	Trapper	happy		ベストを尽くすわね。
vo_ply_ply_	tra_	char_select_	team_02	vo_ply_ply_tra_char_select_team_02				omuk	philipp	sel character	Trapper	happy		やればできる！
vo_ply_ply_	tra_	char_select_	team_03	vo_ply_ply_tra_char_select_team_03				omuk	philipp	sel character	Trapper	happy		あたしたち、チームだもんね？
vo_ply_ply_	tra_	char_select_	team_04	vo_ply_ply_tra_char_select_team_04				omuk	philipp	sel character	Trapper	happy		みんな、行こうよ！
vo_ply_ply_	tra_	char_select_	team_05	vo_ply_ply_tra_char_select_team_05				omuk	philipp	sel character	Trapper	happy		みんな揃ってる！
vo_ply_ply_	tra_	char_select_	rain_00	vo_ply_ply_tra_char_select_rain_00	Iconic	No	Yes	omuk	philipp	sel character	Trapper	irritated		嫌な雲ね。
vo_ply_ply_	tra_	char_select_	rain_01	vo_ply_ply_tra_char_select_rain_01				omuk	philipp	sel character	Trapper	irritated		足が濡れちゃった。
vo_ply_ply_	tra_	char_select_	rain_02	vo_ply_ply_tra_char_select_rain_02				omuk	philipp	sel character	Trapper	irritated		イヤな天気だわ。
vo_ply_ply_	tra_	char_select_	rain_03	vo_ply_ply_tra_char_select_rain_03				omuk	philipp	sel character	Trapper	irritated	slight shiver	雨が冷たい。
vo_ply_ply_	tra_	char_select_	rain_04	vo_ply_ply_tra_char_select_rain_04				omuk	philipp	sel character	Trapper	irritated		ずぶ濡れだわ。
vo_ply_ply_	tra_	char_select_	rain_05	vo_ply_ply_tra_char_select_rain_05				omuk	philipp	sel character	Trapper	sneezing	small sneeze	ごめん。
vo_ply_ply_	tra_	confirm_	normal_00	vo_ply_ply_tra_confirm_normal_00				omuk	philipp	com valid	Trapper	stealthy		抜き足。
vo_ply_ply_	tra_	confirm_	normal_01	vo_ply_ply_tra_confirm_normal_01				omuk	philipp	com valid	Trapper	stealthy		シーッ、静かにね。
vo_ply_ply_	tra_	confirm_	normal_02	vo_ply_ply_tra_confirm_normal_02				omuk	philipp	com valid	Trapper	stealthy		さし足。
vo_ply_ply_	tra_	confirm_	normal_03	vo_ply_ply_tra_confirm_normal_03				omuk	philipp	com valid	Trapper	stealthy		そう、静かにね。
vo_ply_ply_	tra_	confirm_	normal_04	vo_ply_ply_tra_confirm_normal_04				omuk	philipp	com valid	Trapper	stealthy		狐が狩り中よ。
vo_ply_ply_	tra_	confirm_	normal_05	vo_ply_ply_tra_confirm_normal_05				omuk	philipp	com valid	Trapper	stealthy		コソコソと。
vo_ply_ply_	tra_	confirm_	normal_06	vo_ply_ply_tra_confirm_normal_06				omuk	philipp	com valid	Trapper	stealthy		ゆっくりと。
vo_ply_ply_	tra_	confirm_	normal_07	vo_ply_ply_tra_confirm_normal_07				omuk	philipp	com valid	Trapper	stealthy		静かにして。
vo_ply_ply_	tra_	confirm_	normal_08	vo_ply_ply_tra_confirm_normal_08				omuk	philipp	com valid	Trapper	stealthy		楽しいわね。
vo_ply_ply_	tra_	confirm_	normal_09	vo_ply_ply_tra_confirm_normal_09				omuk	philipp	com valid	Trapper	stealthy		今行くわ。
vo_ply_ply_	tra_	confirm_	normal_10	vo_ply_ply_tra_confirm_normal_10				omuk	philipp	com valid	Trapper	stealthy	to herself	我ながら上出来！
vo_ply_ply_	tra_	confirm_	normal_11	vo_ply_ply_tra_confirm_normal_11				omuk	philipp	com valid	Trapper	stealthy		簡単ね！
vo_ply_ply_	tra_	confirm_	normal_12	vo_ply_ply_tra_confirm_normal_12				omuk	philipp	com valid	Trapper	stealthy		できるわよ。
vo_ply_ply_	tra_	confirm_	tense_00	vo_ply_ply_tra_confirm_tense_00				omuk	philipp	com valid	Trapper	tense		素早く！
vo_ply_ply_	tra_	confirm_	tense_01	vo_ply_ply_tra_confirm_tense_01				omuk	philipp	com valid	Trapper	tense		うん。早く！
vo_ply_ply_	tra_	confirm_	tense_02	vo_ply_ply_tra_confirm_tense_02				omuk	philipp	com valid	Trapper	tense		今よ！
vo_ply_ply_	tra_	confirm_	tense_03	vo_ply_ply_tra_confirm_tense_03				omuk	philipp	com valid	Trapper	tense		はい！
vo_ply_ply_	tra_	confirm_	tense_04	vo_ply_ply_tra_confirm_tense_04				omuk	philipp	com valid	Trapper	tense		あたしは捕まんないわよ！
vo_ply_ply_	tra_	confirm_	tense_05	vo_ply_ply_tra_confirm_tense_05				omuk	philipp	com valid	Trapper	tense		素早く、鋭く！
vo_ply_ply_	tra_	confirm_	tense_06	vo_ply_ply_tra_confirm_tense_06				omuk	philipp	com valid	Trapper	tense		シーッ。
vo_ply_ply_	tra_	confirm_	tense_07	vo_ply_ply_tra_confirm_tense_07				omuk	philipp	com valid	Trapper	tense		見えないでしょ。
vo_ply_ply_	tra_	confirm_	tense_08	vo_ply_ply_tra_confirm_tense_08				omuk	philipp	com valid	Trapper	tense		ちょっと待ってね。
vo_ply_ply_	tra_	confirm_	tense_09	vo_ply_ply_tra_confirm_tense_09				omuk	philipp	com valid	Trapper	tense		あと少しだから。
vo_ply_ply_	tra_	confirm_	tense_10	vo_ply_ply_tra_confirm_tense_10				omuk	philipp	com valid	Trapper	tense		あたしならできる！
vo_ply_ply_	tra_	confirm_	tense_11	vo_ply_ply_tra_confirm_tense_11				omuk	philipp	com valid	Trapper	tense		オッケー！
vo_ply_ply_	tra_	confirm_	dark_00	vo_ply_ply_tra_confirm_dark_00	Iconic	No	Yes	omuk	philipp	com valid	Trapper	anxious	"to herself
like a mantra"	素早く…鋭く…賢く…。
vo_ply_ply_	tra_	confirm_	dark_01	vo_ply_ply_tra_confirm_dark_01				omuk	philipp	com valid	Trapper	anxious		あとちょっとよ！
vo_ply_ply_	tra_	confirm_	dark_02	vo_ply_ply_tra_confirm_dark_02				omuk	philipp	com valid	Trapper	anxious		頑張らないと。
vo_ply_ply_	tra_	confirm_	dark_03	vo_ply_ply_tra_confirm_dark_03				omuk	philipp	com valid	Trapper	anxious	"close to panic
short breath"	早くするのよ！
vo_ply_ply_	tra_	confirm_	dark_04	vo_ply_ply_tra_confirm_dark_04				omuk	philipp	com valid	Trapper	anxious		行きなさい！
vo_ply_ply_	tra_	confirm_	dark_05	vo_ply_ply_tra_confirm_dark_05				omuk	philipp	com valid	Trapper	anxious	"close to panic
short breath"	待っちゃダメ！
vo_ply_ply_	tra_	confirm_	dark_06	vo_ply_ply_tra_confirm_dark_06				omuk	philipp	com valid	Trapper	anxious		考えないの。勇敢に…。
vo_ply_ply_	tra_	confirm_	dark_07	vo_ply_ply_tra_confirm_dark_07				omuk	philipp	com valid	Trapper	anxious		怖がってるんじゃないの！
vo_ply_ply_	tra_	confirm_	dark_08	vo_ply_ply_tra_confirm_dark_08				omuk	philipp	com valid	Trapper	anxious		怖くなんてないわよ！
vo_ply_ply_	tra_	confirm_	dark_09	vo_ply_ply_tra_confirm_dark_09				omuk	philipp	com valid	Trapper	anxious		師匠…。
vo_ply_ply_	tra_	confirm_	cold_00	vo_ply_ply_tra_confirm_cold_00	Iconic	No	Yes	omuk	philipp	com valid	Trapper	cold	slight shiver	今行くわ。
vo_ply_ply_	tra_	confirm_	cold_01	vo_ply_ply_tra_confirm_cold_01				omuk	philipp	com valid	Trapper	cold		足跡、裏切り者ね。
vo_ply_ply_	tra_	confirm_	cold_02	vo_ply_ply_tra_confirm_cold_02				omuk	philipp	com valid	Trapper	cold		あぁ、滑るわ。
vo_ply_ply_	tra_	confirm_	cold_03	vo_ply_ply_tra_confirm_cold_03				omuk	philipp	com valid	Trapper	cold	slight shiver	早く動くのよ！
vo_ply_ply_	tra_	confirm_	cold_04	vo_ply_ply_tra_confirm_cold_04				omuk	philipp	com valid	Trapper	cold		動き続けて、身体を温めないと。
vo_ply_ply_	tra_	confirm_	cold_05	vo_ply_ply_tra_confirm_cold_05				omuk	philipp	com valid	Trapper	cold		足が冷たい。
vo_ply_ply_	tra_	confirm_	night_00	vo_ply_ply_tra_confirm_night_00	Iconic	No	Yes	omuk	philipp	com valid	Trapper	stealthy		コソコソした狐みたいに…。
vo_ply_ply_	tra_	confirm_	night_01	vo_ply_ply_tra_confirm_night_01				omuk	philipp	com valid	Trapper	stealthy		闇から闇へ。
vo_ply_ply_	tra_	confirm_	night_02	vo_ply_ply_tra_confirm_night_02				omuk	philipp	com valid	Trapper	stealthy		夜の泥棒ね。
vo_ply_ply_	tra_	confirm_	night_03	vo_ply_ply_tra_confirm_night_03				omuk	philipp	com valid	Trapper	stealthy		明かりをすり抜けて。
vo_ply_ply_	tra_	confirm_	night_04	vo_ply_ply_tra_confirm_night_04				omuk	philipp	com valid	Trapper	stealthy		明かりは敵だもん。
vo_ply_ply_	tra_	confirm_	night_05	vo_ply_ply_tra_confirm_night_05				omuk	philipp	com valid	Trapper	stealthy		見つからないようにね。
vo_ply_ply_	tra_	confirm_	war_00	vo_ply_ply_tra_confirm_war_00	Iconic	No	Yes	omuk	philipp	com valid	Trapper	tense	to herself	うるさすぎるわ。聞かないようにしないと。
vo_ply_ply_	tra_	confirm_	war_01	vo_ply_ply_tra_confirm_war_01				omuk	philipp	com valid	Trapper	tense	to herself	奴らからは見えないのよ。
vo_ply_ply_	tra_	confirm_	war_02	vo_ply_ply_tra_confirm_war_02				omuk	philipp	com valid	Trapper	tense		逃げちゃダメでしょ！
vo_ply_ply_	tra_	confirm_	war_03	vo_ply_ply_tra_confirm_war_03				omuk	philipp	com valid	Trapper	tense	small cough	空気が…汚い。
vo_ply_ply_	tra_	confirm_	war_04	vo_ply_ply_tra_confirm_war_04				omuk	philipp	com valid	Trapper	tense		奴らを止めてみせる。
vo_ply_ply_	tra_	confirm_	war_05	vo_ply_ply_tra_confirm_war_05				omuk	philipp	com valid	Trapper	tense		あたしは素早い、そして勇敢。
vo_ply_ply_	tra_	confirm_	team_00	vo_ply_ply_tra_confirm_team_00	Iconic	No	Yes	omuk	philipp	com valid	Trapper	happy		愛琥さん、あたしやるからね。
vo_ply_ply_	tra_	confirm_	team_01	vo_ply_ply_tra_confirm_team_01				omuk	philipp	com valid	Trapper	happy		巧磨師匠、見ていて！
vo_ply_ply_	tra_	confirm_	team_02	vo_ply_ply_tra_confirm_team_02				omuk	philipp	com valid	Trapper	happy		武源様のため！
vo_ply_ply_	tra_	confirm_	team_03	vo_ply_ply_tra_confirm_team_03				omuk	philipp	com valid	Trapper	happy	meaning they trust in you, they are friends	頼りにされてるんだから！
vo_ply_ply_	tra_	confirm_	team_04	vo_ply_ply_tra_confirm_team_04				omuk	philipp	com valid	Trapper	happy		みんな、見ていて！
vo_ply_ply_	tra_	confirm_	team_05	vo_ply_ply_tra_confirm_team_05				omuk	philipp	com valid	Trapper	happy		今行くわ、隼人さん。
vo_ply_ply_	tra_	confirm_	rain_00	vo_ply_ply_tra_confirm_rain_00	Iconic	No	Yes	omuk	philipp	com valid	Trapper	tense		水たまりを通っちゃダメ。
vo_ply_ply_	tra_	confirm_	rain_01	vo_ply_ply_tra_confirm_rain_01				omuk	philipp	com valid	Trapper	playful		水たまりは音がするでしょ？
vo_ply_ply_	tra_	confirm_	rain_02	vo_ply_ply_tra_confirm_rain_02				omuk	philipp	com valid	Trapper	irritated		床が泥だらけ。
vo_ply_ply_	tra_	refuse_	normal_00	vo_ply_ply_tra_refuse_normal_00				omuk	philipp	com invalid	Trapper	stealthy	"sound you make when you mean ""No."""	まずいわね。
vo_ply_ply_	tra_	refuse_	normal_01	vo_ply_ply_tra_refuse_normal_01				omuk	philipp	com invalid	Trapper	stealthy		う～ん、なんで？
vo_ply_ply_	tra_	refuse_	normal_02	vo_ply_ply_tra_refuse_normal_02				omuk	philipp	com invalid	Trapper	stealthy	is embarrassed	できないわ。ごめん。
vo_ply_ply_	tra_	refuse_	tense_00	vo_ply_ply_tra_refuse_tense_00				omuk	philipp	com invalid	Trapper	tense		できないってば！バカ！
vo_ply_ply_	tra_	refuse_	tense_01	vo_ply_ply_tra_refuse_tense_01				omuk	philipp	com invalid	Trapper	tense		嫌よ！
vo_ply_ply_	tra_	refuse_	tense_02	vo_ply_ply_tra_refuse_tense_02				omuk	philipp	com invalid	Trapper	tense		ごめん。
vo_ply_ply_	tra_	refuse_	dark_00	vo_ply_ply_tra_refuse_dark_00				omuk	philipp	com invalid	Trapper	anxious		イヤなの…。
vo_ply_ply_	tra_	refuse_	dark_01	vo_ply_ply_tra_refuse_dark_01				omuk	philipp	com invalid	Trapper	anxious		ごめんね。
vo_ply_ply_	tra_	refuse_	dark_02	vo_ply_ply_tra_refuse_dark_02				omuk	philipp	com invalid	Trapper	anxious		できないわ。
vo_ply_ply_	tra_	refuse_path_	normal_00	vo_ply_ply_tra_refuse_path_normal_00				omuk	philipp	com move unreachable	Trapper	stealthy		そこには行けない。ごめん。
vo_ply_ply_	tra_	refuse_path_	normal_01	vo_ply_ply_tra_refuse_path_normal_01				omuk	philipp	com move unreachable	Trapper	stealthy		難しすぎる。ごめんね。
vo_ply_ply_	tra_	refuse_path_	normal_02	vo_ply_ply_tra_refuse_path_normal_02				omuk	philipp	com move unreachable	Trapper	stealthy	shakes her head	う～ん、無理。
vo_ply_ply_	tra_	refuse_path_	tense_00	vo_ply_ply_tra_refuse_path_tense_00				omuk	philipp	com move unreachable	Trapper	tense	talks to herself	そこには行けないでしょ！
vo_ply_ply_	tra_	refuse_path_	tense_01	vo_ply_ply_tra_refuse_path_tense_01				omuk	philipp	com move unreachable	Trapper	tense		難しすぎるね。
vo_ply_ply_	tra_	refuse_path_	tense_02	vo_ply_ply_tra_refuse_path_tense_02				omuk	philipp	com move unreachable	Trapper	tense		嫌よ！難しすぎるから。
vo_ply_ply_	tra_	refuse_door_enemy_	normal_00	vo_ply_ply_tra_refuse_door_enemy_normal_00				omuk	philipp	com door with enemy	Trapper	stealthy		あ～、中に誰かいるわよ？
vo_ply_ply_	tra_	refuse_door_enemy_	normal_01	vo_ply_ply_tra_refuse_door_enemy_normal_01				omuk	philipp	com door with enemy	Trapper	stealthy		バカ、ダメだってば！悪い人たちが中にいるの。
vo_ply_ply_	tra_	refuse_door_enemy_	normal_02	vo_ply_ply_tra_refuse_door_enemy_normal_02				omuk	philipp	com door with enemy	Trapper	stealthy		見張りが中にいるよ。
vo_ply_ply_	tra_	refuse_door_enemy_	tense_00	vo_ply_ply_tra_refuse_door_enemy_tense_00				omuk	philipp	com door with enemy	Trapper	tense		待って！中に誰かいる！
vo_ply_ply_	tra_	refuse_door_enemy_	tense_01	vo_ply_ply_tra_refuse_door_enemy_tense_01				omuk	philipp	com door with enemy	Trapper	tense		ダメよ！悪い人たちが中にいる！
vo_ply_ply_	tra_	refuse_door_enemy_	tense_02	vo_ply_ply_tra_refuse_door_enemy_tense_02				omuk	philipp	com door with enemy	Trapper	tense		ダメ！見張りが中にいるの。
vo_ply_ply_	tra_	refuse_path_usable_	normal_00	vo_ply_ply_tra_refuse_path_usable_normal_00				omuk	philipp	com move unreachable without usables	Trapper	stealthy	talks to herself	う～ん。近道があるよ。
vo_ply_ply_	tra_	refuse_path_usable_	normal_01	vo_ply_ply_tra_refuse_path_usable_normal_01				omuk	philipp	com move unreachable without usables	Trapper	stealthy		道があったと思うけど、どこだっけ？
vo_ply_ply_	tra_	refuse_path_usable_	normal_02	vo_ply_ply_tra_refuse_path_usable_normal_02				omuk	philipp	com move unreachable without usables	Trapper	stealthy		こうじゃなくて。ジャンプして登るの。
vo_ply_ply_	tra_	refuse_path_usable_	tense_00	vo_ply_ply_tra_refuse_path_usable_tense_00				omuk	philipp	com move unreachable without usables	Trapper	tense		いいえ、近道を探しましょう。
vo_ply_ply_	tra_	refuse_path_usable_	tense_01	vo_ply_ply_tra_refuse_path_usable_tense_01				omuk	philipp	com move unreachable without usables	Trapper	tense		近道を探すの、バカ！
vo_ply_ply_	tra_	refuse_path_usable_	tense_02	vo_ply_ply_tra_refuse_path_usable_tense_02				omuk	philipp	com move unreachable without usables	Trapper	tense		こうじゃないってば。ジャンプして登るの！
vo_ply_ply_	tra_	refuse_cooldown_	normal_00	vo_ply_ply_tra_refuse_cooldown_normal_00				omuk	philipp	com skill on cooldown	Trapper	stealthy		まだ使えない。
vo_ply_ply_	tra_	refuse_cooldown_	normal_01	vo_ply_ply_tra_refuse_cooldown_normal_01				omuk	philipp	com skill on cooldown	Trapper	stealthy		ダメよ。まだ時間がかかる。
vo_ply_ply_	tra_	refuse_cooldown_	normal_02	vo_ply_ply_tra_refuse_cooldown_normal_02				omuk	philipp	com skill on cooldown	Trapper	stealthy	talks to herself	今？ううん、まだよ。
vo_ply_ply_	tra_	refuse_cooldown_	tense_00	vo_ply_ply_tra_refuse_cooldown_tense_00				omuk	philipp	com skill on cooldown	Trapper	tense		まだ準備できてない。
vo_ply_ply_	tra_	refuse_cooldown_	tense_01	vo_ply_ply_tra_refuse_cooldown_tense_01				omuk	philipp	com skill on cooldown	Trapper	tense		いいえ！まだ時間がかかるの。
vo_ply_ply_	tra_	refuse_cooldown_	tense_02	vo_ply_ply_tra_refuse_cooldown_tense_02				omuk	philipp	com skill on cooldown	Trapper	tense	talks to herself	今？ダメよ、バカ！
vo_ply_ply_	tra_	refuse_noammo_	normal_00	vo_ply_ply_tra_refuse_noammo_normal_00				omuk	philipp	com skill no ammo	Trapper	stealthy		弾がない。
vo_ply_ply_	tra_	refuse_noammo_	normal_01	vo_ply_ply_tra_refuse_noammo_normal_01				omuk	philipp	com skill no ammo	Trapper	stealthy		何で撃つのよ？
vo_ply_ply_	tra_	refuse_noammo_	normal_02	vo_ply_ply_tra_refuse_noammo_normal_02				omuk	philipp	com skill no ammo	Trapper	stealthy		弾切れよ、ごめんね。
vo_ply_ply_	tra_	refuse_noammo_	tense_00	vo_ply_ply_tra_refuse_noammo_tense_00				omuk	philipp	com skill no ammo	Trapper	tense		弾がないよ！
vo_ply_ply_	tra_	refuse_noammo_	tense_01	vo_ply_ply_tra_refuse_noammo_tense_01				omuk	philipp	com skill no ammo	Trapper	tense		どうやって撃つのよ？
vo_ply_ply_	tra_	refuse_noammo_	tense_02	vo_ply_ply_tra_refuse_noammo_tense_02				omuk	philipp	com skill no ammo	Trapper	tense		弾がないわ！
vo_ply_ply_	tra_	take_damage_	normal_00	vo_ply_ply_tra_take_damage_normal_00				omuk	philipp	char take damage	Trapper	frightened		イタッ！痛いじゃない！
vo_ply_ply_	tra_	take_damage_	normal_01	vo_ply_ply_tra_take_damage_normal_01				omuk	philipp	char take damage	Trapper	frightened		やめて！お願い！
vo_ply_ply_	tra_	take_damage_	normal_02	vo_ply_ply_tra_take_damage_normal_02				omuk	philipp	char take damage	Trapper	frightened	(sound) gets hurt	
vo_ply_ply_	tra_	take_damage_	normal_03	vo_ply_ply_tra_take_damage_normal_03				omuk	philipp	char take damage	Trapper	frightened	(sound) gets hurt	
vo_ply_ply_	tra_	take_damage_	normal_04	vo_ply_ply_tra_take_damage_normal_04				omuk	philipp	char take damage	Trapper	frightened	(sound) gets hurt	
vo_ply_ply_	tra_	take_damage_	normal_05	vo_ply_ply_tra_take_damage_normal_05				omuk	philipp	char take damage	Trapper	frightened	(sound) gets hurt	
vo_ply_ply_	tra_	death_	normal_00	vo_ply_ply_tra_death_normal_00				omuk	philipp	char death	Trapper	frightened	whimper, then death	う…。
