4,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Mugen works together with Yuki to get a feel for her character.
2) On the way to the target, Yuki ran ahead. Now she and Mugen are separated.
3) As they reunite, Mugen is displeased, but not angry (tough but fair).
4) We learn that Yuki grew up on the streets. She fears her origins are a problem.
5) Mugen tells her that he values peoples skill and character, not their origin.
6) They must steal documents from an official. The target is guarded by samurai.
8) Mugen causes a distraction so that Yuki can pickpockets the official.
9) The team escapes in a wagon. Mugen tells Yuki she is now part of the team."
SAKE2									The team hides inside a wagon that transports them to a market. A guard waves the wagon into a backyard.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_snowcity_sake2_n00				ENEMY	dutyful	waves to wagon driver	通ってくれ。
									
LOCKED									The team encounters a locked side entrance to the compound where the target is located.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_locked_n00				TRAPPER	observant	Yuki first	あそこ門の場所！
vocs_over_over_	_n01	vocs_over_over_snowcity_locked_n01				WARRIOR	has a plan		思った通り施錠されておる。準備はよいか、雪殿？
vocs_over_over_	_n02	vocs_over_over_snowcity_locked_n02				TRAPPER	sneaky		はい。閉まってるってことは鍵がある。鍵は盗まれたがってる。
									
ICICLE									Yuki spots big icicles growing under a roof. She can break it so it drops down and kills a samurai.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_icicle_n00				TRAPPER	to herself		みて！大きな、輝くつらら。侍の頭の上に落ちたがってるみたい。
									
KEY									Yuki steals the key to the side entrance from a samurai.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_key_n00				TRAPPER	to herself	afraid Mugen will kick her out	急いで！お侍さんが心配する前に門を開けなきゃ。
									
UNLOCKED									Yuki unlocks the side entrance to let Mugen into the compound with the target.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_unlocked_n00				TRAPPER	relieved	first	よし、やったわ。
vocs_over_over_	_n01	vocs_over_over_snowcity_unlocked_n01				WARRIOR	impressed		見事だ。隼人殿がお主に可能性を見出したわけもわかる。
vocs_over_over_	_n02	vocs_over_over_snowcity_unlocked_n02				TRAPPER	happy		ありがとう！
vocs_over_over_	_n03	vocs_over_over_snowcity_unlocked_n03				WARRIOR	impressed		では共に次の手について話し合おう。
									
BRIEFING3									Yuki and Mugen must steal documents from an offcial. Unfortunately for them they have become separated on the way to their target.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_briefing3_n00				WARRIOR	ready for planning		よし…。
vocs_over_over_	_n01	vocs_over_over_snowcity_briefing3_n01				WARRIOR	planning		役人は守られていることを忘れるな。
vocs_over_over_	_n02	vocs_over_over_snowcity_briefing3_n02				WARRIOR	planning	cam to official	これほどの護衛とは戦えぬ。気を引く方法を探すべきであるな。
vocs_over_over_	_n03	vocs_over_over_snowcity_briefing3_n03				WARRIOR	planning	cam to tower1	火の見やぐらがここからの道に二つある。
vocs_over_over_	_n04	vocs_over_over_snowcity_briefing3_n04				WARRIOR	planning	cam to tower2	一つを倒せば、役人が騒いで部下を送ってくるだろう。
vocs_over_over_	_n05	vocs_over_over_snowcity_briefing3_n05				TRAPPER	amazed		塔を倒すの？
vocs_over_over_	_n06	vocs_over_over_snowcity_briefing3_n06				WARRIOR	planning		そうなったら、書類を標的から盗むのに十分な時間があるだろう。
vocs_over_over_	_n07	vocs_over_over_snowcity_briefing3_n07				WARRIOR	planning		終わったらこの馬車を脱出に使おう。
vocs_over_over_	_n08	vocs_over_over_snowcity_briefing3_n08				TRAPPER	a bit scary	cam back to bush	奴は悪い奴よね？ならあたしが手をかけたい…。
vocs_over_over_	_n09	vocs_over_over_snowcity_briefing3_n09				WARRIOR	stresses the fact		ならぬ、危害を加えてはならぬ。上様は位の高い役人が死ぬのを好まぬ。証拠を掴むまではな。
vocs_over_over_	_n10	vocs_over_over_snowcity_briefing3_n10				TRAPPER	acts like a soldier		わかりました！
vocs_over_over_	_n11	vocs_over_over_snowcity_briefing3_n11				WARRIOR	encouraging		そしなら行くぞ、雪殿。
vocs_over_over_	_n12	vocs_over_over_snowcity_briefing3_n12				TRAPPER	excited		うん。
									
BRIEFING3a									Alternative for Briefing3
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_briefing3a_n00				WARRIOR	ready for planning		よし…。
vocs_over_over_	_n01	vocs_over_over_snowcity_briefing3a_n01				WARRIOR	planning		役人は守られていることを忘れるな。
vocs_over_over_	_n02	vocs_over_over_snowcity_briefing3a_n02				WARRIOR	planning	cam to official	これほどの護衛とは戦えぬ。気を引く方法をさがすべきであるな。
vocs_over_over_	_n03	vocs_over_over_snowcity_briefing3a_n03				TRAPPER	planning	cam to tower1	ここに就くまでに二つの木の塔を見た。
vocs_over_over_	_n04	vocs_over_over_snowcity_briefing3a_n04				TRAPPER	planning	cam to tower2	お侍さんなら壊せますよね？そしたら大きな音がなって、書類の男がきっと侍を送って、何がおこったか見に来ると思う
vocs_over_over_	_n05	vocs_over_over_snowcity_briefing3a_n05				WARRIOR	amazed		突飛な作戦だ。試してみたいな
vocs_over_over_	_n06	vocs_over_over_snowcity_briefing3a_n06				WARRIOR	planning		そうなったら、書類を標的から盗むのに十分な時間があるだろう。
vocs_over_over_	_n07	vocs_over_over_snowcity_briefing3a_n07				TRAPPER	planning		はい、そして逃げる、ですよね？誰か馬車に隠れましょう！ここから出してくれる。
vocs_over_over_	_n08	vocs_over_over_snowcity_briefing3a_n08				TRAPPER	a bit scary	cam back to bush	書類の男は…悪い人だよね。ならあたしが手をかけたい…。
vocs_over_over_	_n09	vocs_over_over_snowcity_briefing3a_n09				WARRIOR	stresses the fact		ならぬ、危害を加えてはならぬ。上様は位の高い役人が死ぬのを好まぬ。証拠を掴むまではな。
vocs_over_over_	_n10	vocs_over_over_snowcity_briefing3a_n10				TRAPPER	acts like a soldier		わかりました！
vocs_over_over_	_n11	vocs_over_over_snowcity_briefing3a_n11				WARRIOR	encouraging		では行くぞ、雪殿。
vocs_over_over_	_n12	vocs_over_over_snowcity_briefing3a_n12				TRAPPER	excited		行きましょう。
									
PLATFORM									Mugen spots a platform that he can topple by cutting through its supporting structure.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_platform_n00				WARRIOR	confident		よく狙った。一刀は、この舞台も地へと倒れる。
vocs_over_over_	_n01	vocs_over_over_snowcity_platform_n01				TRAPPER	amazed		たくましい、お侍さん。
vocs_over_over_	_n01a	vocs_over_over_snowcity_platform_n01a				TRAPPER	amazed		たくましい、お侍さん。きっとできるわ！
vocs_over_over_	_n02	vocs_over_over_snowcity_platform_n02				WARRIOR	confident		打ち込む箇所を知るのみで十分だ。
									
TOWER									The team finds a tower that he can destroy to create a distraction.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_tower_n00				TRAPPER	amazed	Yuki first	すごく高い塔ね！
vocs_over_over_	_n01	vocs_over_over_snowcity_tower_n01				WARRIOR	confident		塔の柱など我が刀の敵ではない。この作戦がうまくいけば、役人は見張りを送ってくるはず。
									
DISTRACTION									Mugen has created a distraction so that Yuki can pickpocket the target.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_distraction_n00				OFFICIAL	worried	sends his guards to investigate the distraction	何が起きておる？！行け、皆で調べろ。
vocs_over_over_	_n01	vocs_over_over_snowcity_distraction_n01				WARRIOR	encouraging		これはしばらく忙しくなりそうだ。気をつけて、雪殿。
vocs_over_over_	_n01a	vocs_over_over_snowcity_distraction_n01a				WARRIOR	encouraging		お主の計画がうまいった。やることはわかっておるな、雪殿。
vocs_over_over_	_n02	vocs_over_over_snowcity_distraction_n02				TRAPPER	focussed		はい。書類を盗む姿を見られない。悪い男は傷つけない。
									
OFFICIAL1									The team overhears a conversation between the official and his personal assistant.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_snowcity_official1_n00				OFFICIAL	worried		藪大名は輸送での損失に機嫌を損ねておられる。その結果、鶴山に向かわれてしまった。
vo_hint_hint_	_n01	vo_hint_hint_snowcity_official1_n01				CIVILIAN M	reassuring		心配なさらないでください。護衛を次の輸送では倍に致します。この遅延は後にはほとんど意味はなくなりまする。
vo_hint_hint_	_n02	vo_hint_hint_snowcity_official1_n02				OFFICIAL	slightly reassured	uncomfortable with illegal business	祈るのみであるな。とにかく、裏で行われていれば私はありがたい。
vo_hint_hint_	_n03	vo_hint_hint_snowcity_official1_n03				CIVILIAN M	dutyful	changing subjects to lighten the mood	私もでございます。では、覧の次の場所についての話…。
									
OFFICIAL2									Loops before and after WORLD3.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_snowcity_official2_n00				OFFICIAL	worried		とても困る問題だ。
vo_hint_hint_	_n01	vo_hint_hint_snowcity_official2_n01				CIVILIAN M	dutyful		終わらせるように致します。
vo_hint_hint_	_n02	vo_hint_hint_snowcity_official2_n02				OFFICIAL	worried		すぐに対処が必要だ。
vo_hint_hint_	_n03	vo_hint_hint_snowcity_official2_n03				CIVILIAN M	dutyful		終わり次第報告致します。
vo_hint_hint_	_n04	vo_hint_hint_snowcity_official2_n04				OFFICIAL	worried		準備はどうなっている。
vo_hint_hint_	_n05	vo_hint_hint_snowcity_official2_n05				CIVILIAN M	dutyful		満足いただけるかと。
vo_hint_hint_	_n06	vo_hint_hint_snowcity_official2_n06				OFFICIAL	worried		奴を信じられるのか？さらに質問をするのがよいだろう。
vo_hint_hint_	_n07	vo_hint_hint_snowcity_official2_n07				CIVILIAN M	dutyful		手配致します。
									
PICKPOCKET									Yuki pickpockets the target.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_pickpocket_n00				TRAPPER	whispering happily to herself		よし！やったわ！次は、急いで出るのよ。
vocs_over_over_	_n01	vocs_over_over_snowcity_pickpocket_n01				WARRIOR	proud		よくやった、雪殿。では急いで馬車へと向かおう。危険から解放してくれる。
									
FAIL									The team accidentally kills the official.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_fail_n00				TRAPPER	angry with herself	Yuki first	駄目駄目駄目駄目！やっちゃったわ、ばか、ばか！
vocs_over_over_	_n01	vocs_over_over_snowcity_fail_n01				WARRIOR	disapproval		死んでいる！しまった！上様に申し訳が立たぬ。失敗したか。
									
DEBRIEFING									The team has completed their mission.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_debriefing_n00				TRAPPER	excited		楽しい冒険だったわ！
vocs_over_over_	_n01	vocs_over_over_snowcity_debriefing_n01				WARRIOR	proud of Yuki		盗みの技が良かった、とりわけな。
vocs_over_over_	_n02	vocs_over_over_snowcity_debriefing_n02				TRAPPER	a bit flattered		ありがとう、お侍さん！
vocs_over_over_	_n03	vocs_over_over_snowcity_debriefing_n03				WARRIOR	good mood		隼人殿は才覚のある生徒を喜んで受け入れるであろう。
vocs_over_over_	_n04	vocs_over_over_snowcity_debriefing_n04				TRAPPER	cautious		うーん、質問していいですか？
vocs_over_over_	_n05	vocs_over_over_snowcity_debriefing_n05				WARRIOR	good mood		かまわぬぞ。
vocs_over_over_	_n06	vocs_over_over_snowcity_debriefing_n06				TRAPPER	careful	doesn't know how to say it	その…他の侍とはちがいますよね？
vocs_over_over_	_n07	vocs_over_over_snowcity_debriefing_n07				WARRIOR	surprised		はは…それは褒めているのか？
vocs_over_over_	_n08	vocs_over_over_snowcity_debriefing_n08				TRAPPER	anxious	afraid Mugen will kick her out	は、はい。
vocs_over_over_	_n09	vocs_over_over_snowcity_debriefing_n09				WARRIOR	pleased		そう受け取っておこう。では、隠れ家へと戻り、書類を調べるとしよう。
vocs_over_over_	_n10	vocs_over_over_snowcity_debriefing_n10				TRAPPER	anxious		はい、お侍さん！
									
									
									
									
									
									
									
