5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The team has found Kage-sama's hidden camp in the bamboo forest
2) Aiko and Takuma approach from one side. Takuma is in sniper position
3) Mugen, Hayato and Yuki enter the camp through the main entrance
4) Aiko has a bad feeling about the mission. She is right, Kage-sama is a fake.
5) When the team strikes, soldiers appear everywhere and they get captured.
6) Noboru is revealed as the true Kage-sama.
7) Mugen tells him where the Shogun's heir is in order to save Aiko."
vocs_over_over_	_n07	vocs_over_over_bambooforest_briefing_n07				NINJA	smug		死体の方がいい。道中で面倒事にならんだろう。
vocs_over_over_	_n08	vocs_over_over_bambooforest_briefing_n08				WARRIOR			まず、奴を捕らえたらここへ戻し、その勝利と共に森を出る。
vocs_over_over_	_n09	vocs_over_over_bambooforest_briefing_n09				TRAPPER	tense		忍び込んで、カゲを捕まえて、バレずに出る。
vocs_over_over_	_n10	vocs_over_over_bambooforest_briefing_n10				NINJA	smug		ふん、簡単だな。さあ、始めよう。
									
FORCE									Mugen's group tackles the heavily guarded entrance to the camp
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bambooforest_force_n00				NINJA	smug	Hayato first	おっと、こいつは…。そう簡単にはいかなさそうだな。
vocs_over_over_	_n01	vocs_over_over_bambooforest_force_n01				TRAPPER	excited	Yuki first	わぁ、やりがいありそっ！
vocs_over_over_	_n02	vocs_over_over_bambooforest_force_n02				WARRIOR	proud		ハッ！この者達は誰と敵対してるのかわかっておらぬな。
									
WORKERS									Mugen's group discovers civilians working in the camp.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bambooforest_workers_n00				NINJA	curious	Hayato first	働かされている…奴隷か？
vocs_over_over_	_n01	vocs_over_over_bambooforest_workers_n01				TRAPPER	puzzled	Yuki first	見て！武器は持ってないよ…。
vocs_over_over_	_n02	vocs_over_over_bambooforest_workers_n02				WARRIOR	focussed		町人だ。捕らえられたか、敵に忠誠を誓ったのであろう。後でどうにかしてやろう。
									
WORKERS1									Civilians carry wood and build walkways over swampy ground. Nearby guards push them on.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bambooforest_workers1_n00				ENEMY	pushy	to civilians	それだ、運べ。
vo_hint_hint_	_n01	vo_hint_hint_bambooforest_workers1_n01				STATIC	pushy	to civilians	怠けるな。
vo_hint_hint_	_n02	vo_hint_hint_bambooforest_workers1_n02				ENEMY	pushy	to civilians	まだ終わらんぞ。
vo_hint_hint_	_n03	vo_hint_hint_bambooforest_workers1_n03				STATIC	pushy	to civilians	早くやれ。
vo_hint_hint_	_n04	vo_hint_hint_bambooforest_workers1_n04				ENEMY	pushy	to civilians	カゲサマは早く終わるのを望まれている。
vo_hint_hint_	_n05	vo_hint_hint_bambooforest_workers1_n05				STATIC	pushy	to civilians	カゲサマがご機嫌を損なわれたらどうなるか知っているだろう。
vo_hint_hint_	_n06	vo_hint_hint_bambooforest_workers1_n06				CIVILIAN M	encumbered	carrying heavy logs	はあぁ…。
vo_hint_hint_	_n07	vo_hint_hint_bambooforest_workers1_n07				CIVILIAN M	encumbered	carrying heavy logs	うぅ…おもっ…。
vo_hint_hint_	_n08	vo_hint_hint_bambooforest_workers1_n08				CIVILIAN F	encumbered	working wood	…腰が。
									
WORKERS2									Civilians cut down bamboo trees to expand the hidden camp. Nearby guards push them on.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bambooforest_workers2_n00				ENEMY	pushy	to civilians	遅すぎるぞ。
vo_hint_hint_	_n01	vo_hint_hint_bambooforest_workers2_n01				STATIC	pushy	to civilians	日が暮れるぞ。
vo_hint_hint_	_n02	vo_hint_hint_bambooforest_workers2_n02				ENEMY	pushy	to civilians	それで急いでるのか？
vo_hint_hint_	_n03	vo_hint_hint_bambooforest_workers2_n03				STATIC	pushy	to civilians	早くしろ、このっ。
vo_hint_hint_	_n04	vo_hint_hint_bambooforest_workers2_n04				ENEMY	pushy	to civilians	カゲサマがお喜びになられないぞ。
vo_hint_hint_	_n05	vo_hint_hint_bambooforest_workers2_n05				STATIC	pushy	to civilians	仕事をこなせぬ者は処刑だ。カゲサマのご命令だ。
vo_hint_hint_	_n06	vo_hint_hint_bambooforest_workers2_n06				CIVILIAN M	tired	hacking bamboo	…疲れた。
vo_hint_hint_	_n07	vo_hint_hint_bambooforest_workers2_n07				CIVILIAN M	tired	hacking bamboo	あぁ、腰が。
vo_hint_hint_	_n08	vo_hint_hint_bambooforest_workers2_n08				CIVILIAN F	tired	hacking bamboo	どうかお許しを…。
									
CAMP									Mugen's group encounters stronger fortifications in the camp
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bambooforest_camp_n00				NINJA	impressed	Hayato first	悪くない。小規模で、うまく隠れていた。これは見つからないはずだ。
vocs_over_over_	_n01	vocs_over_over_bambooforest_camp_n01				WARRIOR	evaluating	Mugen first	野営の規模は小さいが、しかし防衛にも優れている。
vocs_over_over_	_n02	vocs_over_over_bambooforest_camp_n02				TRAPPER	excited		この場所…忍の里みたい！
vocs_over_over_	_n03	vocs_over_over_bambooforest_camp_n03				NINJA	amused		ハッ、もしそうだったら俺たちゃいま頃オダブツだぜ。
									
NEMESIS									Mugen's group gets close enough to see Kage-sama (the fake one).
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bambooforest_nemesis_n00				NINJA	smug	Hayato first	真ん中にいるのが、カゲサマであろう。
vocs_over_over_	_n01	vocs_over_over_bambooforest_nemesis_n01				TRAPPER	excited	Yuki first	みて！巣に蜘蛛がいる！カゲサマ！
vocs_over_over_	_n02	vocs_over_over_bambooforest_nemesis_n02				WARRIOR	eager		黒装束、影から切り取れらたようだ。名に劣らぬ姿だ。
vocs_over_over_	_n03	vocs_over_over_bambooforest_nemesis_n03				TRAPPER	fascinated		像のように動かないね。どうしてだろう？
vocs_over_over_	_n04	vocs_over_over_bambooforest_nemesis_n04				NINJA	smug		関係ないさ。今から死んでもらうんだからな。
									
WORRY									Aiko climbs down to help Mugen's group.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bambooforest_worry_n00				GEISHA	slightly weary		彼らの所に行きましょう。巧磨様はここから見ていてください。
vocs_over_over_	_n01	vocs_over_over_bambooforest_worry_n01				ALCHEMIST	suspicious		もちろんじゃよ。何か問題でもあるのかね、愛琥さん。
vocs_over_over_	_n02	vocs_over_over_bambooforest_worry_n02				GEISHA	slightly weary		ひょっとしたらもっと何かあるかもしれないんです。
vocs_over_over_	_n03	vocs_over_over_bambooforest_worry_n03				ALCHEMIST	suspicious		ああ、わかった。用心深く警戒しておくよ。
vocs_over_over_	_n04	vocs_over_over_bambooforest_worry_n04				GEISHA	elegant		ありがとうございます、巧磨様。
									
CONTEMPT									Aiko lays eyes on Kage-sama (fake)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bambooforest_contempt_n00				GEISHA	with contempt		この男が全ての元凶。とても残念だわ。皆の時間を無駄にしたわ。
									
REUNION									Aiko reunites with Mugen's group.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bambooforest_reunion_n00				NINJA	neutral	Hayato first	おーい。
vocs_over_over_	_n01	vocs_over_over_bambooforest_reunion_n01				TRAPPER	happy	Yuki first	愛琥さんっ！
vocs_over_over_	_n02	vocs_over_over_bambooforest_reunion_n02				GEISHA	elegant	Aiko first	良く無事だったわね。
vocs_over_over_	_n03	vocs_over_over_bambooforest_reunion_n03				WARRIOR	pleased		愛琥殿、よくぞ我らに勝利をもたらしてくれました。
vocs_over_over_	_n04	vocs_over_over_bambooforest_reunion_n04				GEISHA	worried		こんなに簡単にいくなんて…。なんだか嫌な感じがするわ。
									
SHADOWS									The fake Kage-sama meditates at the center of his camp.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bambooforest_shadows_n00				FAKE	mysterious		うむ、時は近い。
vo_hint_hint_	_n01	vo_hint_hint_bambooforest_shadows_n01				FAKE	mysterious		静寂。
vo_hint_hint_	_n02	vo_hint_hint_bambooforest_shadows_n02				FAKE	mysterious		しかし、全ては渦中。
vo_hint_hint_	_n03	vo_hint_hint_bambooforest_shadows_n03				FAKE	mysterious		然るべき有様。
vo_hint_hint_	_n04	vo_hint_hint_bambooforest_shadows_n04				FAKE	mysterious		人生は人生。
vo_hint_hint_	_n05	vo_hint_hint_bambooforest_shadows_n05				FAKE	mysterious		人々の選ぶ義務。
vo_hint_hint_	_n06	vo_hint_hint_bambooforest_shadows_n06				FAKE	mysterious		私は決めたのだ。
									
DEBRIEFING									When Kage-sama (fake) is attacked, enemies appear everywhere and capture the team.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bambooforest_debriefing_n00				OFFICER			今だ！
vocs_over_over_	_n01	vocs_over_over_bambooforest_debriefing_n01				WARRIOR	panicking	Mugen first	罠だ！
vocs_over_over_	_n02	vocs_over_over_bambooforest_debriefing_n02				NINJA	panicking	Hayato first	くそっ！
vocs_over_over_	_n03	vocs_over_over_bambooforest_debriefing_n03				TRAPPER	panicking	Yuki first	わぁ、やめっ！
vocs_over_over_	_n04	vocs_over_over_bambooforest_debriefing_n04				GEISHA	panicking	Aiko first	駄目、下がって！
vocs_over_over_	_n05	vocs_over_over_bambooforest_debriefing_n05						Fade to Black --> Fade to new scene
vocs_over_over_	_n06	vocs_over_over_bambooforest_debriefing_n06				OFFICER		everyone has  been captured, including Takuma	終わりました、カゲサマ。老人は側の坂にいます。カゲサマのおっしゃる通り奴らは単体でやってきました。
vocs_over_over_	_n07	vocs_over_over_bambooforest_debriefing_n07				WARRIOR	shocked		カゲサマ…あ、あなたは！
vocs_over_over_	_n08	vocs_over_over_bambooforest_debriefing_n08				BROGUN	cold	Officer presents him Mugens Katana	兄上がお主にこの刀を渡した時のことを覚えている…。
vocs_over_over_	_n09	vocs_over_over_bambooforest_debriefing_n09				BROGUN	cold	takes Mugen's katana from Officer	くだらない。
vocs_over_over_	_n10	vocs_over_over_bambooforest_debriefing_n10				WARRIOR	disbelief		どうして…なぜこのようなことを！？
vocs_over_over_	_n11	vocs_over_over_bambooforest_debriefing_n11				BROGUN	cold	goes to Mugen	私と兄上には、意見の食い違いが心底多かったのだ。すべてを知っていればお前も納得するだろう…。
vocs_over_over_	_n12	vocs_over_over_bambooforest_debriefing_n12				WARRIOR	hate, disgust		一体何が望みだ！？この、裏切者めが！！
vocs_over_over_	_n13	vocs_over_over_bambooforest_debriefing_n13				BROGUN			取引だ、武源。
vocs_over_over_	_n14	vocs_over_over_bambooforest_debriefing_n14				BROGUN	cold		龍之介をどこへやったか、知りたい。
vocs_over_over_	_n15	vocs_over_over_bambooforest_debriefing_n15				WARRIOR	contempt		ハッ、拙者がおとなしく口を割るとでも？
vocs_over_over_	_n16	vocs_over_over_bambooforest_debriefing_n16				BROGUN	cold	turns around	まぁ、そうはいかないだろう。
vocs_over_over_	_n17	vocs_over_over_bambooforest_debriefing_n17				BROGUN			大代武源、お主のことはよく知っている。
vocs_over_over_	_n18	vocs_over_over_bambooforest_debriefing_n18				BROGUN			お主ほど忠誠心の厚い男はそういない。
vocs_over_over_	_n19	vocs_over_over_bambooforest_debriefing_n19				BROGUN			将軍を裏切るくらいなら自ら死を選ぶだろう。
vocs_over_over_	_n20	vocs_over_over_bambooforest_debriefing_n20				BROGUN	cold	stands before Yuki	だが…、
vocs_over_over_	_n21	vocs_over_over_bambooforest_debriefing_n21				BROGUN	cold		その兄上への忠誠心とはどれほどのものか…。
vocs_over_over_	_n22	vocs_over_over_bambooforest_debriefing_n22				BROGUN	cold	stands before Takuma	この者たちを犠牲にしても貫けるものか…。
vocs_over_over_	_n23	vocs_over_over_bambooforest_debriefing_n23				BROGUN	cold	stands before Hayato	…お主の誇りである友たちが
vocs_over_over_	_n24	vocs_over_over_bambooforest_debriefing_n24				BROGUN	cold		目の前で死ぬのを見たいと申すか…？
vocs_over_over_	_n25	vocs_over_over_bambooforest_debriefing_n25				WARRIOR	hot hatred	Noboru threatens Aiko with sword	おのれ、昇！この畜生めが！
vocs_over_over_	_n26	vocs_over_over_bambooforest_debriefing_n26				BROGUN	cold determination		言うことを聞くか？…さもなくばこの女が最初の犠牲者だ。
vocs_over_over_	_n27	vocs_over_over_bambooforest_debriefing_n27				GEISHA	strong		…好きにしろ！死など恐れるものか！
vocs_over_over_	_n28	vocs_over_over_bambooforest_debriefing_n28				TRAPPER	panicking	tries to get to Aiko	愛琥さんっ！
vocs_over_over_	_n29	vocs_over_over_bambooforest_debriefing_n29				TRAPPER		is hit by Masaru and thrown on the ground	…あぁ！
vocs_over_over_	_n30	vocs_over_over_bambooforest_debriefing_n30				BROGUNSON	delighted	takes delight in suffering	大人しくしているがよい。
vocs_over_over_	_n31	vocs_over_over_bambooforest_debriefing_n31				BROGUN	cold		さぁ、武源。決断せよ。好きな方を選ぶがよい。
vocs_over_over_	_n32	vocs_over_over_bambooforest_debriefing_n32				WARRIOR	emotional	Mugen stands up guards take aim at the rest of the team	我が名は大代武源…、侍だ！
vocs_over_over_	_n33	vocs_over_over_bambooforest_debriefing_n33				WARRIOR	emotional	to himself	…侍たるもの、我が主君に全てを捧げる…。
vocs_over_over_	_n34	vocs_over_over_bambooforest_debriefing_n34				WARRIOR	emotional	to himself	…主君を守り
vocs_over_over_	_n35	vocs_over_over_bambooforest_debriefing_n35				WARRIOR	emotional	to himself	…主君のために命を捧ぐ。
vocs_over_over_	_n36	vocs_over_over_bambooforest_debriefing_n36				WARRIOR	in tears	to himself	…だが、できぬ！
vocs_over_over_	_n37	vocs_over_over_bambooforest_debriefing_n37				WARRIOR	in tears	to himself	友を死なせる事などできぬ！
vocs_over_over_	_n38	vocs_over_over_bambooforest_debriefing_n38				GEISHA	losing hope		駄目よ…。
vocs_over_over_	_n39	vocs_over_over_bambooforest_debriefing_n39				WARRIOR	broken	to himself	上様、どうかお許しを！
vocs_over_over_	_n40	vocs_over_over_bambooforest_debriefing_n40				BROGUN	pleased		利口な判断だ、武源。
vocs_over_over_	_n41	vocs_over_over_bambooforest_debriefing_n41				WARRIOR	hot hatred		誓え。貴様の命、貴様の息子の命に誓え。我が友に手は出さぬと。
vocs_over_over_	_n42	vocs_over_over_bambooforest_debriefing_n42				BROGUN	cold		…よかろう。手出しはせぬ。
vocs_over_over_	_n43	vocs_over_over_bambooforest_debriefing_n43				WARRIOR	broken		…ならば…貴様の勝ちだ…言う通りにしよう…。
vocs_over_over_	_n44	vocs_over_over_bambooforest_debriefing_n44				BROGUN	cold		それでよい。お主は先に行ってもらう。友は私と共に来てもらう。
vocs_over_over_	_n45	vocs_over_over_bambooforest_debriefing_n45				BROGUN	cold	leaves	勝、奴らを拘束せよ。傷つけぬようにな、よいか？
vocs_over_over_	_n46	vocs_over_over_bambooforest_debriefing_n46				BROGUNSON	disappointed	Mugen lead away behind Noboru	わかりました、父上…。
vocs_over_over_	_n47	vocs_over_over_bambooforest_debriefing_n47				BROGUNSON	disappointed	orders guards around	おい、何をしている。仕事にとりかかれ。
vocs_over_over_	_n48	vocs_over_over_bambooforest_debriefing_n48				GEISHA	anger	being tied up	何かおかしいと思っていたのよ。もっと早くに気づいていれば。
vocs_over_over_	_n49	vocs_over_over_bambooforest_debriefing_n49				ALCHEMIST	tired	being tied up	よしなさい。気を強く持つのじゃ…ここからが大変じゃ。
vocs_over_over_	_n50	vocs_over_over_bambooforest_debriefing_n50				NINJA	anger	being tied up	武源…。
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
