4,2,11		"CUTSCENE
CONTEXT DIALOG
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Farming village has been attacked by rebels, survivors are questioned and killed
2) Mugen has been captured, Takuma is hiding
3) Yuki arrives in time to help Takuma
4) Together they rescue Mugen and the surviving farmers
5) Yuki is the driving force behind this mission. She motivates Takuma
6) Takuma is impressed by her simple sense of justice and eagerness to help
7) Takuma considers passing on his knowledge to her and wants to connect"																								
TANUKI									Takuma sets down Kuma. Yuki mentions how she met the tanuki.		Takuma sets down Kuma. Yuki mentions how she met the tanuki.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_tanuki_n00	omuk	hambo		TRAPPER	worried		Why did Kuma have blood on his fur?	8	小熊身上的血迹是怎么回事？	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_tanuki_n01	omuk	hambo		ALCHEMIST	dark		A farmer died right next to him. I'm surprised you could get him to return here.	16	因为有个村民就在他面前被杀害。真没想到你有办法让他带你过来。	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_tanuki_n02	omuk	hambo		TRAPPER	nonchalant		It wasn't hard. I just made that sound you do.	10	很简单啊。我就试了试模仿你的发音方法。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_tanuki_n03	omuk	hambo		ALCHEMIST	slightly intrigued		Hmm ... so you picked up on that …	9	嗯……你确实悟性过人……	1																					
vocs_over_over_	_n04	vocs_over_over_ricefields_tanuki_n04	omuk	hambo		TRAPPER	worried		I bet Kuma wants to rescue master samurai too!	9	一定是因为小熊他也想救武士大哥！	1																					
																																	
FIELDS									The team enters a field of rice. The high growing crops provide cover. However, rebels are searching the fields.		The team enters a field of rice. The high growing crops provide cover. However, rebels are searching the fields.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_fields_n00	omuk	hambo		ALCHEMIST	intrigued	Takuma first	Ah, the rice will provide cover.	6	喔，稻田正好可以做掩护。	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_fields_n01	omuk	hambo		TRAPPER	cautious		Rebels! … why are they searching the fields?	8	有叛军！……他们为什么要搜查稻田啊？	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_fields_n02	omuk	hambo		ALCHEMIST	intrigued		Hmm, I'd say they are hunting for survivors.	8	喔，应该是在搜寻幸存者。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_fields_n03	omuk	hambo		TRAPPER	disturbed		Are the others … are they all dead? Mugen-sama …	10	其他人……都死了吗？武士大哥他……	1																					
vocs_over_over_	_n04	vocs_over_over_ricefields_fields_n04	omuk	hambo		ALCHEMIST	intrigued		Stay calm, Yuki-chan! We must become the hunters and rescue Mugen.	11	冷静，友希姑娘！此刻更要沉着冷静才有可能救出无限。	1																					
																																	
SEARCH									A rebel officer is ordering others to search the ricefields for hiding farmers.		A rebel officer is ordering others to search the ricefields for hiding farmers.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_ricefields_search_n00	omuk	hambo		OFFICER	commanding		I saw a shadow. Find him!	6	我看到人影了，快搜！	1																					
vo_hint_hint_	_n01	vo_hint_hint_ricefields_search_n01	omuk	hambo		OFFICER	commanding		No one must escape! Lord Okkoto's orders.	7	乙事大人有令，不留活口！	1																					
vo_hint_hint_	_n02	vo_hint_hint_ricefields_search_n02	omuk	hambo		OFFICER	commanding		Someone's in there, I know it.	6	肯定还藏着人，我有感觉！	1																					
																																	
RIFLE									Takuma uses his rifle to snipe an enemy.		Takuma uses his rifle to snipe an enemy.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_rifle_n00	omuk	hambo		TRAPPER	amazed		I do like your leg! It's quick and deadly, and it can hide, like my little trap.	17	你的木腿真好用！又快又狠，还能藏起来，和我的小陷阱一样。	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_rifle_n01	omuk	hambo		ALCHEMIST	intrigued		Hmm, what an unusual compliment. Do you know how I made it so quiet?	14	唔，你的赞美方式真是特别。你知道我是如何让枪消音的吗？	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_rifle_n02	omuk	hambo		TRAPPER	focussed		No, don't tell! It's a good puzzle, but no time for puzzles now!	13	完全猜不到。这个问题很有意思，但现在没时间玩解谜。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_rifle_n03	omuk	hambo		ALCHEMIST	mild teasing		How right you are. Onward to Mugen.	7	你说得对。赶紧去救无限。	1																					
																																	
SCOUTS									A couple of rebel scouts leave the area for patrol.		A couple of rebel scouts leave the area for patrol.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_scouts_n00	omuk			OFFICER	relaxed	returning from patrol	Let's search the fields further down the road to see if anyone's there.	13	再去那边的稻田里找找吧，看看有没有漏网之鱼。	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_scouts_n01	omuk			TRAPPER	focussed		Yes, stay away …	4	好，走得越远越好……	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_scouts_n02	omuk			ALCHEMIST	intrigued		They will return eventually. We should not forget about them.	10	他们还会绕回来的，切记。	1																					
																																	
TRAGEDY1									A farming woman tries to escape from a house. A rebel shoots her.		A farming woman tries to escape from a house. A rebel shoots her.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_ricefields_tragedy1_n00	omuk	hambo		CIVILIAN F	in terror	bursts out of the door	No! Please no! Help me! Help!	6	不！求你了，不要！救命啊！	1																					
vo_hint_hint_	_n00a	vo_hint_hint_ricefields_tragedy1_n00a	omuk	hambo		CIVILIAN M	in terror	bursts out of the door	No! Please no! Help me! Help!	6	不！求...求你了，不要！救命啊！	1																					
								rebel comes out the door and shoots escapee		0		0																					
vo_hint_hint_	_n01	vo_hint_hint_ricefields_tragedy1_n01	omuk	hambo		ENEMY		returns inside	Teh … serves you right.	5	嘁……你自找的。	1																					
																																	
VICTIMS1									Right after the rebels shot the helpless farming woman		Right after the rebels shot the helpless farming woman																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n01	vocs_over_over_ricefields_victims1_n01	omuk	hambo		TRAPPER	uneasy		They didn't have to shoot him.	6	为什么要乱杀无辜。	1																					
vocs_over_over_	_n01a	vocs_over_over_ricefields_victims1_n01a	omuk	hambo		TRAPPER	uneasy		They didn't have to shoot her.	6	为什么要乱杀无辜。	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_victims1_n02	omuk	hambo		ALCHEMIST	calming		These men are beasts. They'll do whatever they want, with or without reason.	13	这帮人都是畜生。他们肆无忌惮，杀人不需要理由。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_victims1_n03	omuk	hambo		TRAPPER	uneasy	if Mugen hasn't been freed	I hope Mugen-sama is OK.	5	希望武士大哥平安无恙。	1																					
vocs_over_over_	_n04	vocs_over_over_ricefields_victims1_n04	omuk	hambo		ALCHEMIST	calming		Yuki-chan. Do not worry, we will save him.	8	友希姑娘，别担心，一定能救到他的。	1																					
																																	
VICTIMS2									The team discovers a pile of executed farmers.		The team discovers a pile of executed farmers.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_victims2_n00	omuk	hambo		ALCHEMIST	sad	Takuma first	Such shame.	2	死得太冤了。	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_victims2_n01	omuk	hambo		TRAPPER	shocked		Why did they have to die? They didn't hurt anyone.	10	为什么要杀这些村民？他们又没有伤害别人。	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_victims2_n02	omuk	hambo		ALCHEMIST	calm		To make a point. These farmers died because they remained loyal to the Shogun.	14	杀一儆百。他们想让世人记住效忠将军的下场。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_victims2_n03	omuk	hambo		TRAPPER	urgent	if Mugen hasn't been freed	Please don't die, master samurai.	5	千万不要死啊，武士大哥。	1																					
vocs_over_over_	_n04	vocs_over_over_ricefields_victims2_n04	omuk	hambo		ALCHEMIST	calm	if Mugen hasn't been freed	He is strong Yuki-chan. We will reach him in time.	10	他很坚强的，友希姑娘。我们一定能及时赶到。	1																					
vocs_over_over_	_n05	vocs_over_over_ricefields_victims2_n05	omuk	hambo		WARRIOR	serious	if Mugen has been freed	All the more reason to help those who survived.	9	所以一定要去救幸存的人。	1																					
																																	
TRAGEDY2									Two rebels keep knocking on a door an demanding entrance.		Two rebels keep knocking on a door an demanding entrance.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_ricefields_tragedy2_n00	omuk	hambo		SAMURAI	menacing		Open up!	2	开门！	1																					
vo_hint_hint_	_n01	vo_hint_hint_ricefields_tragedy2_n01	omuk	hambo		SAMURAI	menacing		Open the door!	3	快开门！	1																					
vo_hint_hint_	_n02	vo_hint_hint_ricefields_tragedy2_n02	omuk	hambo		SAMURAI	menacing		We'll get in eventually!	4	不要做无谓抵抗！	1																					
vo_hint_hint_	_n03	vo_hint_hint_ricefields_tragedy2_n03	omuk	hambo		SAMURAI	menacing		It won't hold forever!	4	门是挡不住我们的！	1																					
vo_hint_hint_	_n04	vo_hint_hint_ricefields_tragedy2_n04	omuk	hambo		SAMURAI	menacing		Open it! Now!	3	开门，赶紧的！	1																					
																																	
TRAGEDY3									Two rebels break down a door and storm inside a house. You hears screaming from the inside.		Two rebels break down a door and storm inside a house. You hears screaming from the inside.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_ricefields_tragedy3_n00	omuk	hambo		ENEMY	triumphantly	breaks down the door	Ha!	1	哈哈！	1																					
vo_hint_hint_	_n01	vo_hint_hint_ricefields_tragedy3_n01	omuk	hambo		CIVILIAN F	in terror		Please! Leave us alone …	5	求求你们！放过我们吧……	1																					
vo_hint_hint_	_n02	vo_hint_hint_ricefields_tragedy3_n02	omuk	hambo		CIVILIAN F	absolute terror	screaming and sobbing		0		0																					
																																	
VICTIMS3									The team witnesses rebels who force their way into a house. You hear screaming from inside.		The team witnesses rebels who force their way into a house. You hear screaming from inside.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_victims3_n00	omuk	hambo		ALCHEMIST	angry		Vile beasts.	2	卑鄙畜生。	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_victims3_n01	omuk	hambo		TRAPPER	dark memories		Just like Okaa-san ...	4	和“妈妈”一样……	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_victims3_n02	omuk	hambo		ALCHEMIST	cautious		Yuki-chan?	1	友希姑娘?	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_victims3_n03	omuk	hambo		TRAPPER	evasive		Nothing. Mugen-sama needs us.	4	没什么，快去救无限大哥。	1																					
																																	
LOOTERS									The team sees looters putting bags and crates on wagons.		The team sees looters putting bags and crates on wagons.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_looters_n00	omuk	hambo		ALCHEMIST	disgusted	Takuma first	Hmm, looters.	2	嗯，都是搜刮来的赃物。	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_looters_n01	omuk	hambo		TRAPPER	focussed		Maybe Mugen-sama's weapons are here somewhere.	6	无限大哥的装备也许就放在这里。	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_looters_n02	omuk	hambo		ALCHEMIST	appreciative		Heh, good thinking.	3	嗯，应该没错。	1																					
																																	
WARRIOR1									Yuki and Takuma approach the area where Mugen is held captive and questioned by a samurai.		Yuki and Takuma approach the area where Mugen is held captive and questioned by a samurai.	16																					
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_warrior1_n00	omuk	hambo		TRAPPER	eager		There's Mugen-sama!	2	无限大哥在那儿!	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_warrior1_n01	omuk	hambo		ALCHEMIST	focussed		He is well guarded. We must take on his interrogator together, yes?	12	敌人看守得很严。我们要合力才能干掉那个审讯他的武士，知道吗？	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_warrior1_n02	omuk	hambo		TRAPPER	eager		Hai! You shoot, I finish him!	6	明白！你先开枪，我再杀他！	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_warrior1_n03	omuk	hambo		ALCHEMIST	intrigued		Yuki-chan, why are you so eager to risk your life for Mugen?	12	友希姑娘，为何你愿为了无限如此奋不顾身？	1																					
vocs_over_over_	_n04	vocs_over_over_ricefields_warrior1_n04	omuk	hambo		TRAPPER	persistent	Mugen is the only kind/accepting samurai she met	I told you, he's a friend. And a GOOD samurai.	10	我说过了，他是我的同伴，而且人非常好。	1																					
																																	
QUESTIONS									A samurai interrogates Mugen		A samurai interrogates Mugen																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_ricefields_questions_n00	omuk	hambo		SAMURAI	harsh		How did you know we were coming?	7	你是怎么知道我们的行踪的？	1																					
vo_hint_hint_	_n01	vo_hint_hint_ricefields_questions_n01	omuk	hambo		SAMURAI	harsh		Were you alone? Or are other Shogunate dogs hiding in the fields?	12	就你一个人？是不是还有幕府的狗腿子藏在稻田地里？	1																					
vo_hint_hint_	_n02	vo_hint_hint_ricefields_questions_n02	omuk	hambo		SAMURAI	cold		Your resistance will earn you nothing!	6	反抗对你没有好处！	1																					
vo_hint_hint_	_n03	vo_hint_hint_ricefields_questions_n03	omuk	hambo		SAMURAI	harsh		What does the Shogun's brother know of our plans?	9	将军的兄弟对我们的计划知道多少？	1																					
vo_hint_hint_	_n04	vo_hint_hint_ricefields_questions_n04	omuk	hambo		SAMURAI	impatient		Speak, and I will grant you an honourable death.	9	要是从实招来，我可以让你死得体面点。	1																					
vo_hint_hint_	_n05	vo_hint_hint_ricefields_questions_n05	omuk	hambo		SAMURAI	cruel		Did you really think you could stand against Lord Okkoto? 	11	你还真以为能挡得住乙事大人？ 	2																					
vo_hint_hint_	_n06	vo_hint_hint_ricefields_questions_n06	omuk	hambo		SAMURAI	cruel		You will talk soon enough when we boil you alive. 	11	非得把你扔到开水里煮，才肯开口吗。 	2																					
																																	
WARRIOR2									Yuki and Takuma free Mugen from his shackles.		Yuki and Takuma free Mugen from his shackles.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_warrior2_n00	omuk	hambo		WARRIOR	heavy breathing	Yuki first	Yuki-chan. What are you doing here?!	6	...友希小妹，你怎么来了？	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_warrior2_n01	omuk	hambo		WARRIOR	heavy breathing	Takuma first	akuma-san. You returned for me?	5	...琢磨大师。你回来救我了？	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_warrior2_n02	omuk	hambo		ALCHEMIST	praise		Yuki-chan has saved us both, Mugen. We are in her debt.	11	多亏友希姑娘救了我们，无限。都是她的功劳。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_warrior2_n03	omuk	hambo		WARRIOR	deep gratitude	rubs his chaffed wrists	My dear Yuki-chan! I owe you my life! By my honour, I will not forget this!	16	喔哦，友希小妹。你对我的救命之恩，这辈子我都不会忘记的。	1																					
vocs_over_over_	_n04	vocs_over_over_ricefields_warrior2_n04	omuk	hambo		TRAPPER	very happy		Thank you, master samurai!	4	嘿嘿…...嗯!	1																					
vocs_over_over_	_n05	vocs_over_over_ricefields_warrior2_n05	omuk	hambo		WARRIOR	back in action		Now, we must find the surviving farmers and give them the same curtesy as you gave me.	17	现在，一起去找幸存的村民，把他们也都救出来吧。	1																					
vocs_over_over_	_n06	vocs_over_over_ricefields_warrior2_n06	omuk	hambo		TRAPPER	cautious	doesn't like being praised so much	Uhm, Mugen-sama … they took your armour …	8	那个…武士大哥，你的装备怎么办……	1																					
vocs_over_over_	_n07	vocs_over_over_ricefields_warrior2_n07	omuk	hambo		WARRIOR	urgent		Ah, yes, we must find my equipment first. Let us make haste!	12	啊，对，得先找到我的装备才行。那就赶紧去找吧！	1																					
																																	
GEAR1									Yuki or Takuma find Mugen's gear.		Yuki or Takuma find Mugen's gear.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_gear1_n00	omuk	hambo		ALCHEMIST	pondering	Takuma first	Ah, samurai gear, but no samurai to carry it.	9	啊，是武士装备，但武士本人却不在。	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_gear1_n01	omuk	hambo		TRAPPER	exhausted	Yuki first	Ergh … so heavy. It wants to be with Mugen-sama. 	11	呃……太重了。看来只有无限大哥本人才请得动。 	2																					
vocs_over_over_	_n02	vocs_over_over_ricefields_gear1_n02	omuk	hambo		WARRIOR	in haste	if Mugen has been freed	I will be there soon.	5	我这就过来。	1																					
																																	
GEAR2									Mugen picks up his gear and now wants to free the farmers.		Mugen picks up his gear and now wants to free the farmers.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_gear2_n00	omuk	hambo		WARRIOR	pleased		Ah, alive again! Now, we must ascend to the main farm! The survivors must be there.	16	啊，可算找回来了！接下来赶紧去上面的农场吧！幸存者一定在那。	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_gear2_n01	omuk	hambo		ALCHEMIST	inquisitive		Are there any left?	4	还会有幸存者吗？	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_gear2_n02	omuk	hambo		WARRIOR	urgent		If we make haste.	4	赶紧过去的话，还有一线希望。	1																					
																																	
TROUBLE									On the way to the farmers.		On the way to the farmers.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_trouble_n00	omuk	hambo		WARRIOR	focussed		Are Aiko-san and Hayato-san nearby?	5	爱子小姐和隼人兄也在这附近吗？	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_trouble_n01	omuk	hambo		TRAPPER	more and more anxious	afraid Mugen will kick her out	No. They're following that general. I, uh … had a message for Lord Noboru. But then I met Kuma, and … am I in trouble?	25	不，他们在跟踪那个大将…...啊……我手头还有个情报要交给昇大人。但半路遇到了小熊，然后就……这下怎么办啊？	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_trouble_n02	omuk	hambo		WARRIOR	"reassuring
showing gratitude"		Do not worry, Yuki-chan. You saved our lives, so the responsibility is mine. We will deliver your message together.	19	别担心，友希小妹。你也是为了救我们才过来的，所以在下也要担责。等会儿我们一起去送情报吧。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_trouble_n03	omuk	hambo		TRAPPER	"very relieved
grateful"		Hai, Mugen-sama!	2	好的，武士大哥！	1																					
																																	
PRISONERS									The team discoveres the captured farmers.		The team discoveres the captured farmers.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_prisoners_n00	omuk	hambo		ALCHEMIST	pondering	Takuma first	Men and woman, penned together like cattle.	7	有男有女，像牲口一样被关在那里。	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_prisoners_n01	omuk	hambo		TRAPPER	focussed	Yuki first	I see them ... at the stables and in the backyard.	11	我看见他们了……在牛棚和后院里。	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_prisoners_n02	omuk	hambo		WARRIOR	tension		We must free them. I will speak to them after we have slain the rebels.	15	想办法解救这些村民。得先把叛军守卫都干掉，我再去跟他们说明情况。	1																					
																																	
IMPRISONED									A group of farmers is penned in at the stables. (loop)		A group of farmers is penned in at the stables. (loop)																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_ricefields_imprisoned_n00	omuk	hambo		CIVILIAN M	extremely nervous	pacing up and down	This is bad … maybe we …	7	好残忍……我们完了……	1																					
vo_hint_hint_	_n01	vo_hint_hint_ricefields_imprisoned_n01	omuk	hambo		CIVILIAN F	depressed		Dark times dark times.	4	好可怕，好可怕…	1																					
vo_hint_hint_	_n02	vo_hint_hint_ricefields_imprisoned_n02	omuk	hambo		CIVILIAN M	not thinking clearly		They are going to kill us!	6	要来杀我们了！	1																					
vo_hint_hint_	_n03	vo_hint_hint_ricefields_imprisoned_n03	omuk	hambo		CIVILIAN F	worried		Husband ... be safe …	5	夫君……你一定要平安无事啊……	1																					
vo_hint_hint_	_n04	vo_hint_hint_ricefields_imprisoned_n04	omuk	hambo		CIVILIAN M	not thinking clearly		We should have surrendered.	4	应该早点投降就好了。	1																					
vo_hint_hint_	_n05	vo_hint_hint_ricefields_imprisoned_n05	omuk	hambo		CIVILIAN F	praying		We must not  give in to fear. Someone will come.	11	不能向恐惧低头。会有人来救我们的。	1																					
																																	
FARMERS									The team frees the farmers.		The team frees the farmers.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_farmers_n00	omuk	hambo		CIVILIAN M	deep gratitude		Thank you. We knew the Shogun would send help!	9	太感谢了！我们就知道将军会派人来救我们的！	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_farmers_n01	omuk	hambo		CIVILIAN F	pleading		My husband! They took him away ...	7	我丈夫！他们把他带走了……	1																					
