5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Aiko and Hayato are here to kidnap Masaru
2) They'll spy on his men and find out he is in the bathhouse
3) Then they'll kidnap and question him with Takuma to find out Noboru's plans
4) Hayato is driven by revenge after Mugen's death
5) Aiko keeps him in check and slowly shows that she is the new leader."
vocs_over_over_	_n09	vocs_over_over_bathhouse_briefing_n09				NINJA	quiet		なんでもいいさ。さあ、行こう。
vocs_over_over_	_n10	vocs_over_over_bathhouse_briefing_n10				GEISHA	tactful		えぇ。
									
REDLIGHT									The team enters the neighboring redlight district.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_redlight_n00				NINJA	quiet	Hayato first	赤い光…。
vocs_over_over_	_n01	vocs_over_over_bathhouse_redlight_n01				GEISHA	introspective	Hanamachi = Geisha district	花町。昔を思い出すわ。
vocs_over_over_	_n02	vocs_over_over_bathhouse_redlight_n02				NINJA	quiet		ふー…。
									
REDLIGHT									A citizen has cornered a female resident of the hanamachi (red light district).
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_hanamachi2_n00				CIVILIAN M	lusty		ここじゃ駄目か？
vo_hint_hint_	_n01	vo_hint_hint_bathhouse_hanamachi2_n01				CIVILIAN F	cold		駄目です、きまりですもの。
vo_hint_hint_	_n02	vo_hint_hint_bathhouse_hanamachi2_n02				CIVILIAN M	lusty		金はあるんだがな。
vo_hint_hint_	_n03	vo_hint_hint_bathhouse_hanamachi2_n03				CIVILIAN F	cold		ならこの家の主婦に言ってくださいまし。
vo_hint_hint_	_n04	vo_hint_hint_bathhouse_hanamachi2_n04				CIVILIAN M	lusty		俺じゃ駄目か？
vo_hint_hint_	_n05	vo_hint_hint_bathhouse_hanamachi2_n05				CIVILIAN F	cold		嫌よ。
									
RESIDENTIAL									The team passes through a residential area.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_residential_n00				NINJA	quiet	Hayato first	見張り…。
vocs_over_over_	_n01	vocs_over_over_bathhouse_residential_n01				GEISHA	focussed		中流の家庭。けど見張りが多いわね。
vocs_over_over_	_n02	vocs_over_over_bathhouse_residential_n02				NINJA	quiet		ふー…。
									
RESIDENTIAL									Citizens talk about recent events.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_residential_n00				CIVILIAN M			暗くなったな。
vo_hint_hint_	_n01	vo_hint_hint_bathhouse_residential_n01				CIVILIAN M			本当かい、将軍の息子が殺されたってのは？
vo_hint_hint_	_n02	vo_hint_hint_bathhouse_residential_n02				CIVILIAN M			外にいるのは危険だ。
vo_hint_hint_	_n03	vo_hint_hint_bathhouse_residential_n03				CIVILIAN M			将軍は京都へ向かっているって聞いたぞ。
vo_hint_hint_	_n04	vo_hint_hint_bathhouse_residential_n04				CIVILIAN M			殺した犯人達を探しているんだ。
vo_hint_hint_	_n05	vo_hint_hint_bathhouse_residential_n05				CIVILIAN M			昇大名の息子がここにいるって知らないのか。
vo_hint_hint_	_n06	vo_hint_hint_bathhouse_residential_n06				CIVILIAN M			注意しろ、暗い小道は近づくなよ。
vo_hint_hint_	_n07	vo_hint_hint_bathhouse_residential_n07				CIVILIAN F			暗い。
vo_hint_hint_	_n08	vo_hint_hint_bathhouse_residential_n08				CIVILIAN F			将軍の息子が殺された。
vo_hint_hint_	_n09	vo_hint_hint_bathhouse_residential_n09				CIVILIAN F			外にいるのは危険だ。
vo_hint_hint_	_n10	vo_hint_hint_bathhouse_residential_n10				CIVILIAN F			将軍は京都に向かっていると聞く。
vo_hint_hint_	_n11	vo_hint_hint_bathhouse_residential_n11				CIVILIAN F			殺した犯人を探している。
vo_hint_hint_	_n12	vo_hint_hint_bathhouse_residential_n12				CIVILIAN F			昇大名の息子はここにいる。
vo_hint_hint_	_n13	vo_hint_hint_bathhouse_residential_n13				CIVILIAN F			自分なら暗い小道は避けるよ。
									
WANTED									The team balances on ropes to cross the well guarded market street.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_wanted_n00				NINJA	quiet	Hayato first	賑やかだな…。
vocs_over_over_	_n01	vocs_over_over_bathhouse_wanted_n01				GEISHA	focussed		私たちが逃げたから、昇は見張りを倍にしたんじゃないかしら。
vocs_over_over_	_n02	vocs_over_over_bathhouse_wanted_n02				NINJA	quiet		うーむ…。
									
DISGUISE									Aiko picks up the disguise.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_disguise_n00				GEISHA	elegant		これでいいわ、続けましょう。
vocs_over_over_	_n01	vocs_over_over_bathhouse_disguise_n01				NINJA	quiet		うーむ…。
vocs_over_over_	_n02	vocs_over_over_bathhouse_disguise_n02				GEISHA	respectful		…最近、少し静かですね、隼人さん。
vocs_over_over_	_n03	vocs_over_over_bathhouse_disguise_n03				NINJA	struggles to stay calm		…落ち着こうとしているんだ。あんたがどうしてそんなに落ち着いていられるのか俺にはわからない。
vocs_over_over_	_n04	vocs_over_over_bathhouse_disguise_n04				GEISHA	respectful		幼い頃から感情を抑えるようにしてきたから。気になったら、ごめんなさい。
									
INFO									The team eavesdroppes on Masaru's men.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_info_n00				NINJA	quiet	Hayato first	なるほど。
vocs_over_over_	_n01	vocs_over_over_bathhouse_info_n01				GEISHA	slight reproach decisive	has heard that Masaru enjoys himself at the bathhouse	彼はそこにいるのね…隼人さん、安全な場所を見つけて、話をまとめましょう。
vocs_over_over_	_n02	vocs_over_over_bathhouse_info_n02				NINJA	quiet		うーむ…。
									
UNVEIL									The team knows that Masaru is currently at the bathhouse. It is unveiled as a new location in the level.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_unveil_n00				GEISHA	leader	Cam to bathhouse	勝は入浴を楽しんでるみたいね。
vocs_over_over_	_n01	vocs_over_over_bathhouse_unveil_n01				NINJA	quiet hate		くっ…野郎め。
vocs_over_over_	_n02	vocs_over_over_bathhouse_unveil_n02				GEISHA	leader	Cam follow Noboruson	護衛があるわけね。動きを注視しましょう。側近を彼から引き離せる機会を探すべきね。
vocs_over_over_	_n03	vocs_over_over_bathhouse_unveil_n03				GEISHA	leader	Cam to pier	彼を捕獲したら、迅速に出ましょう。水路を使いましょう。
vocs_over_over_	_n04	vocs_over_over_bathhouse_unveil_n04				NINJA	quiet hate	thinks about killing Masaru	さぁ行こう。
									
RELAX									Citizens are relaxing in the bathhouse area.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_relax_n00				CIVILIAN M	relaxed	in hotspring	ああ…。
vo_hint_hint_	_n01	vo_hint_hint_bathhouse_relax_n01				CIVILIAN M	relaxed	in hotspring	うーむ…。
vo_hint_hint_	_n02	vo_hint_hint_bathhouse_relax_n02				CIVILIAN M	relaxed	in hotspring	はぁ…。
vo_hint_hint_	_n03	vo_hint_hint_bathhouse_relax_n03				CIVILIAN M	relaxed	in hotspring	うー…酒ですか？
vo_hint_hint_	_n04	vo_hint_hint_bathhouse_relax_n04				CIVILIAN M	relaxed	during massage	あー…あー。
vo_hint_hint_	_n05	vo_hint_hint_bathhouse_relax_n05				CIVILIAN M	relaxed	during massage	ふぅ、いい…。
vo_hint_hint_	_n06	vo_hint_hint_bathhouse_relax_n06				CIVILIAN M	relaxed	during massage	いいのう！
vo_hint_hint_	_n07	vo_hint_hint_bathhouse_relax_n07				CIVILIAN M	relaxed	during massage	おお…。
									
RAGE									The team infiltrates the bathhouse.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_rage_n00				GEISHA	focussed		よし。計画通り行きましょう。
vocs_over_over_	_n01	vocs_over_over_bathhouse_rage_n01				NINJA	conflicted	knows his rage is getting the better of him	どうしてそんな風に振る舞える？いつも通り話して、頭を下げて、笑って…あんなことがあった後だっていうのに。
vocs_over_over_	_n01a	vocs_over_over_bathhouse_rage_n01a				NINJA	conflicted	ALTERNATIVE	どうしてそんなことができる？何もおきないかのように振る舞える？
vocs_over_over_	_n02	vocs_over_over_bathhouse_rage_n02				GEISHA	open	realizes she needs to calm him down	女は内面の壁に囲まれていなければ死ぬのよ。女は学ぶのよ。もし感情が高ぶっても、それは隠さないといけないの。
vocs_over_over_	_n03	vocs_over_over_bathhouse_rage_n03				NINJA	conflicted		そんな…俺は勝とその父の野郎どもを殺したい！
vocs_over_over_	_n04	vocs_over_over_bathhouse_rage_n04				GEISHA	with authority		そんなおごりは今はできないはずよ、隼人さん。貴方の中に私の言葉を留めておいてください。復讐の念は時が来るまで持っていてください。
vocs_over_over_	_n05	vocs_over_over_bathhouse_rage_n05				NINJA	conflicted	long inhale and exhale	…くそ…わかった…行くよ。
									
BATHTUBS1									The team discovers the bathtubs (large, wooden barrels for open air baths).
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_bathtubs1_n00				NINJA	a bit more calm	Hayato first	ふっ…浴槽だ。
vocs_over_over_	_n01	vocs_over_over_bathhouse_bathtubs1_n01				GEISHA	focussed		これが彼の入る浴槽だわ。
vocs_over_over_	_n02	vocs_over_over_bathhouse_bathtubs1_n02				NINJA	a bit more calm		間違いないな。湯を沸かすのはどこだ？
									
HINT BATH									The team give a hint how to isolate Masaru from his guards in the bathing area.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_hintbath_n00				NINJA	a bit more calm		使いが湯を持ってくる。
vocs_over_over_	_n01	vocs_over_over_bathhouse_hintbath_n01				GEISHA	agrees		火力を強めるのはどうかしら。熱湯を持ってこさせるのよ。
vocs_over_over_	_n02	vocs_over_over_bathhouse_hintbath_n02				NINJA	a bit more calm		へっ…いい考えだ。
									
BATHTUBS2									Masaru wants to take a bath.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_bathtubs2_n00				BROGUNSON	brat		風呂だ、風呂に入りたい！
									
HOT WATER1									Masaru calls for hot water.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_hotwater1_n00				BROGUNSON	relaxed		ああ、もっとだ。もっと熱い湯を持って来ぬか？
									
HOT WATER2									Masaru gets too hot water poured onto him. He curses and runs off to cool himself in the river.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_hotwater2_n00				BROGUNSON	shock	jumps out of the tub and runs down to the shore	あ゛あ゛！熱い熱い熱すぎる！あ゛あ゛！あああああ！
									
COOLING									Masaru cools down in the river.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_cooling_n00				BROGUNSON	relief	cools himself off with cold water	あー、あー… 。
									
MASSAGE1									The team discovers the massage area.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_massage1_n00				NINJA	a bit more calm	Hayato first	ふーむ、按摩の場所だ。
vocs_over_over_	_n01	vocs_over_over_bathhouse_massage1_n01				GEISHA	focussed		ここで彼は按摩を受けるわ。
vocs_over_over_	_n02	vocs_over_over_bathhouse_massage1_n02				NINJA	a bit more calm		うーむ、按摩は誰がやるんだろうなぁ？
									
HINT MASSAGE									The team give a hint how to isolate Masaru from his guards in the massage area.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_hintmassage_n00				NINJA	a bit more calm		ふーん…いつも同じ按摩師がやるようだな。
vocs_over_over_	_n01	vocs_over_over_bathhouse_hintmassage_n01				GEISHA	agrees		もし仮に、按摩師が来なかったらどうでしょうね。
vocs_over_over_	_n02	vocs_over_over_bathhouse_hintmassage_n02				NINJA	a bit more calm		うーむ…面白いな。
									
MASSAGE2									Masaru calls for a massage.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_massage2_n00				BROGUNSON	brat		うー、余は按摩を受けたいぞ。
									
MASSEUR1									Masaru calls for the masseur.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_masseur1_n00				BROGUNSON	relaxed		うむ、そうだ。按摩師！仕事を頼む。
									
MASSEUR2									The masseur hasn't appeared, so Masaru orders his bodyguards to look for him.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_masseur2_n00				BROGUNSON	annoyed		いつまで待たせる気だ。余が誰なのかわからんのか。探せ！
									
MASSEUR3									The masseur appears and gives Masaru a massage.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_masseur3_n00				BROGUNSON	relaxed		来たか…。
vo_hint_hint_	_n01	vo_hint_hint_bathhouse_masseur3_n01				BROGUNSON	relaxed	being massaged	おお、いいぞ。
vo_hint_hint_	_n02	vo_hint_hint_bathhouse_masseur3_n02				BROGUNSON	annoyed	being massaged	うう…そんなに強くするな…。
vo_hint_hint_	_n03	vo_hint_hint_bathhouse_masseur3_n03				BROGUNSON	relaxed	being massaged	ああ…そこだ。
vo_hint_hint_	_n04	vo_hint_hint_bathhouse_masseur3_n04				BROGUNSON	annoyed		十分だもういい。
									
KIDNAPPING									The team knocks out Masaru.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_kidnapping_n00				NINJA	satisfaction	Hayato took him	やったぞ！
vocs_over_over_	_n01	vocs_over_over_bathhouse_kidnapping_n01				GEISHA	focussed	Aiko took him	捕らえたわ。
vocs_over_over_	_n02	vocs_over_over_bathhouse_kidnapping_n02				GEISHA	leader		すぐに、彼を連れてボートへ。
vocs_over_over_	_n03	vocs_over_over_bathhouse_kidnapping_n03				NINJA	confirming order		とりかかるよ。
									
DEBRIEFING									The team regroups at the north pier with their victim. They leave by boat.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_bathhouse_debriefing_n00				NINJA	feels a bit better		これでいいだろ。
vocs_over_over_	_n01	vocs_over_over_bathhouse_debriefing_n01				GEISHA	respectful		気分はどう、隼人さん？人質の安全にはまだ注意した方がいいかしら？
vocs_over_over_	_n02	vocs_over_over_bathhouse_debriefing_n02				NINJA	a bit ashamed		へっ…その心配はいらない…生きていてくれないとな。
vocs_over_over_	_n03	vocs_over_over_bathhouse_debriefing_n03				GEISHA	respectful compassion		よかったわ、隼人さん。
vocs_over_over_	_n04	vocs_over_over_bathhouse_debriefing_n04				NINJA	accepting		ああ…あんたもな。
vocs_over_over_	_n05	vocs_over_over_bathhouse_debriefing_n05				GEISHA	respectful compassion		隠れ家へと行きましょう。雪ちゃんと巧磨さんの準備はできているはずだわ。
