5,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
MEETUP									The team has reunited		The team has reunited																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_finalcastle_meetup_n00				GEISHA	pleased		Well now, it seems we're all present.	7	看来大家都到齐了。	1																					
vocs_over_over_	_n01	vocs_over_over_finalcastle_meetup_n01				TRAPPER	happy		Wow, you look different Takuma-sensei!	5	哇，我都快认不出你了，琢磨师父！	1																					
vocs_over_over_	_n02	vocs_over_over_finalcastle_meetup_n02				ALCHEMIST	cheerful		Believe me, Yuki-chan, I feel more alive than I have in years.	12	如你所见，友希姑娘，我这辈子还从来没体会过如此活力充沛的感觉。	1																					
vocs_over_over_	_n03	vocs_over_over_finalcastle_meetup_n03				NINJA	eager		You and me both, old man. Noboru won't know what hit him.	12	我也一样，老爷子。我要神不知鬼不觉地，让昇死无葬身之地。	1																					
																																	
OXEN									The team pokes an ox. The animal kicks out and destroys a statue. A nearby samurai notices this and berates the handler of the ox for this.		The team pokes an ox. The animal kicks out and destroys a statue. A nearby samurai notices this and berates the handler of the ox for this.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_oxen_n00				SAMURAI	suprised		What?!	1	什么？！	1																					
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_oxen_n01				SAMURAI	enraged	investigates statue	How could this happen?!	4	怎么会发生这种事?	1																					
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_oxen_n02				SAMURAI	very angry	to handler	Imbecile!	1	蠢货！	1																					
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_oxen_n03				SAMURAI	very angry	to handler	Look at what you've done!	5	看你干的好事！	1																					
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_oxen_n04				SAMURAI	very angry	to handler	How can you be so incompetent!	6	一无是处的废物！	1																					
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_oxen_n05				SAMURAI	very angry	to handler	Lord Noboru will be displeased!	5	昇大人会发火的！	1																					
vo_hint_hint_	_n06	vo_hint_hint_finalcastle_oxen_n06				SAMURAI	very angry	to handler	This is outrageous.	3	这也太离谱了。	1																					
vo_hint_hint_	_n07	vo_hint_hint_finalcastle_oxen_n07				SAMURAI	very angry	to handler	You and your stupid animal!	5	都怪你还有你那头蠢牛！	1																					
																																	
CARGO									A samurai gives orders in an area where cargo is loaded onto wagons.		A samurai gives orders in an area where cargo is loaded onto wagons.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_cargo_n00				SAMURAI	annoyed	to handler	These stupid animals.	3	这帮畜生真蠢。	1																					
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_cargo_n01				SAMURAI	annoyed	to handler	Get it done, you hear me?	6	赶紧干完，听到没？	1																					
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_cargo_n02				SAMURAI	annoyed	to handler	No delays. Lord Noboru was clear.	6	昇大人有令，不得延误。	1																					
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_cargo_n03				SAMURAI	annoyed	to handler	Can't you load these wagons faster?	6	就不能给我装得快点吗？	1																					
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_cargo_n04				SAMURAI	annoyed	to handler	We must leave before nightfall.	5	必须在天黑前出发。	1																					
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_cargo_n05				SAMURAI	annoyed	to handler	Move it! We are losing precious time.	7	快搬！别浪费时间！	1																					
																																	
SLACKERS									A samurai in black robes oversees the mounting of a cannon. Everytime he leaves, the guards and workers slack off. (looping)		A samurai in black robes oversees the mounting of a cannon. Everytime he leaves, the guards and workers slack off. (looping)																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	o	CEN	o2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_slackers_n00				CIVILIAN M	hasty	acts like he's working	He's coming!	2	他来了！	1																					
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_slackers_n01				ENEMY	hasty	acts like he's standing guard	To your posts!	3	快回岗位！	1																					
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_slackers_n02				SAMURAI	supsicious	asks officer	Everything in order?	3	一切正常吧？	1																					
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_slackers_n03				SAMURAI	supsicious	sees everyone's working, leaves	Hmm …	2	嗯……	1																					
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_slackers_n04				CIVILIAN M	slacking off	return to slacking	He's gone.	2	他走了。	1																					
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_slackers_n05				SAMURAI	slacking off	return to slacking	Finally.	1	终于走了。	1																					
vo_hint_hint_	_n06	vo_hint_hint_finalcastle_slackers_n06				SAMURAI	supsicious	suspects the others of slacking off	Hmm, what's going on?	4	嗯？在搞什么？	1																					
																																	
SHOOTING1									A samurai oversees rifle training.		A samurai oversees rifle training.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	o	CEN	o2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_shooting1_n00				SAMURAI	commanding		Load!	1	装弹！	1																					
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_shooting1_n01				SAMURAI	commanding		Take aim!	2	瞄准！	1																					
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_shooting1_n02				SAMURAI	commanding		Fire!	1	开火！	1																					
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_shooting1_n03				SAMURAI	commanding	again	Fire!	1	开火！	1																					
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_shooting1_n04				SAMURAI	commanding	last time	Fire!	1	开火！	1																					
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_shooting1_n05				SAMURAI	drilling		Not fast enough.	3	太慢了。	1																					
vo_hint_hint_	_n06	vo_hint_hint_finalcastle_shooting1_n06				SAMURAI	drilling		You are not master marksmen yet!	6	枪法都还不够准！	1																					
vo_hint_hint_	_n07	vo_hint_hint_finalcastle_shooting1_n07				SAMURAI	drilling		Your weapon is part of you!	6	要做到人枪合一！	1																					
vo_hint_hint_	_n08	vo_hint_hint_finalcastle_shooting1_n08				SAMURAI	drilling		Aim true, for Lord Noboru!	5	打得准点！为了昇大人！	1																					
vo_hint_hint_	_n09	vo_hint_hint_finalcastle_shooting1_n09				SAMURAI	commanding		Again!	1	再来！	1																					
																																	
SHOOTING2									Noboru interrupts rifle training. He wishes to see a demonstration.		Noboru interrupts rifle training. He wishes to see a demonstration.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	o	CEN	o2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_shooting2_n00				SAMURAI	commanding		Lord Noboru!	2	昇大人！	1																					
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_shooting2_n01				BROGUN	cool		I wish to observe your progress.	6	我来视察一下。	1																					
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_shooting2_n02				SAMURAI	commanding		Of course, Noboru-sama.	3	是，昇大人。	1																					
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_shooting2_n03				SAMURAI	commanding		Men! You have heard Lord Noboru!	6	士兵们！不要让昇大人失望！	1																					
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_shooting2_n04				SAMURAI	commanding		Fire!	1	开火！	1																					
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_shooting2_n05				SAMURAI	commanding	again	Fire!	1	开火！	1																					
vo_hint_hint_	_n06	vo_hint_hint_finalcastle_shooting2_n06				SAMURAI	commanding	last time	Fire!	1	开火！	1																					
vo_hint_hint_	_n07	vo_hint_hint_finalcastle_shooting2_n07				BROGUN	cool	leaves	Hm, very well. Continue.	4	嗯，很好。继续吧。	1																					
vo_hint_hint_	_n08	vo_hint_hint_finalcastle_shooting2_n08				SAMURAI	commanding		You have heard your lord! Again!	6	都听到了吧！再来一次！	1																					
																																	
MESSAGE									As the team enters travels through the secret passage, we see Noboru receiving a letter.		As the team enters travels through the secret passage, we see Noboru receiving a letter.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_finalcastle_message_n00				GEISHA	pleased	cam on team	Excellent. All here.	3	很好。大家都进来了。	1																					
vocs_over_over_	_n00a	vocs_over_over_finalcastle_message_n00a				NINJA	focussed	ALTERNATIVE	So far so good.	4	目前为止还算顺利。	1																					
vocs_over_over_	_n01	vocs_over_over_finalcastle_message_n01				BROGUN	commanding	cam to Noboru, who's talking to a soldier	… very good. See that the men are prepared for my brother's return from Kyoto.	15	……很好。全军准备，我兄弟就快从京都返回了。	1																					
vocs_over_over_	_n02	vocs_over_over_finalcastle_message_n02				SAMURAI	dutiful		Yes, Noboru-sama.	2	遵命，昇大人。	1																					
vocs_over_over_	_n03	vocs_over_over_finalcastle_message_n03				OFFICER	dutiful	arrives with a letter	Lord Noboru!	2	昇大人！	1																					
vocs_over_over_	_n04	vocs_over_over_finalcastle_message_n04				BROGUN	commanding		Why do you disturb us? Do you bring news of my son?	12	没看到我在谈正事吗？怎么，有我儿子消息了吗？	1																					
vocs_over_over_	_n05	vocs_over_over_finalcastle_message_n05				OFFICER	dutiful	hands over the letter and leaves	A letter came. A message from our spies in Kyoto.	10	来信了。是京都的密探发回来的密信。	1																					
vocs_over_over_	_n06	vocs_over_over_finalcastle_message_n06				BROGUN	"shock,
then thinking"	"reads the letter
brief pause before speaking"	… this … how is this possible!	7	……这……怎么可能！	1																					
vocs_over_over_	_n07	vocs_over_over_finalcastle_message_n07				BROGUN	urgent commands	to samurai	Tell the officers to double the guards. No one is to enter the keep. 	15	传令下去，把守卫人数加倍。任何人都不得进入天守阁。 	2																					
vocs_over_over_	_n08	vocs_over_over_finalcastle_message_n08				BROGUN	urgent commands	to samurai	If anyone tries they are to be killed.	8	违者，格杀勿论。	1																					
vocs_over_over_	_n09	vocs_over_over_finalcastle_message_n09				SAMURAI	dutiful	bows and goes to carry out his orders	Understood, Noboru-sama!	2	遵命，昇大人！	1																					
vocs_over_over_	_n10	vocs_over_over_finalcastle_message_n10				BROGUN	"quiet hatred
pondering"		My son … executed by my own brother. Is Mugen taking vengeance on me?	14	我的儿子……竟被我兄长处决了。这是无限在向我复仇吗？	1																					
vocs_over_over_	_n11	vocs_over_over_finalcastle_message_n11				BROGUN	calm		This changes everything.	3	这下一切都乱套了。	1																					
vocs_over_over_	_n12	vocs_over_over_finalcastle_message_n12				BROGUN	calm	calmly enters his castle keep	I must think.	3	我得好好想想。	1																					
																																	
KEEP									The team discusses how to kill Noboru inside his keep.		The team discusses how to kill Noboru inside his keep.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_finalcastle_keep_n00				NINJA	smug	enjoys seeing Noboru lose	Seems to me like the Shogun took his revenge already.	10	看来，将军已经开始复仇了。	1																					
vocs_over_over_	_n01	vocs_over_over_finalcastle_keep_n01				GEISHA	thinking ahead		This complicates matters for us.	5	但对我们来说，任务难度又增加了。	1																					
vocs_over_over_	_n02	vocs_over_over_finalcastle_keep_n02				TRAPPER	excited		He's cowering like spider in a broken web.	8	他就像一只蜷缩在破网上的蜘蛛。	1																					
vocs_over_over_	_n03	vocs_over_over_finalcastle_keep_n03				ALCHEMIST	anticipation		He may hide up there, yet he forgets that height is your specialty.	13	虽然他躲到了楼顶上，但他显然忘了登高正是你们的拿手好戏。	1																					
vocs_over_over_	_n04	vocs_over_over_finalcastle_keep_n04				NINJA	curious		What about you, old man?	5	那你呢，老爷子？	1																					
vocs_over_over_	_n05	vocs_over_over_finalcastle_keep_n05				ALCHEMIST	cheerful		You know me, Hayato-san. I always find my way to assist you.	12	你还不了解我么，隼人。我自有办法来协助你们。	1																					
																																	
ASCENT									The team has entered the courtyard before the castle keep.		The team has entered the courtyard before the castle keep.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_finalcastle_ascent_n00				NINJA	observant	Hayato first	Damn. There must be way up there.	7	该死。不过肯定会有办法上去。	1																					
vocs_over_over_	_n01	vocs_over_over_finalcastle_ascent_n01				TRAPPER	amazed	Yuki first	So high! How will we get there?	7	这么高啊！要怎么上去呢？	1																					
vocs_over_over_	_n02	vocs_over_over_finalcastle_ascent_n02				GEISHA	leader		We will have to improvise. There must be a way up.	11	随机应变吧。一定有路能上去。	1																					
																																	
NO ALARM									The team is starting to ascend the keep.		The team is starting to ascend the keep.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_finalcastle_noalarm_n00				NINJA	anticipation	Hayato first	Nice view.	2	景色不错。	1																					
vocs_over_over_	_n01	vocs_over_over_finalcastle_noalarm_n01				TRAPPER	excited	Yuki first	It's really high!	3	真的好高啊！	1																					
vocs_over_over_	_n02	vocs_over_over_finalcastle_noalarm_n02				GEISHA	this is very important		Noboru is on the top balcony. Right now he is exposed, but if he learns we are here, we will never reach him. We cannot let anyone raise the alarm!	30	昇就站在顶部的外侧走廊上。虽然他目前尚无防备，但如果让他有所察觉，就再也不可能有接近他的机会了。所以绝不能让任何人发出警报！	1																					
vocs_over_over_	_n03	vocs_over_over_finalcastle_noalarm_n03				TRAPPER	excited		Right. Be clever. Be fast.	5	对。我要更机灵点，更快点。	1																					
vocs_over_over_	_n04	vocs_over_over_finalcastle_noalarm_n04				ALCHEMIST	cheerful		Hehe, I will watch over your ascent.	7	嘿嘿嘿，老夫会掩护你们爬上去的。	1																					
vocs_over_over_	_n05	vocs_over_over_finalcastle_noalarm_n05				NINJA	smug		Hope Noboru enjoys his final minutes.	6	就让他好好享受人生的最后几分钟吧。	1																					
																																	
FAIL									The team is spotted while climbing the castle keep. The alarm is raised, Noboru runs to safety and the mission fails		The team is spotted while climbing the castle keep. The alarm is raised, Noboru runs to safety and the mission fails																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_finalcastle_fail_n00				BROGUN	victory!		Fools! Your carelessness will cost you dearly!	7	这帮蠢货！这就是所谓一着不慎满盘皆输吧！	1																					
vocs_over_over_	_n01	vocs_over_over_finalcastle_fail_n01				NINJA	defeat!		He went inside. Damn. That was our only chance!	9	他躲进去了。该死，唯一的机会也没有了！	1																					
																																	
Easteregg									The team is spotted while climbing the castle keep. The alarm is raised, Noboru runs to safety and the mission fails		The team is spotted while climbing the castle keep. The alarm is raised, Noboru runs to safety and the mission fails																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN																						
vocs_over_over_	_n00	vocs_over_over_finalcastle_easteregg_n00				BROGUN			Your technique is magnificent.	4	您这招真是太牛逼了。																						
vocs_over_over_	_n01	vocs_over_over_finalcastle_easteregg_n01				BROGUN			When cut across the neck, a sound like wailing winter winds is heard, they say.	15	人言，刎颈之声如冬风哀号。																						
vocs_over_over_	_n02	vocs_over_over_finalcastle_easteregg_n02				BROGUN			I'd always hoped to cut someone like that someday, to hear that sound.	13	为闻其声，吾常期某日以此法杀人。																						
vocs_over_over_	_n03	vocs_over_over_finalcastle_easteregg_n03				BROGUN			But to have it happen to my own neck is ridiculous.	11	岂知反起吾身，荒谬至极。																						
																																	
MONOLOGUE1									As the team ascends the castle keep, Noboru reflects on his desicions.		As the team ascends the castle keep, Noboru reflects on his desicions.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_monologue1_n00				BROGUN	in thought		Ōshiro Mugen. Have I underestimated you?	6	尾城无限，是我低估你了吗？	1																					
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_monologue1_n01				BROGUN	calm		It doesn't matter. The game is lost. My brother will not let me recover.	14	也无所谓了。败了就是了败了，兄长不可能让我东山再起的。	1																					
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_monologue1_n02				BROGUN	calm		No doubt Mugen's assassins are already on their way.	9	毫无疑问，无限手下的刺客已经在赶来了。	1																					
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_monologue1_n03				BROGUN	calm		Yes, they must have been the ones who took my son.	11	对了，绑架我儿子的应该就是他们。	1																					
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_monologue1_n04				BROGUN	in thought		I wonder … of all people, would Mugen have understood?	10	世人都不理解我，但无限或许可以理解我吧？	1																					
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_monologue1_n05				BROGUN	in thought		Was he not a man of honour, willing to make sacrifices to fulfil his duty?	15	他也是个为仁义而活，随时准备为责任献出生命的人，不是吗？	1																					
vo_hint_hint_	_n06	vo_hint_hint_finalcastle_monologue1_n06				BROGUN	calm		We are all masters of our fate. We choose our duty. I chose a future of conquest, while my brother chose peace.	22	我们俩兄弟都是命运的主宰。我们各选其责。我选择了征战，而兄长却选择了和平。	1																					
vo_hint_hint_	_n07	vo_hint_hint_finalcastle_monologue1_n07				BROGUN	calm		And so, for duty, I ignored family and gathered allies against my own brother.	14	所以，为了责任，我抛弃了家人，召集盟友对抗我的亲哥哥。	1																					
vo_hint_hint_	_n08	vo_hint_hint_finalcastle_monologue1_n08				BROGUN	calm		For duty, I sacrificed Okkoto so I would gain honour and respect.	12	为了责任，我牺牲了乙事，以获取荣誉和尊重。	1																					
vo_hint_hint_	_n09	vo_hint_hint_finalcastle_monologue1_n09				BROGUN	calm		For duty, I killed my own nephew, and for duty I would have become Shogun.	15	为了责任，我手刃了自己的侄儿。为了责任，我本将成为将军。	1																					
vo_hint_hint_	_n11	vo_hint_hint_finalcastle_monologue1_n11				BROGUN	calm		I would have reclaimed our territories in Korea.	8	我本将举兵朝鲜，夺回领土。	1																					
vo_hint_hint_	_n12	vo_hint_hint_finalcastle_monologue1_n12				BROGUN	calm		I would have led our samurai against the Chinese.	9	我本将率领武士，对抗中华。	1																					
vo_hint_hint_	_n13	vo_hint_hint_finalcastle_monologue1_n13				BROGUN	calm		The world would have known our glory. A nation of the finest warriors. An unstoppable force.	16	我国本将享誉世界。成为最强战士的家园，成为无法阻挡的力量。	1																					
vo_hint_hint_	_n14	vo_hint_hint_finalcastle_monologue1_n14				BROGUN	calm		That is the future I saw for our people. That is the duty I chose.	15	这才是我看到的未来。这才是我选择的责任。	1																					
vo_hint_hint_	_n15	vo_hint_hint_finalcastle_monologue1_n15				BROGUN	calm		A samurai is master of his fate. Yet without duty, life has no purpose.	14	武士可以决定自身的命运。然而没有了责任，人生就毫无意义。	1																					
vo_hint_hint_	_n16	vo_hint_hint_finalcastle_monologue1_n16				BROGUN	in thought		But now Mugen stands victorious in death. Was it because his duty lay elsewhere, in the end?	17	但现在无限虽死犹荣。难道是因为我看错了他的责任吗？	1																					
																																	
MONOLOGUE2									This comes after Monlogue one and will be looped until the player reaches the top of the keep.		This comes after Monlogue one and will be looped until the player reaches the top of the keep.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_finalcastle_monologue2_n00				BROGUN	calm		Yes, I see.	3	啊，我明白了。	1																					
vo_hint_hint_	_n01	vo_hint_hint_finalcastle_monologue2_n01				BROGUN	calm		Still, it doesn't matter.	4	然而，为时已晚。	1																					
vo_hint_hint_	_n02	vo_hint_hint_finalcastle_monologue2_n02				BROGUN	calm		We all chose our duty.	5	我们都各选其责。	1																					
vo_hint_hint_	_n03	vo_hint_hint_finalcastle_monologue2_n03				BROGUN	calm		We are masters of our own destiny.	7	我们都是自己命运的主宰。	1																					
vo_hint_hint_	_n04	vo_hint_hint_finalcastle_monologue2_n04				BROGUN	in thought		And yet I wonder ...	5	然而我想知道……	1																					
vo_hint_hint_	_n05	vo_hint_hint_finalcastle_monologue2_n05				BROGUN	in thought		What will be left, in the end …	8	最终会留下什么……	1																					
																																	
REVENGE1									Hayato confronts Noboru on the balcony of his keep.		Hayato confronts Noboru on the balcony of his keep.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_finalcastle_revenge1_n00				BROGUN	calm contempt		You! What loyalty does a mercenary like you owe to the dead?	12	是你！你这种佣兵打手，既然雇主已死，为何还要对他效忠？	1																					
