5,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
SENSEI1									Yuki and Takuma start their mission.		Yuki and Takuma start their mission.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_sensei1_n00	omuk		mo	TRAPPER	remembering		I remember this place. Big samurai houses.	7	我记得这地方。这些都是武士的大房子。	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_sensei1_n01	omuk		mo	ALCHEMIST	curious		So you lived here, Yuki-chan?	5	友希姑娘，你以前住在这里？	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_sensei1_n02	omuk		mo	TRAPPER	remembering		Yes, with Okaa-san. Not forever though.	6	嗯，和母亲一起。但没住多久……	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_sensei1_n03	omuk		mo	ALCHEMIST	cautious		Hmm, why did you leave? Did something happen?	8	嚯，那为何离开呢？发生了什么事吗？	1																					
vocs_over_over_	_n04	vocs_over_over_uprising_sensei1_n04	omuk		mo	TRAPPER	surpressing		Bad things. Long ago. It … was a bit like this.	11	发生了坏事。很久以前…就像……像今天这样。	1																					
vocs_over_over_	_n05	vocs_over_over_uprising_sensei1_n05	omuk		mo	ALCHEMIST	forget that I asked		Ah, dark memories. Forget that I asked. Let us head for the castle.	13	啊…还有这等伤心往事。抱歉，就当我没问过。继续往城里前进吧。	1																					
																																	
SENSEI2									Yuki and Takuma come closer to the castle.		Yuki and Takuma come closer to the castle.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_sensei2_n00	omuk		mo	ALCHEMIST	persistent		Yuki-chan, What happened after leaving?	5	友希姑娘，你离开之后又发生了什么？	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_sensei2_n01	omuk		mo	TRAPPER	difficult	doesn't want to remember	Why ... Why do you want to know?	8	…怎么了，你为什么想知道？	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_sensei2_n02	omuk		mo	ALCHEMIST	persistent		Hmm … I was wondering how you've learned the things you know.	12	嗯……我有点好奇你的一身本领是在哪学到的。	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_sensei2_n03	omuk		mo	TRAPPER	struggles a bit		Well … some things you learn from people. Others you don't. If there's no one who can teach you …	20	呃...有些是跟别人学的，有些不是。孤身一人，没人可以教我的时候…	1																					
vocs_over_over_	_n04	vocs_over_over_uprising_sensei2_n04	omuk		mo	ALCHEMIST	understands her	has learned most of what he knows the same way	… then you must teach yourself. You watch, you learn. You question things, and earn the answers. Am I right?	20	……就只能自学。通过观察、学习、质疑，然后靠自己找出答案。是这样吗？	1																					
vocs_over_over_	_n05	vocs_over_over_uprising_sensei2_n05	omuk		mo	TRAPPER	surprised		Yes …	2	对……	1																					
																																	
SENSEI3									Yuki and Takuma reach the castle entrance.		Yuki and Takuma reach the castle entrance.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_sensei3_n00	omuk		mo	ALCHEMIST	persistent		Now, a final question, Yuki-chan. How did I make my rifle so quiet?	13	最后一个问题，友希姑娘。你知道我是如何让狙击枪消音的吗？	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_sensei3_n01	omuk		mo	TRAPPER	surprised		I-It's … you … no, that's not it! It's so hard, I don't understand it.	15	是…那个…是用…那个...太难了，我不懂啦。	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_sensei3_n02	omuk		mo	ALCHEMIST	wise		Hehe, life can be a marvellous teacher. Yet some things only show themselves when others point them out to you.	20	呵呵呵，虽然生活也是良师，但有些东西，还是要别人指点一二才能学会。	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_sensei3_n03	omuk		mo	TRAPPER	emotional		Takuma-sama …	2	琢磨大师……	1																					
vocs_over_over_	_n04	vocs_over_over_uprising_sensei3_n04	omuk		mo	ALCHEMIST	encouraging	can finally pass on his knowledge	Will you let me show you how it works, Yuki-chan?	10	友希姑娘，想让老夫为你答疑解惑吗？	1																					
vocs_over_over_	_n05	vocs_over_over_uprising_sensei3_n05	omuk		mo	TRAPPER	emotional		You mean … like a sensei?	6	意思是...做我的师父吗？	1																					
vocs_over_over_	_n06	vocs_over_over_uprising_sensei3_n06	omuk		mo	ALCHEMIST	very pleased		If that is what you want, Yuki-chan.	7	假如你愿意的话。	1																					
vocs_over_over_	_n07	vocs_over_over_uprising_sensei3_n07	omuk		mo	TRAPPER	very happy	has a new sensei	Really?!Yes! Yes I want that!	5	真的？！太好了！请收我为徒吧！	1																					
vocs_over_over_	_n08	vocs_over_over_uprising_sensei3_n08	omuk		mo	ALCHEMIST	very pleased		Hehehe, who would have thought I would find an apprentice on the battlefield.	13	哈哈，真没想到我会在战场上收到徒弟呢。	1																					
																																	
WARZONE									Screams of soldiers across the warzone. (random)		Screams of soldiers across the warzone. (random)																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_uprising_warzone_n00	omuk			ENEMY	very tense		Hold the line!	3	守住防线！	1																					
vo_hint_hint_	_n01	vo_hint_hint_uprising_warzone_n01	omuk			ENEMY	very tense		Let no one through!	4	不要让他们过去!	1																					
vo_hint_hint_	_n02	vo_hint_hint_uprising_warzone_n02	omuk			ENEMY	very tense		Death to the Shogun's men!	5	杀光幕府军！	1																					
vo_hint_hint_	_n03	vo_hint_hint_uprising_warzone_n03	omuk			STATIC	very tense		Hold the line!	3	坚守防线！	1																					
vo_hint_hint_	_n04	vo_hint_hint_uprising_warzone_n04	omuk			STATIC	very tense		For Lord Okkoto!	3	为了乙事大人！	1																					
vo_hint_hint_	_n05	vo_hint_hint_uprising_warzone_n05	omuk			STATIC	very tense		Push them back!	3	击退他们！	1																					
vo_hint_hint_	_n06	vo_hint_hint_uprising_warzone_n06	omuk			SAMURAI	very tense		Hold the line!	3	给我守住防线！	1																					
vo_hint_hint_	_n07	vo_hint_hint_uprising_warzone_n07	omuk			SAMURAI	very tense		Death and glory!	3	死亡与荣耀共存！	1																					
vo_hint_hint_	_n08	vo_hint_hint_uprising_warzone_n08	omuk			SAMURAI	very tense		For honour!	2	为了武士之名！	1																					
vo_hint_hint_	_n09	vo_hint_hint_uprising_warzone_n09	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	Keep pushing!	2	继续向前推进！	1																					
vo_hint_hint_	_n10	vo_hint_hint_uprising_warzone_n10	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	Fire!	1	开火！	1																					
vo_hint_hint_	_n11	vo_hint_hint_uprising_warzone_n11	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	Do not let up on them!	6	保持火力压制！	1																					
vo_hint_hint_	_n12	vo_hint_hint_uprising_warzone_n12	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	For the Shogun!	3	为了将军！	1																					
vo_hint_hint_	_n13	vo_hint_hint_uprising_warzone_n13	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	For Lord Noboru!	3	为了昇大人!	1																					
vo_hint_hint_	_n14	vo_hint_hint_uprising_warzone_n14	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	Rebel traitors!	2	这帮叛军白眼狼!	1																					
vo_hint_hint_	_n15	vo_hint_hint_uprising_warzone_n15	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	Attack!	1	进攻!	1																					
																																	
HOLD									Two officers at two fronts of the battle. A samurai delivers messages between them (silently).		Two officers at two fronts of the battle. A samurai delivers messages between them (silently).																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_uprising_hold_n00	omuk		mo	ENEMY	very tense	as Officer1	We are barely keeping them back.	6	这边快顶不住了。	1																					
vo_hint_hint_	_n01	vo_hint_hint_uprising_hold_n01	omuk		mo	STATIC	very tense	as Officer2	I do not care, the flank must hold!	8	我不管！侧翼必须顶住！	1																					
vo_hint_hint_	_n02	vo_hint_hint_uprising_hold_n02	omuk		mo	ENEMY	very tense	as Officer1	We are doing what we can. We need supplies.	9	我们已经尽力了，现在急需补给。	1																					
vo_hint_hint_	_n03	vo_hint_hint_uprising_hold_n03	omuk		mo	STATIC	very tense	as Officer2	They need supplies?! Well bad luck we can't open the gate!	11	需要补给？！算他们倒霉！现在可不能开门！	1																					
vo_hint_hint_	_n04	vo_hint_hint_uprising_hold_n04	omuk		mo	ENEMY	very tense	as Officer1	No supplies? Then we need men!	6	没有补给？那就派点人手！	1																					
vo_hint_hint_	_n05	vo_hint_hint_uprising_hold_n05	omuk		mo	STATIC	very tense	as Officer2	They need men?! We can't spare anyone!	7	需要人手？！我们人手也不够啊！	1																					
																																	
OFFICER									The team kills an officer and Noboru's soldiers can advance.		The team kills an officer and Noboru's soldiers can advance.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_officer_n00	omuk		mo	NINJA	smug	Hayato first	Got one.	2	搞定一个。	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_officer_n01	omuk		mo	WARRIOR	rush of battle	Mugen first	Officer down!	2	军官死了！	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_officer_n02	omuk		mo	TRAPPER	brave	Yuki first	One flag down!	3	搞定一面旗子！	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_officer_n03	omuk		mo	ALCHEMIST	pleased	Takuma first	Hehe, officer down!	3	嘿嘿，军官死了！	1																					
vocs_over_over_	_n04	vocs_over_over_uprising_officer_n04	omuk		mo	BROGUN	commanding	first officer	The enemy command is weakened! Advance!	6	敌人的指挥乱了！冲啊！	1																					
vocs_over_over_	_n05	vocs_over_over_uprising_officer_n05	omuk		mo	BROGUN	commanding	second officer	Another officer has fallen! Break through their lines!	8	又干掉一个军官！快突破他们的防线！	1																					
vocs_over_over_	_n06	vocs_over_over_uprising_officer_n06	omuk		mo	BROGUN	commanding	third officer	We are gaining the advantage! Forward, for the Shogun!	9	我军已占上风！冲啊，为了将军！	1																					
																																	
REGROUP									"Everyone has entered the castle.
(only if supply depot is still intact)"		Everyone has entered the castle.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_regroup_n00	omuk			WARRIOR	rush of battle		Is everyone inside?	3	大家都进来了吧？	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_regroup_n01	omuk			NINJA	cool		I'm with you.	3	嗯，我在。	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_regroup_n02	omuk			ALCHEMIST	glad he made it		Here. And Yuki-chan.	3	在，友希姑娘也在。	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_regroup_n03	omuk			WARRIOR	rush of battle		Good. We must make haste and destroy the supply depot!	10	好。速战速决，摧毁补给仓库！	1																					
																																	
PRIORITIES									The team gets close to General Okkoto's tent before they blow up the barracks.		The team gets close to General Okkoto's tent before they blow up the barracks.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_priorities_n00	omuk			NINJA	focussed	Hayato first	General Okkoto's tent.	3	那是乙事大将的营帐。	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_priorities_n01	omuk			TRAPPER	brave	Yuki first	He's close.	2	他就在营帐里面。	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_priorities_n02	omuk			ALCHEMIST	pondering	Takuma first	A fateful confrontation.	3	宿命对决的时候到了。	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_priorities_n03	omuk			WARRIOR	rush of battle		We must destroy the depot before we engage Okkoto.	9	对付乙事前，得先摧毁补给仓库。	1																					
																																	
PRISONERS									The team frees some captured Shogunate troops		The team frees some captured Shogunate troops																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_prisoners_n00	omuk			CIVILIAN M	surprised	"character:
friendly soldier"	You're not Okkoto's men.	4	你-你不是乙事的手下。	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_prisoners_n01	omuk			WARRIOR	stay calm		We have unlocked your door but stay here until Lord Noboru storms the castle.	14	牢门已经打开，等昇大人把城拿下，你们再出去。	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_prisoners_n02	omuk			CIVILIAN M	focussed	"character:
friendly soldier"	Understood. But be careful if you face the General.  You will need the skill of a true samurai to defeat him.	22	明白。如果遇到乙事一定要小心。只有真正的武士才能击败他。	1																					
vocs_over_over_	_n02a	vocs_over_over_uprising_prisoners_n02a	omuk			CIVILIAN M	focussed	"character:
friendly soldier"	Understood. Thank you.	3	明白。谢谢你们。	1																					
																																	
EXPLOSIVES1									Mugen picks up the barrel of gunpowder.		Mugen picks up the barrel of gunpowder.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_explosives1_n00	omuk			WARRIOR	exhausted	picks up the barrel	…	1	……	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_explosives1_n01	omuk			ALCHEMIST	teasing		Hehe, getting old, Mugen?	4	呵呵呵，岁月不饶人啊，无限？	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_explosives1_n02	omuk			WARRIOR	teasing back	encumbered	A man should be proud of his age, as you very well know.	13	啊哈哈哈，男人年龄越大反而越值得尊敬，您老不就是最好的表率么。	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_explosives1_n03	omuk			ALCHEMIST	amused		Hehe, wise words Mugen. Wise words.	6	嘿嘿，真是妙语连珠。嗯，你很有见地嘛，无限。哈哈哈…	1																					
																																	
EXPLOSIVES2									Mugen places the gunpowder near the supply depot.		Mugen places the gunpowder near the supply depot.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_explosives2_n00	omuk			WARRIOR	relieved	places the barrel	Done.	1	好了。	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_explosives2_n01	omuk			ALCHEMIST	memories		Ah, this brings back memories. Everyone, keep your distance.	9	这又让我想起当年了呢。大家都撤远点。	1																					
																																	
EXPLOSIVES3									Takuma has blown up the gunpowder in the wrong spot.		Takuma has blown up the gunpowder in the wrong spot.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_explosives3_n00	omuk			ALCHEMIST	very displeased		Hrm, a crucial miscalculation. Now we lack the means to destroy the depot.	13	唔，对爆炸的计算出现了重大失误。现在没法摧毁补给仓库了。	1																					
																																	
EXPLOSIVES4									Takuma blows up the depot with the barrel of gunpowder.		Takuma blows up the depot with the barrel of gunpowder.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_explosives4_n00	omuk			WARRIOR	rush of battle		The rebels have lost their supplies! Now we must confront Okkoto. Be ready for anything.	15	叛军没有补给了！此时正是进攻的时机，准备好和乙事决战吧。	1																					
																																	
INVESTIGATE									Rebel soldiers react to the depot explosion.		Rebel soldiers react to the depot explosion.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_uprising_investigate_n00	omuk			ENEMY	shocked		Aah!	1	啊!	1																					
vo_hint_hint_	_n01	vo_hint_hint_uprising_investigate_n01	omuk			SAMURAI	shocked		What?!	1	什么？什么情况！	1																					
vo_hint_hint_	_n02	vo_hint_hint_uprising_investigate_n02	omuk			STATIC	shocked		Aah!	1	啊!	1																					
vo_hint_hint_	_n03	vo_hint_hint_uprising_investigate_n03	omuk			ENEMY	shocked		How could this happen?	4	怎么会发生这种事?	1																					
vo_hint_hint_	_n04	vo_hint_hint_uprising_investigate_n04	omuk			STATIC	shocked		They hit the depot.	4	他们...他们炸毁了补给仓库。	1																					
vo_hint_hint_	_n05	vo_hint_hint_uprising_investigate_n05	omuk			ENEMY	tense		Everyone! Find out who did this!	6	所有人！快找出是谁干的！	1																					
vo_hint_hint_	_n06	vo_hint_hint_uprising_investigate_n06	omuk			SAMURAI	commanding	to peasants	Fetch water! Stop the fire from spreading!	7	快打水！要阻止火势蔓延！	1																					
																																	
EXPLOSIVES5									Mugen picks up a small gunpowder barrel that won't be enough to blow up the barracks.		Mugen picks up a small gunpowder barrel that won't be enough to blow up the barracks.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_explosives5_n00	omuk			WARRIOR	dismissive		This one is too small to destroy the supply depot. I must find a larger barrel.	16	这个太小了，不够炸掉补给仓库。必须找个大桶的。	1																					
																																	
BOSS SPAWN									Takuma climbs to his sniper spot as Okkoto emerges from his tent.		Takuma climbs to his sniper spot as Okkoto emerges from his tent.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_bossspawn_n00	omuk			GENERAL	evil	comes out of tent	Assassins. Their stench lingers in the air. They have destroyed our supplies and now they come for me.	18	混账幕府刺客，空气里还飘着他们的臭味。既然已经炸毁补给仓库，接下来肯定要攻击我了。	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_bossspawn_n01	omuk			GENERAL	evil	guards come out of tent	Take up formation! Hold out until Kage-sama comes with reinforcements. Show these worms the wrath of true samurai!	18	摆好阵型！坚守等待影大人的增援。让这些蝼蚁见识一下真正武士的愤怒!	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_bossspawn_n02	omuk			WARRIOR	rush of battle		Everyone, take position.	3	所有人，各就各位。	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_bossspawn_n03	omuk			WARRIOR	rush of battle		Takuma-san, you have the high ground!	6	琢磨大师，你去高处。	1																					
vocs_over_over_	_n04	vocs_over_over_uprising_bossspawn_n04	omuk			ALCHEMIST	eager	moves towards higher ground	On my way, hehe!	4	马上到，嚯...嚯...嚯。	1																					
vocs_over_over_	_n05	vocs_over_over_uprising_bossspawn_n05	omuk			WARRIOR	rush of battle		Hayato-san. Yuki-chan.	2	隼人兄，友希小妹。	1																					
vocs_over_over_	_n06	vocs_over_over_uprising_bossspawn_n06	omuk			NINJA	focussed		Going in.	2	上吧。	1																					
vocs_over_over_	_n07	vocs_over_over_uprising_bossspawn_n07	omuk			TRAPPER	eager		Hai!	1	是！	1																					
vocs_over_over_	_n08	vocs_over_over_uprising_bossspawn_n08	omuk			WARRIOR	rush of battle		Let us end this rebellion once and for all.	9	来为叛乱画上句号吧！	1																					
																																	
ORDER									Okkoto orders his men to stay vigilant.		Okkoto orders his men to stay vigilant.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_uprising_order_n00	omuk			GENERAL	full of hate		Kage-sama will come. Until then, we must prevail.	8	影大人会来的，在此之前，不能落下风！	1																					
vo_hint_hint_	_n01	vo_hint_hint_uprising_order_n01	omuk			GENERAL	full of hate		Don't let that scum get in here.	7	别让那些渣滓攻进这里。	1																					
vo_hint_hint_	_n02	vo_hint_hint_uprising_order_n02	omuk			GENERAL	full of hate		Stay vigilant! Reinforcements will arrive soon.	6	保持警惕！增援部队很快就会到达。	1																					
vo_hint_hint_	_n03	vo_hint_hint_uprising_order_n03	omuk			GENERAL	full of hate		Keep focused everyone, they are here somewhere.	7	所有人眼睛睁大点！他们就在这附近。	1																					
vo_hint_hint_	_n04	vo_hint_hint_uprising_order_n04	omuk			GENERAL	full of hate		Shoot on sight, don't hesitate.	5	看到人就开枪！别犹豫。	1																					
																																	
INSULT									Okkoto insults the team as they hide from him.		Okkoto insults the team as they hide from him.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_uprising_insult_n00	omuk			GENERAL	full of hate		Shinobi filth!	2	肮脏的忍者。	1																					
vo_hint_hint_	_n01	vo_hint_hint_uprising_insult_n01	omuk			GENERAL	full of hate		Hiding like the snakes you are.	6	就像条蛇一样藏在暗处。	1																					
