4,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Japan, Edo Period, 1615. The Shogun wages his war for absolute power.
2) He attacks his final enemy in his castle.
3) During the siege, a ninja (Hayato) infiltrates the castle.
4) He helps a samurai (Mugen), who fought his ways inside, losing all his men.
5) Together they make their way through the castle, dodging and killing guards.
6) They are saved by a sharpshooter (Takuma) who has climbed the castle wall.
7) Together they blow open the front gate of the castle, securing victory.
8) Takuma's sniper spot is hit by a cannon and he presumably dies.
9) Hayato and Mugen are separated but vow to meet after the battle."	
vocs_over_over_	_n00	vocs_over_over_firstcastle_ninja_n00	omuk	Mo		NINJA	focussed		問題なく登れるだろう。急がないと上様の攻撃が始まる。	
										
CHAT1									Hayato overhears two guards while sneaking past.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vo_hint_hint_	_n00	vo_hint_hint_firstcastle_chat1_n00	omuk	Mo		GUARD1	worried		六ヶ月もこの調子か。一体いつまで続くんだ？	
vo_hint_hint_	_n01	vo_hint_hint_firstcastle_chat1_n01	omuk	Mo		GUARD2	resolute		そんなことはどうでもいい。とにかく、幕府の屑は決して城には入れぬ。	
										
INSIDE									Hayato has climbed inside the castle.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_inside_n00	omuk	Mo		NINJA	focussed		隠れた方がよさそうだ。	
										
CHAT2									Many guards block Hayato's path. An officer appears and calls everyone to the wall so they can repel the Shogun's next attack.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vo_hint_hint_	_n00	vo_hint_hint_firstcastle_chat2_n00	omuk	Mo		OFFICER	very urgent		皆、集まれ！ 	
vo_hint_hint_	_n01	vo_hint_hint_firstcastle_chat2_n01	omuk	Mo		OFFICER	very urgent		すぐに幕府軍の攻撃が始まる。心してかかれ！	
										
ALARM									A guard calls for reinforcements.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_alarm_n00	omuk			NINJA	tense		くそっ、隠れろ！	
										
CIVILIANS									Hayato finds a backyard with many dead civilians.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_civilians_n00	omuk	Mo		NINJA	sympathetic		む…飢えで死んでいる…。こっちはまずいな。	
										
SIGHT									Hayato encounters a lonely guard (continued).	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_sight_n00	omuk	Mo		NINJA	focussed		うまくくぐり抜けるか…それとも暗殺するか。	
										
METHODS1									Hayato has snuck past the lonely guard and left him alive.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_methods1_n00	omuk	Mo		NINJA	focussed	if Hayato has let the lonely guard live	俺のことは見なかったことにしろ。さぁ行け。	
										
METHODS2									Hayato kills the lonely guard.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_methods2_n00	omuk	Mo		NINJA	focussed	if Hayato kills the lonely guard	安全には代えられん。	
										
DETOUR									Hayato finds the easy way to his objective blocked.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_detour_n00	omuk	Mo		NINJA	annoyed		くっ、門が閉められた。壁は登るには高すぎる。迂回しよう。	
										
DISTRACTION									Hayato has to distract a couple of guards.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_distraction_n00	omuk	Mo		NINJA	annoyed		見張りが固まっている。気をそらすか。	
										
WARRIOR									Hayato runs into a dead end. Then the Shogunate army starts attacking. On the nearby castle wall, samurai Mugen rushes in with a handful of Shogunate men. Only Mugen survives and is now cornered.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_warrior_n00	omuk	Mo		NINJA	irritaded	another barricaded gate	こっちも閉められたか。別の道を探すしかない。	
vocs_over_over_	_n01	vocs_over_over_firstcastle_warrior_n01	omuk	Mo		NINJA	under pressure	cannonfire is heard, nearby houses are hit by cannonballs	くそっ！攻撃が始まったか！どうにか中に入らないと…。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_warrior_n02	omuk	Mo		WARRIOR	battlecry	rushing towards the enemy	いざ、上様のために！	
vocs_over_over_	_n03	vocs_over_over_firstcastle_warrior_n03	omuk	Mo		WARRIOR	wounded	last man standing	うぐっ…ここまでか！	
vocs_over_over_	_n04	vocs_over_over_firstcastle_warrior_n04	omuk	Mo		GUARD1		at Mugen	逃げ場はないぞ！出てこい！	
vocs_over_over_	_n05	vocs_over_over_firstcastle_warrior_n05	omuk	Mo		NINJA	slightly amused	shakes his head	ふっ、死にたがりの侍か！気乗りはせんが…今はあいつを利用するしかないようだ。助けよう。	
										
SHURIKEN									Hayato plans to take out a guard with his shuriken.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_shuriken_n00	omuk	Mo		NINJA	confident		十分な距離がある。手裏剣を使えば、誰かに気づかれる前に殺れるだろう。	
										
MULTIKILL1									Hayato causes a disturbance that distracts the guards. Mugen rushes in and finishes them off all at once.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_multikill1_n00	omuk	Mo		WARRIOR	battlecry		将軍のため！	
										
MULTIKILL2									 After killing the guards, Mugen vows to help Hayato.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_multikill2_n00	omuk	Mo		WARRIOR	honorable	heavy breath	お主のおかげだったのか。 名を聞かせてくれ。 ちゃんと礼を言いたい。	
vocs_over_over_	_n01	vocs_over_over_firstcastle_multikill2_n01	omuk	Mo		NINJA	slightly disrespectful	tries to talk around the fact that he needs help	先に中に入れてくれないか？感謝されるなら面と向かっての方がいい。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_multikill2_n02	omuk	Mo		WARRIOR	amused		はは、よかろう。門を開けて、礼を致そう。	
										
CAREFUL									Mugen realizes he cannot rush in blindly or he will be overpowered.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_careful_n00	omuk	Mo		WARRIOR	cautious		家来たちは死んだ。拙者も一歩間違えば同じ道をたどるだろう。	
										
SAKE									Mugen plans to draw an unsuspecting guard towards himself by placing a bottle of sake as bait.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_sake_n00	omuk	Mo		WARRIOR	cautious		奴らをおびき寄せよう。酒を使えばうまくいくかもしれん。	
										
MULTIKILL3									Mugen sneaks up on 3 soldiers that stand close together.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_multikill3_n00	omuk	Mo		WARRIOR	cautious	Kazekiri (風斬り) = Sword Wind	敵が三人密集している。風斬りで一網打尽にしてくれよう。	
vocs_over_over_	_n00a	vocs_over_over_firstcastle_multikill3_n00a	omuk	Mo		WARRIOR	cautious	ALTERNATIVE1	敵が三人密集している。風斬りで一網打尽にしてくれよう。	
vocs_over_over_	_n00b	vocs_over_over_firstcastle_multikill3_n00b	omuk	Mo		WARRIOR	cautious	ALTERNATIVE2	敵が三人密集している。風斬りで一網打尽にしてくれよう。	
										
CANNON									Mugen spots a cannon that he can use to blow open the gate that's blocking Hayato.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_cannon_n00	omuk	Mo		WARRIOR	victory is near!		おお、大砲だ。しかも門の方を向いているぞ。	
vocs_over_over_	_n00a	vocs_over_over_firstcastle_cannon_n00a	omuk	Mo		WARRIOR	victory is near!		この大砲、使えるかもしれぬ。	
										
BRIEFING									Mugen uses the cannon to open the way for Hayato. The two introduce themselves and discuss the plan to .	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_briefing_n00	omuk	Mo		WARRIOR	grateful		かたじけない。拙者は大代武源と申す。お主は…。	
vocs_over_over_	_n01	vocs_over_over_firstcastle_briefing_n01	omuk	Mo		NINJA	reserved		伊賀の隼人だ。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_briefing_n02	omuk	Mo		WARRIOR	intrigued	as high ranking samurai, Hayato must answer him	伊賀…なるほど。上様が忍を雇ったと聞いていた。教えてくれ、どのような任なのか。	
vocs_over_over_	_n03	vocs_over_over_firstcastle_briefing_n03	omuk	Mo		NINJA	plain		うむ、やぐら門を開ける。	
vocs_over_over_	_n04	vocs_over_over_firstcastle_briefing_n04	omuk	Mo		WARRIOR	suprised		正門をか？馬鹿を申せ、要塞だ。	
vocs_over_over_	_n05	vocs_over_over_firstcastle_briefing_n05	omuk	Mo		NINJA	cunning	hasn't figured out yet how to move the barrel	中から開ける必要はない。火薬の樽がひとつあればいい。そいつを置いてやるだけさ。	
vocs_over_over_	_n05a	vocs_over_over_firstcastle_briefing_n05a	omuk	Mo		NINJA	cunning	ALTERNATIVE	中から開ける必要はない。簡単ではないが、何か方法があるはずさ。	
										
TEAM									After the briefing	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_team_n00	omuk	Mo		WARRIOR	lets go		容易ではないな。よかろう、お供しよう。	
vocs_over_over_	_n01	vocs_over_over_firstcastle_team_n01	omuk	Mo		NINJA	didn't expect this		そいつは…ありがたいが、一人でやるよ。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_team_n02	omuk	Mo		WARRIOR	jolly cooperation		何を言う！一人なら困難でも二人ならなんとかなる！そうだろう？	
vocs_over_over_	_n03	vocs_over_over_firstcastle_team_n03	omuk	Mo		NINJA	at a loss	really doesn't like this	一人でも大丈夫なんだが、まぁ好きにすればいい。だが、静かに頼む。	
vocs_over_over_	_n04	vocs_over_over_firstcastle_team_n04	omuk	Mo		WARRIOR	solemn		わかった、伊賀の隼人殿。お主のやり方に従おう。	
										
AROUND									The team could enter the main castle through a gate, but Hayato doesn't like that because it's heavily guarded.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_around_n00	omuk	Mo		WARRIOR	tense	Mugen first	門がある。ここから入るべきか？	
vocs_over_over_	_n01	vocs_over_over_firstcastle_around_n01	omuk	Mo		NINJA	planning		うーむ…門の向こうに護衛がいる。迂回して壁を登れる場所を探そう。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_around_n02	omuk	Mo		WARRIOR	slightly uncomfortable		壁を登るだと？	
vocs_over_over_	_n03	vocs_over_over_firstcastle_around_n03	omuk	Mo		NINJA	smug		鎧が重すぎるか？心配するな。中から門を開ける。	
										
CORPSES									The team enters another section of the castle. Guards are everywhere. Hayato and Mugen must hide dead guards so that the others are not alarmed.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_corpses_n00	omuk	Mo		WARRIOR	tense	Mugen first	ここは守りが堅いな。	
vocs_over_over_	_n01	vocs_over_over_firstcastle_corpses_n01	omuk	Mo		NINJA	instructing		目立つ所に死体を残さないようにな。草むらや樽、家の中に隠すんだ。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_corpses_n02	omuk	Mo		WARRIOR	slightly uncomfortable	would rather fight	忍に教わる日が来るなんてな。	
										
STRATEGY									Two officers discuss strategy at a table with a map.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vo_hint_hint_	_n00	vo_hint_hint_firstcastle_strategy_n00	omuk	Mo		GUARD1	planning		兵は十分だろうか？	
vo_hint_hint_	_n01	vo_hint_hint_firstcastle_strategy_n01	omuk	Mo		GUARD2	planning		南の壁に警備が欲しい。	
vo_hint_hint_	_n02	vo_hint_hint_firstcastle_strategy_n02	omuk	Mo		GUARD1	planning		郷蔵はどうだ？	
vo_hint_hint_	_n03	vo_hint_hint_firstcastle_strategy_n03	omuk	Mo		GUARD2	planning		その辺りの見張りを増員すべきです。	
vo_hint_hint_	_n04	vo_hint_hint_firstcastle_strategy_n04	omuk	Mo		GUARD1	planning		ここに増員を送ろう。	
vo_hint_hint_	_n05	vo_hint_hint_firstcastle_strategy_n05	omuk	Mo		GUARD2	planning		将軍は守りが手薄な場所を狙って来るはずだ。	
vo_hint_hint_	_n06	vo_hint_hint_firstcastle_strategy_n06	omuk	Mo		GUARD1	planning		兵を送って瓦礫を片付けさせろ。	
vo_hint_hint_	_n07	vo_hint_hint_firstcastle_strategy_n07	omuk	Mo		GUARD2	planning		物資をそこに送る必要がある。	
										
BATTLE									Someone shouts warnings when the Shogun attacks with canons or archers!	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vo_hint_hint_	_n00	vo_hint_hint_firstcastle_battle_n00	omuk			OFFICER	shouting		大砲だ！	
vo_hint_hint_	_n01	vo_hint_hint_firstcastle_battle_n01	omuk			OFFICER	shouting		奴ら大砲を！	
vo_hint_hint_	_n02	vo_hint_hint_firstcastle_battle_n02	omuk			OFFICER	shouting		大砲だ！	
vo_hint_hint_	_n03	vo_hint_hint_firstcastle_battle_n03	omuk			OFFICER	shouting		矢だ！	
vo_hint_hint_	_n04	vo_hint_hint_firstcastle_battle_n04	omuk			OFFICER	shouting		矢を放ってきやがる！	
vo_hint_hint_	_n05	vo_hint_hint_firstcastle_battle_n05	omuk			OFFICER	shouting		矢が来るぞ！	
vo_hint_hint_	_n06	vo_hint_hint_firstcastle_battle_n06	omuk			OFFICER	shouting		隠れろ！	
vo_hint_hint_	_n07	vo_hint_hint_firstcastle_battle_n07	omuk			OFFICER	shouting		隠れるんだ！	
vo_hint_hint_	_n08	vo_hint_hint_firstcastle_battle_n08	omuk			OFFICER	shouting		下がれ！	
										
STATICS									The team encounters static enemies. These enemies wear straw hats, a sign that they are strictly disciplined and won't leave their posts.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_statics_n00	omuk	Mo		NINJA	pointing out	Hayato first	編み笠を被った見張りが見えるか。	
vocs_over_over_	_n01	vocs_over_over_firstcastle_statics_n01	omuk	Mo		WARRIOR	pondering	Mugen first	あそこの者たちか、編み笠を被っているな…。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_statics_n02	omuk	Mo		NINJA	explaining	detests those that follow duty blindly	奴らに酒は通用しない。職務を全うする奴らだ。	
vocs_over_over_	_n03	vocs_over_over_firstcastle_statics_n03	omuk	Mo		WARRIOR	confirming		承知した。	
										
BONDING									The team has almost made it to the main castle gate. Hayato and Mugen work well together. A bond starts forming between them.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_bonding_n00	omuk	Mo		NINJA	focussed	Hayato first	これ以上は進めない。	
vocs_over_over_	_n01	vocs_over_over_firstcastle_bonding_n01	omuk	Mo		WARRIOR	appreciation		素晴らしい技だ、隼人殿。お主の藩がもうないとは…惜しいことだ。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_bonding_n02	omuk	Mo		NINJA	making a compliment	appreciates the sentiment	そうだな…あんたも思った以上にやるじゃないか。	
vocs_over_over_	_n03	vocs_over_over_firstcastle_bonding_n03	omuk	Mo		WARRIOR	appreciation		うむ。お主の不可思議な動きも、なかなかどうして素晴らしいものだ。	
										
ALCHEMIST									The team witnesses a guard being shot from an impossible angle. They figure it must be Takuma, who has taken position on top of an enemy tower.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_alchemist_n00	omuk	Mo		ALCHEMIST	reciting poetry to himself	camera shows Takuma on the tower	盃に…泥な落しそ…舞ふ燕。	
vocs_over_over_	_n01	vocs_over_over_firstcastle_alchemist_n01	omuk	Mo		NINJA	careful		塔から発砲…誰かいるようだ。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_alchemist_n02	omuk	Mo		WARRIOR	knowing		巧磨殿に違いない、第三部隊の射撃の名手だ。	
vocs_over_over_	_n03	vocs_over_over_firstcastle_alchemist_n03	omuk	Mo		ALCHEMIST	mysterious	wise, old and peculiar	ひひひ、同志が二人来たか。やぐら門を破壊したいんじゃろ？なら、おいぼれの話を聞いてみんか？	
vocs_over_over_	_n04	vocs_over_over_firstcastle_alchemist_n04	omuk	Mo		ALCHEMIST	giving advice	wise, old and peculiar	頭を使えば火薬樽ひとつでやぐら門を開けられる。	
vocs_over_over_	_n05	vocs_over_over_firstcastle_alchemist_n05	omuk	Mo		ALCHEMIST	giving advice	wise, old and peculiar	門の近くに樽を置くんじゃ。ワシが爆発させる。	
vocs_over_over_	_n06	vocs_over_over_firstcastle_alchemist_n06	omuk	Mo		ALCHEMIST	giving advice	wise, old and peculiar	しかし、直接通れる道はない。地上からではうまくいかん。	
vocs_over_over_	_n07	vocs_over_over_firstcastle_alchemist_n07	omuk	Mo		ALCHEMIST	giving advice	wise, old and peculiar	やぐら門の上に続くはしごがある。 力のある者であれば樽を門の上に運び、 標的となる場所まで投げる事ができるじゃろう。	
										
SNIPER1									After spotting Takuma, Hayato explains their plan to Mugen.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_sniper1_n00	omuk	Mo		ALCHEMIST	in his element		へっへ。ワシの銃に狂いはない。それじゃあ次の俳句でも詠もうかのう。	
										
SNIPER2									Takuma can't leave his sniper spot, even if the player wants him to.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_sniper2_n00	omuk	Mo		ALCHEMIST	in his element		うむ？ここを動けとな？ワシは定位置についておるぞ。	
										
STORIES1									Takuma shoots a guard with his long range rifle. Mugen tells Hayato about Takuma.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_stories1_n00	omuk	Mo		NINJA	impressed		あっぱれだ。やるじゃねぇか、爺さん。	
vocs_over_over_	_n01	vocs_over_over_firstcastle_stories1_n01	omuk	Mo		WARRIOR	respectful		ひょうきんな御仁ではあるが、我が兵に師としてお迎えしたこともある。兵の誰とて稚児のような扱いだった。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_stories1_n02	omuk	Mo		NINJA	smug		こちら側についてくれて幸運だ。	
										
STORIES2									Takuma shoots a second guard with his long range rifle	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_stories2_n00	omuk	Mo		NINJA	more impressed than he wants to admit		狂いなし…か。	
vocs_over_over_	_n01	vocs_over_over_firstcastle_stories2_n01	omuk	Mo		WARRIOR	intriguing		とある峠をたった一人で防衛したことがあるそうだ。十の銃声に対し、死体は十五見つかったらしい。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_stories2_n02	omuk	Mo		NINJA	skeptical	doesn't believe in rumors	それが本当なら、俺は上様のお茶くみに降格だな。	
vocs_over_over_	_n02a	vocs_over_over_firstcastle_stories2_n02a	omuk	Mo		NINJA	skeptical	ALTERNATIVE1	はぁ…そんなわけないだろう。	
vocs_over_over_	_n02b	vocs_over_over_firstcastle_stories2_n02b	omuk	Mo		NINJA	skeptical	ALTERNATIVE2	噂なんて信じないさ。	
										
HAIKU									Takuma shoots a third guard with his long range rifle	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_haiku_n00	omuk	Mo		ALCHEMIST	reciting poetry to himself		愛憎は　蝿打って蟻に　与へけり。	
										
PLAN1									Hayato and Mugen reach the place where gunpowder barrels are stored.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_plan1_n00	omuk			ALCHEMIST	curious		おぉ、 二人は樽の所に着いたようじゃ。 どっちが運ぶんじゃ？	
vocs_over_over_	_n01	vocs_over_over_firstcastle_plan1_n01	omuk			WARRIOR	confident		隼人殿、拙者が運ぼう。援護は頼み申した。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_plan1_n02	omuk			NINJA	eager		あぁ、任せな。	
										
MEETUP									Hayato climbs the tower where Takuma is perched.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_meetup_n00	omuk			ALCHEMIST	amused		へっへ、教えを請いに来たか？ 	
vocs_over_over_	_n01	vocs_over_over_firstcastle_meetup_n01	omuk			NINJA	surprised		なんて爺さんだ！一体いつの間に！？	
vocs_over_over_	_n02	vocs_over_over_firstcastle_meetup_n02	omuk			ALCHEMIST	miscievous		ふーむ、遠回りしてきたお前さんたちからしたら疑問かもしれんな。	
vocs_over_over_	_n03	vocs_over_over_firstcastle_meetup_n03	omuk			NINJA	annoyed		教えてくれないってのかい？	
vocs_over_over_	_n04	vocs_over_over_firstcastle_meetup_n04	omuk			ALCHEMIST	very amused		へーっへっへ。	
										
PLAN2									Mugen has carried the barrel halfway to the gate.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_plan2_n00	omuk	Mo		WARRIOR	encumbered but not exhausted		ここで半分といったところか。	
vocs_over_over_	_n01	vocs_over_over_firstcastle_plan2_n01	omuk	Mo		ALCHEMIST	impressed		ふーむ、見事な腕力じゃ。 やぐら門の上に樽を置く程度、 彼なら朝飯前じゃろう。	
										
HOLD									A group of enemy soldiers is covering the front gate of the castle. They are prepared to face Shogunat troops if they break through.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vo_hint_hint_	_n00	vo_hint_hint_firstcastle_hold_n00	omuk	mo		OFFICER	tense		門につけ！	
