4,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
vocs_over_over_	_n08	vocs_over_over_snowcity_briefing2_n08				WARRIOR	planning	cam to gates	… and one at the south wall. Both of them locked.	11	……另一个在南墙。不过门都锁着。	1																							
vocs_over_over_	_n09	vocs_over_over_snowcity_briefing2_n09				WARRIOR	instructing	cam to samurai	That samurai has the key. You need to climb inside and steal it from him.	15	那个武士有门钥匙。你需要爬进去然后从他身上偷到钥匙。	1																							
vocs_over_over_	_n10	vocs_over_over_snowcity_briefing2_n10				TRAPPER	ready		Yes! I can do that!	5	是！没问题！	1																							
vocs_over_over_	_n11	vocs_over_over_snowcity_briefing2_n11				WARRIOR	instructing		Once you have it, open the gate for me. We will regroup inside and discuss further plans.	17	拿到钥匙后，帮我打开门。我们在院里会合，然后商量下一步计划。	1																							
vocs_over_over_	_n12	vocs_over_over_snowcity_briefing2_n12				TRAPPER	eager		Hai, master samurai!	3	是，武士大人！	1																							
																																			
BRIEFING2a									Alternative for Briefing2		Alternative for Briefing2																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_briefing2a_n00				TRAPPER	"worried, then
to herself"	has foundMugen	Master samurai!	2	武士大人！	1																							
vocs_over_over_	_n01	vocs_over_over_snowcity_briefing2a_n01				WARRIOR	a bit displeased		There you are! You had me worried there, young woman.	10	你来了！小姑娘，你真让我担心。	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_briefing2a_n02				TRAPPER	anxious		Sorry … am I in trouble?	6	抱歉……是不是我有麻烦了？	1																							
vocs_over_over_	_n03	vocs_over_over_snowcity_briefing2a_n03				WARRIOR	neutral		Hmm, we will see. Tell me, what did you find out?	11	嗯，暂时没有。把你打探到的情况告诉我。	1																							
vocs_over_over_	_n04	vocs_over_over_snowcity_briefing2a_n04				TRAPPER	planning	cam to official	That man with the papers. He is at that big house, like you said.	14	拿文件的那个人。正如你所说，就在那座大房子里。	1																							
vocs_over_over_	_n05	vocs_over_over_snowcity_briefing2a_n05				TRAPPER	worried		He has lots of big, mean samurai with him …	10	他身边全是那些坏武士……	1																							
vocs_over_over_	_n06	vocs_over_over_snowcity_briefing2a_n06				WARRIOR	planning		We will worry about them later. First, we need to get inside the compound.	14	我们稍后再处理他们。首先，我们要进到大院里。	1																							
vocs_over_over_	_n07	vocs_over_over_snowcity_briefing2a_n07				TRAPPER	planning	cam to gates	Hai! I found two ways inside. One at the north wall … 	13	是！我发现两条路能进去。一个在北墙…… 	2																							
vocs_over_over_	_n08	vocs_over_over_snowcity_briefing2a_n08				TRAPPER	planning	cam to gates	… and one at the south wall. But they are both locked.	12	……另一个在南墙。但大门都锁着。	1																							
vocs_over_over_	_n09	vocs_over_over_snowcity_briefing2a_n09				WARRIOR	instructing		For every lock there is a key. Can you think of anyone who could have it?	16	每把锁都有一把钥匙。想想谁会有钥匙？	1																							
vocs_over_over_	_n10	vocs_over_over_snowcity_briefing2a_n10				TRAPPER	ready	cam to samurai	Uhm … yes! There was another mean samurai! He has a key that wants to be stolen. 	18	嗯……对了！还有一个坏武士！他身上装着大门钥匙。 	2																							
vocs_over_over_	_n11	vocs_over_over_snowcity_briefing2a_n11				WARRIOR	instructing		You must climb inside, steal that key and let me in. After that, we will regroup and discuss further plans.	20	你必须爬到里面，偷上钥匙，帮我打开门。然后我们会合，讨论下一步计划。	1																							
vocs_over_over_	_n12	vocs_over_over_snowcity_briefing2a_n12				TRAPPER	eager		Hai, master samurai!	3	是，武士大人！	1																							
																																			
SAMURAI									The team encounters samurai, special enemies that only Mugen can kill in melee combat.		The team encounters samurai, special enemies that only Mugen can kill in melee combat.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n01	vocs_over_over_snowcity_samurai_n01				WARRIOR	measuring an opponent		Samurai. I can defeat one in a duel, but two will overpower me. Keep your distance, Yuki-chan. Do not attack them at close range.	24	武士，一个不是问题，但我无法同时对付两个。友希妹妹离他们远点。千万别和他们近战。	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_samurai_n02				TRAPPER	understood!		Hai!	1	是！	1																							
																																			
SHADOWS									The team encounters more and more guards.		The team encounters more and more guards.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n01	vocs_over_over_snowcity_shadows_n01				WARRIOR	measuring an opponent		To think that all these men serve Kage-sama.	8	这些人应该都是影大人的手下。	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_shadows_n02				TRAPPER	curious	Kage = shadow	Uhm … who is Kage-sama? Is he a shadow?	9	嗯……影大人是谁？他是影子吗？	1																							
vocs_over_over_	_n03	vocs_over_over_snowcity_shadows_n03				WARRIOR	serious		It is a name, Yuki-chan, meant to scare people and destroy their faith in the Shogun. Stay vigilant now, and we might face him soon enough.	26	名字而已，友希妹妹，为了制造恐慌，击垮人们对将军的信念。现在要保持警惕，没准很快就会与他见面。	1																							
vocs_over_over_	_n04	vocs_over_over_snowcity_shadows_n04				TRAPPER	a bit scared		Yes, master samurai.	3	是，武士大人。	1																							
																																			
																																			
INFILTRATION									The team is halfway to the district office.		The team is halfway to the district office.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_infiltration_n00				TRAPPER	sneaky	Yuki first	We can slip through here.	5	我们可以从这溜过去。	1																							
vocs_over_over_	_n01	vocs_over_over_snowcity_infiltration_n01				WARRIOR	direct, neutral	wants to know about her past	This business comes naturally to you, Yuki-chan. Have you always been a thief?	13	这次任务你做得很顺手，友希妹妹。你过去一直当小偷吗？	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_infiltration_n02				TRAPPER	shy		I was alone … for a time. Others came … they taught me how to see things, you know? Things that want to be taken?	25	有段时间我孤身一人……后来有帮人收留了我……他们教我如何找东西，你明白吗？就是找那种很容易被偷的东西。	1																							
vocs_over_over_	_n03	vocs_over_over_snowcity_infiltration_n03				TRAPPER	anxious	afraid Mugen will kick her out	 … is that a problem?	6	 ……你是不是讨厌小偷?	2																							
vocs_over_over_	_n04	vocs_over_over_snowcity_infiltration_n04				WARRIOR	honest		Your origins don't bother me. What matters is how you use the talents that have been given to you.	19	你的出身不是问题。问题是你如何发挥自己的天赋。	1																							
																																			
WAGON									The team discoveres a wagon headed inside the compound where the target is located.		The team discoveres a wagon headed inside the compound where the target is located.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_wagon_n00				TRAPPER	to herself	Yuki first	A wagon, a wagon … 	6	马车，马车！ 	2																							
vocs_over_over_	_n01	vocs_over_over_snowcity_wagon_n01				WARRIOR	focussed		This wagon delivers sake to the northern market.	8	这辆马车把清酒运往北面的集市。	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_wagon_n02				TRAPPER	focussed		He wants to go where we're going. Maybe jump inside?	10	他去的地方和我们一样。要不跳到马车里?   	4																							
vocs_over_over_	_n03	vocs_over_over_snowcity_wagon_n03				WARRIOR	appreciating		Hmm, good thinking.	3	嗯，好主意。	1																							
																																			
SAKE2									The team hides inside a wagon that transports them to a market. A guard waves the wagon into a backyard.		The team hides inside a wagon that transports them to a market. A guard waves the wagon into a backyard.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vo_hint_hint_	_n00	vo_hint_hint_snowcity_sake2_n00				ENEMY	dutyful	waves to wagon driver	You can come through.	4	你可以过去了。	1																							
																																			
LOCKED									The team encounters a locked side entrance to the compound where the target is located.		The team encounters a locked side entrance to the compound where the target is located.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_locked_n00				TRAPPER	observant	Yuki first	There. One of the gates!	5	那边！是大门。	1																							
vocs_over_over_	_n01	vocs_over_over_snowcity_locked_n01				WARRIOR	has a plan		The gate is locked, as expected. Are you ready, Yuki-chan?	10	不出所料，大门已锁。准备好了吗，友希妹妹？	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_locked_n02				TRAPPER	sneaky		Yes. Locks have keys. Keys like being stolen.	8	准备好了，开门要用钥匙，钥匙就在武士身上。	1																							
																																			
ICICLE									Yuki spots big icicles growing under a roof. She can break it so it drops down and kills a samurai.		Yuki spots big icicles growing under a roof. She can break it so it drops down and kills a samurai.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_icicle_n00				TRAPPER	to herself		Look! Big, shiny icicles! Oh, they want to fall on the samurai's head.	13	看！闪闪发光的大冰柱！他们肯定想掉到武士的脑袋上。	1																							
																																			
KEY									Yuki steals the key to the side entrance from a samurai.		Yuki steals the key to the side entrance from a samurai.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_key_n00				TRAPPER	to herself	afraid Mugen will kick her out	Quick! Open the gate, before master samurai gets worried.	9	快！赶紧开门，要不武士大人会着急的。	1																							
																																			
UNLOCKED									Yuki unlocks the side entrance to let Mugen into the compound with the target.		Yuki unlocks the side entrance to let Mugen into the compound with the target.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_unlocked_n00				TRAPPER	relieved	first	There. All done!	3	搞定！	1																							
vocs_over_over_	_n01	vocs_over_over_snowcity_unlocked_n01				WARRIOR	impressed		Impressive. I see why Hayato-san saw potential in you.	9	真是让我大开眼界。现在我明白为何隼人先生说你有潜力了。	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_unlocked_n02				TRAPPER	happy		Thank you!	2	谢谢！	1																							
vocs_over_over_	_n03	vocs_over_over_snowcity_unlocked_n03				WARRIOR	impressed		Let us regroup, and discuss our next approach.	8	到里面会合，然后讨论下一步计划。	1																							
																																			
BRIEFING3									Yuki and Mugen must steal documents from an offcial. Unfortunately for them they have become separated on the way to their target.		Yuki and Mugen must steal documents from an offcial. Unfortunately for them they have become separated on the way to their target.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_briefing3_n00				WARRIOR	ready for planning		Very well …	3	很好……	1																							
vocs_over_over_	_n01	vocs_over_over_snowcity_briefing3_n01				WARRIOR	planning		Remember, the official is well protected.	6	切记，官员周围有重兵把守。	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_briefing3_n02				WARRIOR	planning	cam to official	We are no match for this many bodyguards, so we must find a way to distract them.	17	正面迎战这么多保镖必败无疑，所以我们必须想办法把他们分散开。	1																							
vocs_over_over_	_n03	vocs_over_over_snowcity_briefing3_n03				WARRIOR	planning	cam to tower1	I saw two fire lookout towers on the way here.	10	来的路上我看到两座消防瞭望塔。	1																							
vocs_over_over_	_n04	vocs_over_over_snowcity_briefing3_n04				WARRIOR	planning	cam to tower2	If I cut one down, the official will send his men to investigate the disturbance.	15	如果我砍断一座，官员就会派他的保镖前来调查。	1																							
vocs_over_over_	_n05	vocs_over_over_snowcity_briefing3_n05				TRAPPER	amazed		You can cut through a tower?!	6	塔你都能砍断？！	1																							
vocs_over_over_	_n06	vocs_over_over_snowcity_briefing3_n06				WARRIOR	planning		When it happens you will have plenty of time to steal the documents from our target.	16	等保镖过来调查时，你就有充足的时间从目标身上偷走文件。	1																							
vocs_over_over_	_n07	vocs_over_over_snowcity_briefing3_n07				WARRIOR	planning		Once we are finished we will use this wagon for our escape.	12	一旦拿到文件，我们就利用这辆马车逃走。	1																							
vocs_over_over_	_n08	vocs_over_over_snowcity_briefing3_n08				TRAPPER	a bit scary	cam back to bush	He's a bad man, right? Maybe I should hurt him …	11	他是坏蛋，对吧？没准我该杀了他……	1																							
vocs_over_over_	_n09	vocs_over_over_snowcity_briefing3_n09				WARRIOR	stresses the fact		No, you must do him no harm. The Shogun will not tolerate the killing of a high ranking official, not until we have solid proof.	25	不，你千万不能杀了他。除非我们掌握确凿证据，否则将军绝不允许我们杀死一名高级官员。	1																							
vocs_over_over_	_n10	vocs_over_over_snowcity_briefing3_n10				TRAPPER	acts like a soldier		Understood!	1	是！	1																							
vocs_over_over_	_n11	vocs_over_over_snowcity_briefing3_n11				WARRIOR	encouraging		Well then. Ready, Yuki-chan?	4	那么，友希妹妹，准备好了吗?	1																							
vocs_over_over_	_n12	vocs_over_over_snowcity_briefing3_n12				TRAPPER	excited		Ready!	1	准备好了！	1																							
																																			
BRIEFING3a									Alternative for Briefing3		Alternative for Briefing3																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_briefing3a_n00				WARRIOR	ready for planning		Very well …	3	很好……	1																							
vocs_over_over_	_n01	vocs_over_over_snowcity_briefing3a_n01				WARRIOR	planning		Remember, the official is well protected.	6	切记，官员周围有重兵把守。	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_briefing3a_n02				WARRIOR	planning	cam to official	We are no match for this many bodyguards, so we must find a way to distract them.	17	正面迎战这么多保镖必败无疑，所以我们必须想办法把他们分散开。	1																							
vocs_over_over_	_n03	vocs_over_over_snowcity_briefing3a_n03				TRAPPER	planning	cam to tower1	I saw two big wooden towers when I was here before.	11	刚才我进来的时候看到了两座大木塔。	1																							
vocs_over_over_	_n04	vocs_over_over_snowcity_briefing3a_n04				TRAPPER	planning	cam to tower2	Maybe you can break one of them? It would make lots of noise, and the man with the papers will send his samurai to see what's wrong.	27	也许你能破坏一座塔？塔倒了声音肯定很大，拿文件的那人就会派他的武士过来调查。	1																							
vocs_over_over_	_n05	vocs_over_over_snowcity_briefing3a_n05				WARRIOR	amazed		An unusual strategy. I am tempted to try it out.	10	这招不一般。我觉得可以一试。	1																							
vocs_over_over_	_n06	vocs_over_over_snowcity_briefing3a_n06				WARRIOR	planning		When I do you will have plenty of time to steal the documents from our target.	16	当我砍断塔后，你就有充足的时间从目标身上偷走文件。	1																							
vocs_over_over_	_n07	vocs_over_over_snowcity_briefing3a_n07				TRAPPER	planning		Yes, and then we leave, right? Let's hide in that wagon. It'll carry us out of here.	17	是的，然后我们离开，对吧？我们可以藏在那辆马车里。它会把我们带出去的。	1																							
vocs_over_over_	_n08	vocs_over_over_snowcity_briefing3a_n08				TRAPPER	a bit scary	cam back to bush	The man with the papers … he's bad, right? Maybe I should hurt him …	15	拿文件的那人……他是坏蛋，对吧？或许我该把他杀了……	1																							
vocs_over_over_	_n09	vocs_over_over_snowcity_briefing3a_n09				WARRIOR	stresses the fact		No, you must do him no harm. The Shogun will not tolerate the killing of a high ranking official, not until we have solid proof.	25	不，你千万不能杀了他。除非我们掌握确凿证据，否则将军绝不允许我们杀死一名高级官员。	1																							
vocs_over_over_	_n10	vocs_over_over_snowcity_briefing3a_n10				TRAPPER	acts like a soldier		Understood!	1	明白！	1																							
vocs_over_over_	_n11	vocs_over_over_snowcity_briefing3a_n11				WARRIOR	encouraging		Well then. Ready, Yuki-chan?	4	那么，准备好了吗，友希妹妹?	1																							
vocs_over_over_	_n12	vocs_over_over_snowcity_briefing3a_n12				TRAPPER	excited		Ready!	1	一切准备就绪！	1																							
																																			
PLATFORM									Mugen spots a platform that he can topple by cutting through its supporting structure.		Mugen spots a platform that he can topple by cutting through its supporting structure.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_platform_n00				WARRIOR	confident		A well aimed cut and this platform will crash to the ground.	12	只要砍对位置，这个平台肯定会垮掉。	1																							
vocs_over_over_	_n01	vocs_over_over_snowcity_platform_n01				TRAPPER	amazed		You're strong, master samurai!	4	你力气真大，武士大人！	1																							
vocs_over_over_	_n01a	vocs_over_over_snowcity_platform_n01a				TRAPPER	amazed		You're strong, master samurai! You can do it!	8	武士大人，你力气那么大！肯定能行！	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_platform_n02				WARRIOR	confident		One must only know where to strike.	7	只需知道要砍哪里。	1																							
																																			
TOWER									The team finds a tower that he can destroy to create a distraction.		The team finds a tower that he can destroy to create a distraction.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_tower_n00				TRAPPER	amazed	Yuki first	These towers are really high!	5	这些塔真高！	1																							
vocs_over_over_	_n01	vocs_over_over_snowcity_tower_n01				WARRIOR	confident		The tower's supports are no match for my blade. If our plan works, the official will send his guards to investigate.	21	在我的刀面前这些塔的支架不堪一击。假如你的计划成功，官员就会派他的守卫过来察看。	1																							
																																			
DISTRACTION									Mugen has created a distraction so that Yuki can pickpocket the target.		Mugen has created a distraction so that Yuki can pickpocket the target.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_distraction_n00				OFFICIAL	worried	sends his guards to investigate the distraction	What is going on?! Go, investigate all of you!	9	什么情况？！你们所有人快去调查！	1																							
vocs_over_over_	_n01	vocs_over_over_snowcity_distraction_n01				WARRIOR	encouraging		This will keep them busy for a while. Be careful, Yuki-chan.	11	这就够他们先忙活一阵了。小心啊，友希妹妹。	1																							
vocs_over_over_	_n01a	vocs_over_over_snowcity_distraction_n01a				WARRIOR	encouraging		Your plan has worked. You know what to do, Yuki-chan.	10	你的计划成功了。你知道该怎么做，友希妹妹。	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_distraction_n02				TRAPPER	focussed		Yes. Steal the papers. Don't be seen. Don't hurt the bad man.	12	好，偷取文件，别被发现。不要杀了那个坏蛋。	1																							
																																			
OFFICIAL1									The team overhears a conversation between the official and his personal assistant.		The team overhears a conversation between the official and his personal assistant.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vo_hint_hint_	_n00	vo_hint_hint_snowcity_official1_n00				OFFICIAL	worried		Lord Yabu was displeased about the loss of the latest shipment. As a result he has gone to Mount Tsuru.	20	上批货丢了薮领主很不高兴，所以他亲自去了都留山。	1																							
vo_hint_hint_	_n01	vo_hint_hint_snowcity_official1_n01				CIVILIAN M	reassuring		Do not worry, my lord. We will double the guards on the next transport. I am sure this delay will mean little in the end.	25	大人不用担心。下次运输时我们会把守卫加倍。我保证这次延误不会碍事的。	1																							
vo_hint_hint_	_n02	vo_hint_hint_snowcity_official1_n02				OFFICIAL	slightly reassured	uncomfortable with illegal business	We can only hope. Regardless, I will be glad when this is behind us.	14	希望如此吧，无论如何要把这事办妥。	1																							
vo_hint_hint_	_n03	vo_hint_hint_snowcity_official1_n03				CIVILIAN M	dutyful	changing subjects to lighten the mood	As will I, my lord. Now, shall we discuss the next point on the list …	16	遵命，大人。那么现在我们继续讨论下一点……	1																							
																																			
OFFICIAL2									Loops before and after WORLD3.		Loops before and after WORLD3.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vo_hint_hint_	_n00	vo_hint_hint_snowcity_official2_n00				OFFICIAL	worried		This matter troubles me greatly.	5	这次真是摊上大事了。	1																							
vo_hint_hint_	_n01	vo_hint_hint_snowcity_official2_n01				CIVILIAN M	dutyful		I will see it done, my lord.	7	我会全程监督的 ，大人。	2																							
vo_hint_hint_	_n02	vo_hint_hint_snowcity_official2_n02				OFFICIAL	worried		That must be handled immediately.	5	这事必须立即处理！	1																							
vo_hint_hint_	_n03	vo_hint_hint_snowcity_official2_n03				CIVILIAN M	dutyful		I will report to you once it is done.	9	一旦办妥我会立即向您汇报。	1																							
vo_hint_hint_	_n04	vo_hint_hint_snowcity_official2_n04				OFFICIAL	worried		Are preparations under way?	4	准备工作进度如何？	1																							
vo_hint_hint_	_n05	vo_hint_hint_snowcity_official2_n05				CIVILIAN M	dutyful		It will be to your satisfaction.	6	进度会让您满意的。	1																							
vo_hint_hint_	_n06	vo_hint_hint_snowcity_official2_n06				OFFICIAL	worried		Can we trust him? We better make further inquiries.	9	啊...我们能信他吗？最好再做进一步调查。	1																							
